,Coefficient,Standard Error,z-statistic,p-value
Age,-0.358,0.152,-2.349,0.019
Total Cost,0.062,0.01,6.054,0.0
Gender,0.071,0.063,1.139,0.255
Tobacco Use,0.691,0.14,4.928,0.0
Pressure,-0.105,0.46,-0.229,0.819
Obesity,-0.053,0.055,-0.956,0.339
Hypertension,-0.052,0.063,-0.824,0.41
Hypothyroid,-0.139,0.091,-1.53,0.126
Disease Count,1.59,0.265,5.993,0.0
Acute Care 2 Months,1.161,0.115,10.055,0.0
Acute Care 6 Months,0.153,0.217,0.706,0.48
Inpatient Visits 6 Months,-0.205,0.176,-1.165,0.244
Emergency Vistits 6 Months,0.303,0.205,1.482,0.138
Line of Bussiness,-0.475,0.104,-4.555,0.0
Treatment,-0.089,0.069,-1.292,0.196
