,Coefficient,Standard Error,z-statistic,p-value
Age,0.91,0.374,2.431,0.015
Total Cost,0.053,0.025,2.121,0.034
Gender,0.087,0.144,0.602,0.547
Tobacco Use,-0.087,0.232,-0.374,0.708
Pressure,-14.551,1253.285,-0.012,0.991
Obesity,0.306,0.13,2.355,0.019
Hypertension,0.127,0.14,0.901,0.367
Hypothyroid,-0.191,0.201,-0.95,0.342
Disease Count,2.572,0.525,4.895,0.0
Acute Care 2 Months,0.074,0.329,0.226,0.821
Acute Care 6 Months,0.075,0.644,0.116,0.908
Inpatient Visits 6 Months,-0.132,0.554,-0.238,0.812
Emergency Vistits 6 Months,-0.098,0.584,-0.168,0.866
Line of Bussiness,-0.045,0.256,-0.175,0.861
Treatment,0.821,0.124,6.643,0.0
