,Coefficient,Standard Error,z-statistic,p-value
Age,-0.131,0.187,-0.702,0.483
Total Cost,0.063,0.01,6.311,0.0
Gender,0.004,0.062,0.066,0.948
Tobacco Use,-0.005,0.091,-0.05,0.96
Pressure,0.075,0.292,0.258,0.796
Obesity,-0.089,0.053,-1.693,0.09
Hypertension,-0.024,0.062,-0.392,0.695
Hypothyroid,-0.008,0.085,-0.1,0.921
Disease Count,1.746,0.243,7.181,0.0
Acute Care 2 Months,1.32,0.104,12.708,0.0
Acute Care 6 Months,0.722,0.267,2.702,0.007
Inpatient Visits 6 Months,-0.674,0.242,-2.778,0.005
Emergency Vistits 6 Months,-0.207,0.253,-0.818,0.414
Line of Bussiness,-0.632,0.076,-8.329,0.0
Treatment,-0.028,0.066,-0.424,0.671
