,Coefficient,Standard Error,z-statistic,p-value
Age,0.427,0.302,1.415,0.157
Total Cost,0.169,0.024,6.987,0.0
Gender,0.078,0.113,0.684,0.494
Tobacco Use,-0.178,0.161,-1.105,0.269
Pressure,-1.481,1.008,-1.469,0.142
Obesity,0.217,0.1,2.174,0.03
Hypertension,-0.111,0.109,-1.013,0.311
Hypothyroid,-0.185,0.152,-1.217,0.224
Disease Count,2.883,0.409,7.055,0.0
Acute Care 2 Months,1.002,0.191,5.239,0.0
Acute Care 6 Months,-0.7,0.354,-1.976,0.048
Inpatient Visits 6 Months,1.114,0.322,3.46,0.001
Emergency Vistits 6 Months,0.486,0.314,1.545,0.122
Line of Bussiness,-0.351,0.183,-1.922,0.055
Treatment,-0.153,0.123,-1.242,0.214
