,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,48.8,11.691877522451216,105,48.843809523809526,11.648083449875033,525,-0.03515987631800904,0.9719634289637746,48.8,11.691877522451216,105,0.0,1.0,48.843809523809526,11.648083449875033,525,-0.03515987631800904,0.9719634289637746
ALLOW_AMT,1290.7238095238095,3936.328625506939,105,927.2666666666667,2105.733784756428,525,1.3582162672430464,0.1748827970060823,1290.7238095238095,3936.328625506939,105,0.0,1.0,927.2666666666667,2105.733784756428,525,1.3582162672430464,0.1748827970060823
MBR_GNDR,0.12380952380952381,0.33094381626464864,105,0.12380952380952381,0.3296782521021427,525,0.0,1.0,0.12380952380952381,0.33094381626464864,105,0.0,1.0,0.12380952380952381,0.3296782521021427,525,0.0,1.0
CC_TOBACCO,0.7714285714285715,0.42192650784464597,105,0.540952380952381,0.4987953499815464,525,4.427781475314224,1.1228566822954441e-05,0.7714285714285715,0.42192650784464597,105,0.0,1.0,0.540952380952381,0.4987953499815464,525,4.427781475314224,1.1228566822954441e-05
CC_PRESSURE,0.0,0.0,105,0.0,0.0,525,,,0.0,0.0,105,,,0.0,0.0,525,,
CC_OBESITY,0.4666666666666667,0.501280411827603,105,0.45714285714285713,0.498634996088203,525,0.17850473089284938,0.8583841746383692,0.4666666666666667,0.501280411827603,105,0.0,1.0,0.45714285714285713,0.498634996088203,525,0.17850473089284938,0.8583841746383692
CC_HYPERTENSION,0.3523809523809524,0.48000305249334657,105,0.32,0.4669210502596477,525,0.6456786882400259,0.5187233086499126,0.3523809523809524,0.48000305249334657,105,0.0,1.0,0.32,0.4669210502596477,525,0.6456786882400259,0.5187233086499126
CC_HYPOTHYROID,0.2571428571428571,0.4391550328268399,105,0.22666666666666666,0.4190744679280893,525,0.6747969111000324,0.5000531480776524,0.2571428571428571,0.4391550328268399,105,0.0,1.0,0.22666666666666666,0.4190744679280893,525,0.6747969111000324,0.5000531480776524
CC_DX_CNT,4.371428571428571,2.450498940000802,105,4.230476190476191,2.259463719453677,525,0.5752066023174669,0.5653576014554313,4.371428571428571,2.450498940000802,105,0.0,1.0,4.230476190476191,2.259463719453677,525,0.5752066023174669,0.5653576014554313
ACUTE2,0.10476190476190476,0.30771520061356206,105,0.08952380952380952,0.3113390831846915,525,0.458706543730627,0.6466036208297347,0.10476190476190476,0.30771520061356206,105,0.0,1.0,0.08952380952380952,0.3113390831846915,525,0.458706543730627,0.6466036208297347
ACUTE6,0.24761904761904763,0.5847575497087593,105,0.24571428571428572,0.5784007583808384,525,0.030748401271583247,0.9754799600135242,0.24761904761904763,0.5847575497087593,105,0.0,1.0,0.24571428571428572,0.5784007583808384,525,0.030748401271583247,0.9754799600135242
IP_BIN6,0.06666666666666667,0.28644594961577313,105,0.06666666666666667,0.28535055000256865,525,0.0,1.0,0.06666666666666667,0.28644594961577313,105,0.0,1.0,0.06666666666666667,0.28535055000256865,525,0.0,1.0
ER_BIN6,0.19047619047619047,0.5206364096586705,105,0.18666666666666668,0.5013467866745591,525,0.0706210530001595,0.9437218369105322,0.19047619047619047,0.5206364096586705,105,0.0,1.0,0.18666666666666668,0.5013467866745591,525,0.0706210530001595,0.9437218369105322
LOB,0.8666666666666667,0.3415650255319866,105,0.8666666666666667,0.34025884474167073,525,0.0,1.0,0.8666666666666667,0.3415650255319866,105,0.0,1.0,0.8666666666666667,0.34025884474167073,525,0.0,1.0
Acute6-bin,0.19047619047619047,0.39456007866693216,105,0.19047619047619047,0.39305123918731155,525,0.0,1.0,0.19047619047619047,0.39456007866693216,105,0.0,1.0,0.19047619047619047,0.39305123918731155,525,0.0,1.0
