,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
MBR_GNDR,0.0,0.0,647,0.0,0.0,3235,,,0.0,0.0,647,,,0.0,0.0,3235,,
CC_OSTEOPOROSIS,0.0077279752704791345,0.08763631684646639,647,0.015765069551777436,0.12458463015959677,3235,-1.5652178064385955,0.11761339739232235,0.0077279752704791345,0.08763631684646639,647,0.0,1.0,0.015765069551777436,0.12458463015959677,3235,-1.5652178064385955,0.11761339739232235
CC_EPILEPSY,0.0030911901081916537,0.05555542263528526,647,0.004327666151468315,0.0656526453655916,3235,-0.4480342034052465,0.6541535271694132,0.0030911901081916537,0.05555542263528526,647,0.0,1.0,0.004327666151468315,0.0656526453655916,3235,-0.4480342034052465,0.6541535271694132
CC_DIABETES,0.027820710973724884,0.1645861081644867,647,0.0,0.0,3235,9.619138315856919,1.1560912210344e-21,0.027820710973724884,0.1645861081644867,647,0.0,1.0,0.0,0.0,3235,9.619138315856919,1.1560912210344e-21
CC_HEARING_IMPAIR,0.012364760432766615,0.11059284317072664,647,0.023183925811437404,0.1505105777097334,3235,-1.7369767291554201,0.08247063855998013,0.012364760432766615,0.11059284317072664,647,0.0,1.0,0.023183925811437404,0.1505105777097334,3235,-1.7369767291554201,0.08247063855998013
CC_BIPOLAR,0.027820710973724884,0.16458610816448674,647,0.03462132921174652,0.1828470058813279,3235,-0.8775938060588374,0.3802185282602669,0.027820710973724884,0.16458610816448674,647,0.0,1.0,0.03462132921174652,0.1828470058813279,3235,-0.8775938060588374,0.3802185282602669
CC_HEPATITIS_D,0.0,0.0,647,0.0,0.0,3235,,,0.0,0.0,647,,,0.0,0.0,3235,,
IP_BIN6,0.0061823802163833074,0.07844532791915894,647,0.0061823802163833074,0.07839680002839088,3235,0.0,1.0,0.0061823802163833074,0.07844532791915894,647,0.0,1.0,0.0061823802163833074,0.07839680002839088,3235,0.0,1.0
ALLOW_IP,0.0,0.0,647,5.160438948995363,164.40234644915833,3235,-0.7983365355215758,0.42472408147383933,0.0,0.0,647,,,5.160438948995363,164.40234644915833,3235,-0.7983365355215758,0.42472408147383933
CC_PTSD,0.030911901081916538,0.17321295425193722,647,0.029984544049459043,0.17057099642023113,3235,0.1259150323866014,0.8998057070596608,0.030911901081916538,0.17321295425193722,647,0.0,1.0,0.029984544049459043,0.17057099642023113,3235,0.1259150323866014,0.8998057070596608
CC_DEPRESSIVE_DISORDERS,0.0030911901081916537,0.055555422635285255,647,0.0021638330757341576,0.04647384794834743,3235,0.44762911433831587,0.6544458770541985,0.0030911901081916537,0.055555422635285255,647,0.0,1.0,0.0021638330757341576,0.04647384794834743,3235,0.44762911433831587,0.6544458770541985
CC_PERIPHERAL,0.0030911901081916537,0.055555422635285255,647,0.004945904173106646,0.07016383674497129,3235,-0.6337964171034426,0.5262510516017949,0.0030911901081916537,0.055555422635285255,647,0.0,1.0,0.004945904173106646,0.07016383674497129,3235,-0.6337964171034426,0.5262510516017949
CC_PRESSURE,0.0,0.0,647,0.0003091190108191654,0.017581780649842192,3235,-0.44716749813391277,0.6547790868110585,0.0,0.0,647,,,0.0003091190108191654,0.017581780649842192,3235,-0.44716749813391277,0.6547790868110585
CC_ASTHMA,0.06800618238021638,0.25195129503552494,647,0.06646058732612056,0.24912399008951597,3235,0.14378645383855382,0.8856765670516604,0.06800618238021638,0.25195129503552494,647,0.0,1.0,0.06646058732612056,0.24912399008951597,3235,0.14378645383855382,0.8856765670516604
ACUTE,0.00463678516228748,0.06798845335987587,647,0.0071097372488408035,0.0840319682580676,3235,-0.7038715094620209,0.4815550337945891,0.00463678516228748,0.06798845335987587,647,0.0,1.0,0.0071097372488408035,0.0840319682580676,3235,-0.7038715094620209,0.4815550337945891
CC_HEPATITIS_C_CHRONIC,0.0015455950540958269,0.03931405669853757,647,0.0012364760432766616,0.0351472478860021,3235,0.20007839658657015,0.8414297542470448,0.0015455950540958269,0.03931405669853757,647,0.0,1.0,0.0012364760432766616,0.0351472478860021,3235,0.20007839658657015,0.8414297542470448
CC_PERSONALITY,0.01854714064914992,0.13502341450549113,647,0.02689335394126739,0.16179676644598862,3235,-1.2292590350343082,0.21904924212157859,0.01854714064914992,0.13502341450549113,647,0.0,1.0,0.02689335394126739,0.16179676644598862,3235,-1.2292590350343082,0.21904924212157859
PREGNANCY,0.0,0.0,647,0.002472952086553323,0.049674937105237155,3235,-1.2661517173979944,0.20553478215136173,0.0,0.0,647,,,0.002472952086553323,0.049674937105237155,3235,-1.2661517173979944,0.20553478215136173
CC_FIBROMYALGIA,0.10200927357032458,0.30289467241337614,647,0.1143740340030912,0.3183142087681071,3235,-0.9091514269568793,0.3633266683016232,0.10200927357032458,0.30289467241337614,647,0.0,1.0,0.1143740340030912,0.3183142087681071,3235,-0.9091514269568793,0.3633266683016232
CC_SCHIZOPHRENIA_OTHER,0.0015455950540958269,0.03931405669853757,647,0.0080370942812983,0.08930265735118624,3235,-1.8140120484691218,0.0697530801962971,0.0015455950540958269,0.03931405669853757,647,0.0,1.0,0.0080370942812983,0.08930265735118624,3235,-1.8140120484691218,0.0697530801962971
CC_STROKE,0.0030911901081916537,0.05555542263528526,647,0.0021638330757341576,0.04647384794834743,3235,0.44762911433831587,0.6544458770541985,0.0030911901081916537,0.05555542263528526,647,0.0,1.0,0.0021638330757341576,0.04647384794834743,3235,0.44762911433831587,0.6544458770541985
ACUTE_C,0.4420401854714065,1.1277367859764742,647,0.4751159196290572,1.082660725245693,3235,-0.7044124127229656,0.4812182542136557,0.4420401854714065,1.1277367859764742,647,0.0,1.0,0.4751159196290572,1.082660725245693,3235,-0.7044124127229656,0.4812182542136557
CC_MIGRAINE,0.09428129829984544,0.29244575799277933,647,0.0945904173106646,0.29269361515232784,3235,-0.02452647853398831,0.9804339244958937,0.09428129829984544,0.29244575799277933,647,0.0,1.0,0.0945904173106646,0.29269361515232784,3235,-0.02452647853398831,0.9804339244958937
ER_BIN,0.00463678516228748,0.06798845335987587,647,0.0071097372488408035,0.0840319682580676,3235,-0.7038715094620209,0.4815550337945891,0.00463678516228748,0.06798845335987587,647,0.0,1.0,0.0071097372488408035,0.0840319682580676,3235,-0.7038715094620209,0.4815550337945891
CC_LIVER,0.03245749613601236,0.17734886550144535,647,0.02936630602782071,0.1688571583560004,3235,0.42147483544201947,0.6734317306476642,0.03245749613601236,0.17734886550144535,647,0.0,1.0,0.02936630602782071,0.1688571583560004,3235,0.42147483544201947,0.6734317306476642
CC_INT_DISAB,0.0,0.0,647,0.002472952086553323,0.04967493710523716,3235,-1.2661517173979941,0.20553478215136178,0.0,0.0,647,,,0.002472952086553323,0.04967493710523716,3235,-1.2661517173979941,0.20553478215136178
CC_HEPATITIS_C_ACUTE,0.0,0.0,647,0.0,0.0,3235,,,0.0,0.0,647,,,0.0,0.0,3235,,
LOB,0.9613601236476044,0.19288426361538435,647,0.9613601236476044,0.1927649414489291,3235,0.0,1.0,0.9613601236476044,0.19288426361538435,647,0.0,1.0,0.9613601236476044,0.1927649414489291,3235,0.0,1.0
CC_LEUKEMIAS,0.0061823802163833074,0.07844532791915892,647,0.00401854714064915,0.0632742919322972,3235,0.7607852449416693,0.4468315794890101,0.0061823802163833074,0.07844532791915892,647,0.0,1.0,0.00401854714064915,0.0632742919322972,3235,0.7607852449416693,0.4468315794890101
CC_SPINA_BIFIDA,0.0,0.0,647,0.0009273570324574962,0.030443119547759964,3235,-0.7747564293069631,0.4385308099385209,0.0,0.0,647,,,0.0009273570324574962,0.030443119547759964,3235,-0.7747564293069631,0.4385308099385209
CC_HYPOTHYROID,0.0,0.0,647,0.004945904173106646,0.07016383674497129,3235,-1.792832599963006,0.0730775618674673,0.0,0.0,647,,,0.004945904173106646,0.07016383674497129,3235,-1.792832599963006,0.0730775618674673
CC_MOBILITY_IMPAIR,0.0,0.0,647,0.0021638330757341576,0.04647384794834743,3235,-1.1841930137282977,0.2364092044104474,0.0,0.0,647,,,0.0021638330757341576,0.04647384794834743,3235,-1.1841930137282977,0.2364092044104474
AGE_AT_MIDMONTH,47.00463678516229,12.070547662877715,647,47.0386398763524,12.092487458844762,3235,-0.06531236088836352,0.947928665537169,47.00463678516229,12.070547662877715,647,0.0,1.0,47.0386398763524,12.092487458844762,3235,-0.06531236088836352,0.947928665537169
CC_CHRONIC_KIDNEY,0.02472952086553323,0.15541977346771096,647,0.014219474497681607,0.11841290212882635,3235,1.9471272340116499,0.05159153783916879,0.02472952086553323,0.15541977346771096,647,0.0,1.0,0.014219474497681607,0.11841290212882635,3235,1.9471272340116499,0.05159153783916879
ALLOW_AMT,542.8346213292117,1357.2814577602148,647,525.2061823802164,1367.2360005585583,3235,0.29974853079503117,0.7643850337679879,542.8346213292117,1357.2814577602148,647,0.0,1.0,525.2061823802164,1367.2360005585583,3235,0.29974853079503117,0.7643850337679879
CC_HEART_FAILURE,0.00927357032457496,0.09592597909053432,647,0.0077279752704791345,0.08758210322120596,3235,0.4031274335125915,0.6868766917352646,0.00927357032457496,0.09592597909053432,647,0.0,1.0,0.0077279752704791345,0.08758210322120596,3235,0.4031274335125915,0.6868766917352646
CC_AMI,0.0,0.0,647,0.0,0.0,3235,,,0.0,0.0,647,,,0.0,0.0,3235,,
CC_MULTIPLE_SCLEROSIS,0.017001545595054096,0.12937682858494104,647,0.010200927357032458,0.10049870913187463,3235,1.491760920500825,0.13584312886783712,0.017001545595054096,0.12937682858494104,647,0.0,1.0,0.010200927357032458,0.10049870913187463,3235,1.491760920500825,0.13584312886783712
IP_BIN2,0.0015455950540958269,0.03931405669853757,647,0.0012364760432766616,0.0351472478860021,3235,0.20007839658657015,0.8414297542470448,0.0015455950540958269,0.03931405669853757,647,0.0,1.0,0.0012364760432766616,0.0351472478860021,3235,0.20007839658657015,0.8414297542470448
IP_BIN,0.0,0.0,647,0.0,0.0,3235,,,0.0,0.0,647,,,0.0,0.0,3235,,
CC_HEPATITIS_A,0.0,0.0,647,0.0,0.0,3235,,,0.0,0.0,647,,,0.0,0.0,3235,,
ACUTE2,0.012364760432766615,0.11059284317072662,647,0.012364760432766615,0.11052442816685731,3235,0.0,1.0,0.012364760432766615,0.11059284317072662,647,0.0,1.0,0.012364760432766615,0.11052442816685731,3235,0.0,1.0
CC_HEPATITIS_B_ACUTE,0.0015455950540958269,0.03931405669853757,647,0.0003091190108191654,0.017581780649842192,3235,1.265171951161818,0.20588567019721507,0.0015455950540958269,0.03931405669853757,647,0.0,1.0,0.0003091190108191654,0.017581780649842192,3235,1.265171951161818,0.20588567019721507
CC_HEPATITIS_B_CHRONIC,0.0,0.0,647,0.0003091190108191654,0.017581780649842192,3235,-0.44716749813391277,0.6547790868110585,0.0,0.0,647,,,0.0003091190108191654,0.017581780649842192,3235,-0.44716749813391277,0.6547790868110585
CC_DEVELOP_DELAYS,0.0,0.0,647,0.0003091190108191654,0.017581780649842192,3235,-0.44716749813391277,0.6547790868110585,0.0,0.0,647,,,0.0003091190108191654,0.017581780649842192,3235,-0.44716749813391277,0.6547790868110585
ER_BIN6,0.06491499227202473,0.2761790663019714,647,0.06460587326120557,0.2743955928950934,3235,0.026129981933953276,0.9791550068571349,0.06491499227202473,0.2761790663019714,647,0.0,1.0,0.06460587326120557,0.2743955928950934,3235,0.026129981933953276,0.9791550068571349
CC_ATRIAL_FIB,0.0077279752704791345,0.08763631684646639,647,0.00463678516228748,0.06794639430644775,3235,1.0024574828495247,0.31618520398760214,0.0077279752704791345,0.08763631684646639,647,0.0,1.0,0.00463678516228748,0.06794639430644775,3235,1.0024574828495247,0.31618520398760214
CC_BREAST_CANCER,0.030911901081916538,0.17321295425193725,647,0.022565687789799074,0.14853719301621277,3235,1.26730373146181,0.20512276258057377,0.030911901081916538,0.17321295425193725,647,0.0,1.0,0.022565687789799074,0.14853719301621277,3235,1.26730373146181,0.20512276258057377
CC_COLORECTAL_CANCER,0.0,0.0,647,0.0015455950540958269,0.03928973621572842,3235,-1.0005158628148112,0.31712331658635934,0.0,0.0,647,,,0.0015455950540958269,0.03928973621572842,3235,-1.0005158628148112,0.31712331658635934
CC_HEPATITIS_C_UNSPECIFIED,0.0015455950540958269,0.03931405669853757,647,0.0,0.0,3235,2.237221481820772,0.025328434520924616,0.0015455950540958269,0.03931405669853757,647,0.0,1.0,0.0,0.0,3235,2.237221481820772,0.025328434520924616
CC_ALZHEIMER_PLUS,0.0,0.0,647,0.00463678516228748,0.06794639430644775,3235,-1.7356331295087815,0.08270811573655616,0.0,0.0,647,,,0.00463678516228748,0.06794639430644775,3235,-1.7356331295087815,0.08270811573655616
CC_ALZHEIMER,0.0,0.0,647,0.0006182380216383308,0.024860548131907717,3235,-0.6324881353551933,0.5271052284128342,0.0,0.0,647,,,0.0006182380216383308,0.024860548131907717,3235,-0.6324881353551933,0.5271052284128342
CC_ANXIETY_DISORDER,0.2596599690880989,0.4387872485898791,647,0.2676970633693972,0.4428272378962136,3235,-0.42206944803154456,0.67299771198652,0.2596599690880989,0.4387872485898791,647,0.0,1.0,0.2676970633693972,0.4428272378962136,3235,-0.42206944803154456,0.67299771198652
CC_SCHIZOPHRENIA,0.0015455950540958269,0.03931405669853757,647,0.0037094281298299847,0.06080140645863028,3235,-0.8695612402269891,0.3845940157009007,0.0015455950540958269,0.03931405669853757,647,0.0,1.0,0.0037094281298299847,0.06080140645863028,3235,-0.8695612402269891,0.3845940157009007
ACUTE6,0.06800618238021638,0.2809970306445761,647,0.06924265842349304,0.2923946535594658,3235,-0.09882326001272645,0.9212837050443632,0.06800618238021638,0.2809970306445761,647,0.0,1.0,0.06924265842349304,0.2923946535594658,3235,-0.09882326001272645,0.9212837050443632
CC_HEPATITIS_GEN,0.0030911901081916537,0.055555422635285255,647,0.0018547140649149924,0.04303308659187177,3235,0.632977791026083,0.5267854494946516,0.0030911901081916537,0.055555422635285255,647,0.0,1.0,0.0018547140649149924,0.04303308659187177,3235,0.632977791026083,0.5267854494946516
ER_C,0.3693972179289026,1.08087373276632,647,0.3919629057187017,0.9744717795233533,3235,-0.5276794851719604,0.5977519873534207,0.3693972179289026,1.08087373276632,647,0.0,1.0,0.3919629057187017,0.9744717795233533,3235,-0.5276794851719604,0.5977519873534207
CC_AUTISM,0.0,0.0,647,0.0018547140649149924,0.04303308659187177,3235,-1.0961799148398765,0.27306807975782565,0.0,0.0,647,,,0.0018547140649149924,0.04303308659187177,3235,-1.0961799148398765,0.27306807975782565
CC_GLAUCOMA,0.04945904173106646,0.21699221235760538,647,0.04204018547140649,0.2007118860880796,3235,0.8464603259039883,0.3973481995047876,0.04945904173106646,0.21699221235760538,647,0.0,1.0,0.04204018547140649,0.2007118860880796,3235,0.8464603259039883,0.3973481995047876
CC_OBESITY,0.5131375579598145,0.5002140884654194,647,0.504791344667697,0.5000543366139055,3235,0.38753478966182164,0.698381591507342,0.5131375579598145,0.5002140884654194,647,0.0,1.0,0.504791344667697,0.5000543366139055,3235,0.38753478966182164,0.698381591507342
