,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,50.77126099706745,50.83812316715542,-0.18016940132049364,0.8570240414217024,50.77126099706745,50.83812316715542
ALLOW_AMT,705.7771260997067,637.8016129032258,0.9576757012855205,0.3382546092199453,705.7771260997067,637.8016129032258
MBR_GNDR,0.2118768328445748,0.2118768328445748,0.0,1.0,0.2118768328445748,0.2118768328445748
CC_TOBACCO,0.0593841642228739,0.05337243401759531,0.8937732717199893,0.37146950096539055,0.0593841642228739,0.05337243401759531
CC_PRESSURE,0.001466275659824047,0.0007331378299120235,0.8454495360787071,0.3978846194429032,0.001466275659824047,0.0007331378299120235
CC_OBESITY,0.49853372434017595,0.4888563049853372,0.6525942783568697,0.514036209246902,0.49853372434017595,0.4888563049853372
CC_HYPERTENSION,0.34237536656891493,0.32947214076246334,0.9239564005515003,0.3555362633622954,0.34237536656891493,0.32947214076246334
CC_HYPOTHYROID,0.10117302052785923,0.0844574780058651,1.9973125347381468,0.04582430012282435,0.10117302052785923,0.0844574780058651
CC_DX_CNT,2.8980938416422286,2.8693548387096772,0.4455299803027729,0.6559485864708494,2.8980938416422286,2.8693548387096772
ACUTE2,0.0373900293255132,0.03211143695014663,0.940341561675056,0.347070147275944,0.0373900293255132,0.03211143695014663
ACUTE6,0.10777126099706745,0.10733137829912023,0.03865123388578153,0.9691693970278668,0.10777126099706745,0.10733137829912023
IP_BIN6,0.024193548387096774,0.024193548387096774,0.0,1.0,0.024193548387096774,0.024193548387096774
ER_BIN6,0.08797653958944282,0.08680351906158358,0.11485600420014377,0.9085620761460257,0.08797653958944282,0.08680351906158358
LOB,0.9567448680351907,0.9567448680351907,0.0,1.0,0.9567448680351907,0.9567448680351907
Acute6-bin,0.08870967741935484,0.08870967741935484,0.0,1.0,0.08870967741935484,0.08870967741935484
