,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
CC_EPILEPSY,0.0030911901081916537,0.05555542263528526,647,0.004327666151468315,0.0656526453655916,3235,-0.4480342034052465,0.6541535271694132,0.00875588448180089,0.09316245659134409,356446,-1.5461341844974348,0.12207305061828767,0.009395632300660234,0.09648075601177325,7876,-1.6398624418187464,0.10107068435898858
CC_CEREBRAL_PALSY,0.0015455950540958269,0.03931405669853757,647,0.0009273570324574962,0.030443119547759964,3235,0.44734043680230084,0.6546542459303231,0.0009734994922091986,0.031185806377650796,356446,0.46594923881137745,0.6412521195024385,0.0007618080243778568,0.027592106420919207,7876,0.6689488419258618,0.503546234798625
CC_SPINA_BIFIDA,0.0,0.0,647,0.0009273570324574962,0.030443119547759964,3235,-0.7747564293069631,0.4385308099385209,0.0008977516931035837,0.029949094332986908,356446,-0.76247230295711,0.4457786712406643,0.0012696800406297613,0.035612202651986925,7876,-0.9068265100082891,0.3645241912418057
CC_HYPOTHYROID,0.0,0.0,647,0.004945904173106646,0.07016383674497129,3235,-1.792832599963006,0.0730775618674673,0.047300292330395066,0.21228071297038403,356446,-5.66767345893201,1.448605226777365e-08,0.06348400203148806,0.24384694626824827,7876,-6.6217949289148645,3.763390631570481e-11
AGE_AT_MIDMONTH,47.00463678516229,12.070547662877715,647,47.0386398763524,12.092487458844762,3235,-0.06531236088836352,0.947928665537169,44.310975575543,20.053585413347044,356446,3.4155444245463404,0.0006366172460537303,47.606399187404776,19.811818943217997,7876,-0.7610549065896611,0.4466453328783031
CC_FIBROMYALGIA,0.10200927357032458,0.30289467241337614,647,0.1143740340030912,0.3183142087681072,3235,-0.9091514269568791,0.36332666830162375,0.06438562923977265,0.24543897202713785,356446,3.8937703348373547,9.871603363687269e-05,0.09154393092940578,0.2883993760422765,7876,0.88384892629533,0.37680270725337695
CC_HEPATITIS_C_ACUTE,0.0,0.0,647,0.0,0.0,3235,,,0.0003086021445043569,0.017564389392498606,356446,-0.446907266796221,0.6549422879887519,0.00025393600812595224,0.015934357918775722,7876,-0.40533907433517063,0.6852384645183756
CC_ARTHRITIS,0.1375579598145286,0.34470192080277,647,0.13261205564142195,0.3392074086578635,3235,0.3376481310884774,0.7356466320894539,0.0920756580239363,0.28913312808344577,356446,3.996110421479858,6.440461516290736e-05,0.12811071609954292,0.33423426580588866,7876,0.6894743449162333,0.4905435872344205
CC_ISCHEMIC,0.02936630602782071,0.16896168152190943,647,0.02627511591962906,0.15997701514987106,3235,0.4444206883415478,0.6567632452696699,0.07176683144150867,0.258101802080747,356446,-4.176987247338129,2.9546561521907983e-05,0.0952260030472321,0.2935454855567358,7876,-5.630543919763608,1.8534443766911364e-08
CC_HYPERTENSION,0.0,0.0,647,0.011128284389489953,0.10491829397797467,3235,-2.697642331401868,0.007013448989518479,0.2077172979918417,0.40567386384542287,356446,-13.02408342573341,9.110396934984049e-39,0.2493651599796851,0.432673024503863,7876,-14.659012251096849,4.5274794157621523e-48
CC_OBESITY,0.5131375579598145,0.5002140884654194,647,0.504791344667697,0.5000543366139055,3235,0.38753478966182164,0.698381591507342,0.10884117089264574,0.31144027120531087,356446,32.943047988017554,1.213330442124114e-237,0.22803453529710513,0.4195916343691311,7876,16.35528021459617,3.166770103714414e-59
CC_HEPATITIS_C_UNSPECIFIED,0.0015455950540958269,0.03931405669853757,647,0.0,0.0,3235,2.237221481820772,0.025328434520924616,0.002252795654881805,0.04741019798058792,356446,-0.379185692606574,0.7045502007752368,0.0024123920771965466,0.049059943315937035,7876,-0.43799735640781323,0.6613993021173517
CC_PTSD,0.030911901081916538,0.17321295425193722,647,0.029984544049459043,0.17057099642023113,3235,0.1259150323866014,0.8998057070596608,0.016123059313332175,0.12594900069221926,356446,2.981589924993426,0.0028677515144853974,0.028059928897917724,0.16515457145221019,7876,0.42065294817633175,0.6740191320890012
CC_CYSTIC_FIBROSIS,0.0015455950540958269,0.03931405669853757,647,0.0027820710973724882,0.05268006303596256,3235,-0.5662929101950699,0.5712274309687488,0.001975053724827884,0.044397729870407764,356446,-0.24586900456151792,0.8057837795058479,0.002920264093448451,0.05396393142966994,7876,-0.6342626596442449,0.5259264477397146
CC_ASTHMA,0.06800618238021638,0.25195129503552494,647,0.06646058732612056,0.24912399008951597,3235,0.14378645383855382,0.8856765670516604,0.04511763352653698,0.20756240877713247,356446,2.8011863017216534,0.005091785341140196,0.05548501777552057,0.2289390428974622,7876,1.3267383469535596,0.1846308043652371
ER_BIN2,0.012364760432766615,0.11059284317072662,647,0.011746522411128285,0.10775959888969809,3235,0.1326305668274026,0.8944924346510972,0.047286264960190325,0.21225079621531256,356446,-4.1839678030261,2.8653305122054255e-05,0.038852209243270694,0.20474102076450157,7876,-3.2518305515738444,0.0011511033383010093
