,Coefficient,Standard Error,z-statistic,p-value
Age,-0.591,0.196,-3.015,0.003
Total Cost,0.078,0.013,6.023,0.0
Gender,0.151,0.137,1.1,0.271
Tobacco Use,0.106,0.105,1.009,0.313
Pressure,-0.053,0.727,-0.073,0.941
Obesity,-0.028,0.075,-0.372,0.71
Hypertension,-0.147,0.078,-1.891,0.059
Hypothyroid,-0.253,0.101,-2.511,0.012
Disease Count,1.682,0.328,5.135,0.0
Acute Care 2 Months,1.125,0.126,8.941,0.0
Acute Care 6 Months,0.536,0.261,2.053,0.04
Inpatient Visits 6 Months,-0.362,0.217,-1.669,0.095
Emergency Vistits 6 Months,-0.084,0.253,-0.334,0.739
Line of Bussiness,-0.629,0.129,-4.893,0.0
Treatment,-0.143,0.087,-1.635,0.102
