,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
CC_HIP_FRACTURE,0.0,0.0,451,0.0,0.0,2255,,,0.0,0.0,451,,,0.0,0.0,2255,,
CC_TRAUMATIC_BRAIN,0.0022172949002217295,0.04708816093480111,451,0.0022172949002217295,0.0470463605173883,2255,0.0,1.0,0.0022172949002217295,0.04708816093480111,451,0.0,1.0,0.0022172949002217295,0.0470463605173883,2255,0.0,1.0
AGE_AT_MIDMONTH,50.72062084257206,12.404192680627885,451,50.7840354767184,12.450039025199809,2255,-0.0988057564841799,0.9212998216198502,50.72062084257206,12.404192680627885,451,0.0,1.0,50.7840354767184,12.450039025199809,2255,-0.0988057564841799,0.9212998216198502
CC_TOBACCO,0.0,0.0,451,0.0066518847006651885,0.08130540355120187,2255,-1.7371980724307585,0.08246608230606348,0.0,0.0,451,,,0.0066518847006651885,0.08130540355120187,2255,-1.7371980724307585,0.08246608230606348
CC_DEPRESSION,0.2017738359201774,0.4017699201485122,451,0.19379157427937915,0.3953551760009379,2255,0.3903526966156801,0.6963065092521283,0.2017738359201774,0.4017699201485122,451,0.0,1.0,0.19379157427937915,0.3953551760009379,2255,0.3903526966156801,0.6963065092521283
CC_ALZHEIMER_PLUS,0.0,0.0,451,0.003547671840354767,0.05946977573476906,2255,-1.266692431752574,0.20537438423103407,0.0,0.0,451,,,0.003547671840354767,0.05946977573476906,2255,-1.266692431752574,0.20537438423103407
CC_FIBROMYALGIA,0.07982261640798226,0.2713193518482628,451,0.09135254988913526,0.2881737117860067,2255,-0.7830921949573392,0.43364155275571514,0.07982261640798226,0.2713193518482628,451,0.0,1.0,0.09135254988913526,0.2881737117860067,2255,-0.7830921949573392,0.43364155275571514
ACUTE6,0.06651884700665188,0.29061021848593943,451,0.06740576496674058,0.29469904318424067,2255,-0.05847907508779942,0.9533713507219261,0.06651884700665188,0.29061021848593943,451,0.0,1.0,0.06740576496674058,0.29469904318424067,2255,-0.05847907508779942,0.9533713507219261
CC_BREAST_CANCER,0.031042128603104215,0.17362418034079968,451,0.029711751662971176,0.16982860068530273,2255,0.15129837764805687,0.879751635152942,0.031042128603104215,0.17362418034079968,451,0.0,1.0,0.029711751662971176,0.16982860068530273,2255,0.15129837764805687,0.879751635152942
CC_HEPATITIS_B_ACUTE,0.0,0.0,451,0.0,0.0,2255,,,0.0,0.0,451,,,0.0,0.0,2255,,
CC_HYPERTENSION,0.30155210643015523,0.45944148104095767,451,0.28558758314855875,0.4517940165452903,2255,0.6830977719762962,0.4946035851790026,0.30155210643015523,0.45944148104095767,451,0.0,1.0,0.28558758314855875,0.4517940165452903,2255,0.6830977719762962,0.4946035851790026
CC_HYPERLIPIDEMIA,0.20842572062084258,0.4066338299902445,451,0.1893569844789357,0.39187883136025115,2255,0.9373737029042939,0.3486500768727936,0.20842572062084258,0.4066338299902445,451,0.0,1.0,0.1893569844789357,0.39187883136025115,2255,0.9373737029042939,0.3486500768727936
ER_BIN6,0.06430155210643015,0.2872677999084692,451,0.06430155210643015,0.2870127907149256,2255,0.0,1.0,0.06430155210643015,0.2872677999084692,451,0.0,1.0,0.06430155210643015,0.2870127907149256,2255,0.0,1.0
IP_BIN2,0.0,0.0,451,0.0013303769401330377,0.036458146983166066,2255,-0.7748259416067946,0.4385102659527862,0.0,0.0,451,,,0.0013303769401330377,0.036458146983166066,2255,-0.7748259416067946,0.4385102659527862
CC_DEPRESSIVE_DISORDERS,0.0,0.0,451,0.0008869179600886918,0.02977456085082912,2255,-0.6325023164796498,0.5271121740740108,0.0,0.0,451,,,0.0008869179600886918,0.02977456085082912,2255,-0.6325023164796498,0.5271121740740108
