,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,50.77126099706745,12.47673207653645,1364,50.83812316715542,12.518666443705136,6820,-0.18016940132049364,0.8570240414217024,50.77126099706745,12.47673207653645,1364,0.0,1.0,50.83812316715542,12.518666443705136,6820,-0.18016940132049364,0.8570240414217024
ALLOW_AMT,705.7771260997067,2238.564592929536,1364,637.8016129032258,2422.7402392717827,6820,0.9576757012855205,0.3382546092199453,705.7771260997067,2238.564592929536,1364,0.0,1.0,637.8016129032258,2422.7402392717827,6820,0.9576757012855205,0.3382546092199453
MBR_GNDR,0.2118768328445748,0.4087879076213009,1364,0.2118768328445748,0.4086679933014368,6820,0.0,1.0,0.2118768328445748,0.4087879076213009,1364,0.0,1.0,0.2118768328445748,0.4086679933014368,6820,0.0,1.0
CC_TOBACCO,0.0593841642228739,0.23642898868289489,1364,0.05337243401759531,0.22479151802368255,6820,0.8937732717199893,0.37146950096539055,0.0593841642228739,0.23642898868289489,1364,0.0,1.0,0.05337243401759531,0.22479151802368255,6820,0.8937732717199893,0.37146950096539055
CC_PRESSURE,0.001466275659824047,0.03827792952839076,1364,0.0007331378299120235,0.027068575396423288,6820,0.8454495360787071,0.3978846194429032,0.001466275659824047,0.03827792952839076,1364,0.0,1.0,0.0007331378299120235,0.027068575396423288,6820,0.8454495360787071,0.3978846194429032
CC_OBESITY,0.49853372434017595,0.5001812345411873,1364,0.4888563049853372,0.49991245445322635,6820,0.6525942783568697,0.514036209246902,0.49853372434017595,0.5001812345411873,1364,0.0,1.0,0.4888563049853372,0.49991245445322635,6820,0.6525942783568697,0.514036209246902
CC_HYPERTENSION,0.34237536656891493,0.4746784862474549,1364,0.32947214076246334,0.47005600408109444,6820,0.9239564005515003,0.3555362633622954,0.34237536656891493,0.4746784862474549,1364,0.0,1.0,0.32947214076246334,0.47005600408109444,6820,0.9239564005515003,0.3555362633622954
CC_HYPOTHYROID,0.10117302052785923,0.30166829257203603,1364,0.0844574780058651,0.27809306350182195,6820,1.9973125347381468,0.04582430012282435,0.10117302052785923,0.30166829257203603,1364,0.0,1.0,0.0844574780058651,0.27809306350182195,6820,1.9973125347381468,0.04582430012282435
CC_DX_CNT,2.8980938416422286,2.242266409899319,1364,2.8693548387096772,2.161013703341279,6820,0.4455299803027729,0.6559485864708494,2.8980938416422286,2.242266409899319,1364,0.0,1.0,2.8693548387096772,2.161013703341279,6820,0.4455299803027729,0.6559485864708494
ACUTE2,0.0373900293255132,0.20104844140636532,1364,0.03211143695014663,0.18680933127481736,6820,0.940341561675056,0.347070147275944,0.0373900293255132,0.20104844140636532,1364,0.0,1.0,0.03211143695014663,0.18680933127481736,6820,0.940341561675056,0.347070147275944
ACUTE6,0.10777126099706745,0.3860722932022612,1364,0.10733137829912023,0.38322223332185856,6820,0.03865123388578153,0.9691693970278668,0.10777126099706745,0.3860722932022612,1364,0.0,1.0,0.10733137829912023,0.38322223332185856,6820,0.03865123388578153,0.9691693970278668
IP_BIN6,0.024193548387096774,0.16297313963660495,1364,0.024193548387096774,0.16292533290643682,6820,0.0,1.0,0.024193548387096774,0.16297313963660495,1364,0.0,1.0,0.024193548387096774,0.16292533290643682,6820,0.0,1.0
ER_BIN6,0.08797653958944282,0.35258485317180405,1364,0.08680351906158358,0.34265004114819886,6820,0.11485600420014377,0.9085620761460257,0.08797653958944282,0.35258485317180405,1364,0.0,1.0,0.08680351906158358,0.34265004114819886,6820,0.11485600420014377,0.9085620761460257
LOB,0.9567448680351907,0.2035054988235287,1364,0.9567448680351907,0.20344580228401507,6820,0.0,1.0,0.9567448680351907,0.2035054988235287,1364,0.0,1.0,0.9567448680351907,0.20344580228401507,6820,0.0,1.0
Acute6-bin,0.08870967741935484,0.2844285166695377,1364,0.08870967741935484,0.28434508207793047,6820,0.0,1.0,0.08870967741935484,0.2844285166695377,1364,0.0,1.0,0.08870967741935484,0.28434508207793047,6820,0.0,1.0
