,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,50.73811265544989,50.8080468178493,-0.1352036849223415,0.8924541522317293,44.310975575543,47.606399187404776
ALLOW_AMT,712.0702267739575,708.0446232626189,0.04694471834384721,0.9625584304807291,1065.9260224550142,648.8026917216862
MBR_GNDR,0.2121433796634967,0.26949524506218,-4.418108111943382,1.0084779055615366e-05,0.4427486912463599,0.43105637379380396
CC_TOBACCO,0.061448427212874905,0.10270665691294806,-4.736616365417662,2.209672353570208e-06,0.07420198290905214,0.0984002031488065
CC_PRESSURE,0.001463057790782736,0.0057059253840526705,-2.0307922130159324,0.042308276067680305,0.007389618623858873,0.006602336211274758
CC_OBESITY,0.49890270665691294,0.3174835405998537,12.9871284553387,3.4405941748683655e-38,0.10884117089264574,0.22803453529710513
CC_HYPERTENSION,0.3423555230431602,0.3170446232626189,1.8295982372149913,0.06734632667137522,0.2077172979918417,0.2493651599796851
CC_HYPOTHYROID,0.10095098756400878,0.0896854425749817,1.3183521146034458,0.18742262520456812,0.047300292330395066,0.06348400203148806
CC_DX_CNT,2.912216532553036,2.8222384784198975,1.2366644498324575,0.21624709955185403,1.8244194071472257,2.3437023869984763
ACUTE2,0.03950256035113387,0.03130943672275055,1.447749704588156,0.14772529399103965,0.06325782867531127,0.05154900964956831
ACUTE6,0.11558156547183614,0.1063643013899049,0.8161532978825098,0.4144361713684842,0.06325782867531127,0.15337734890807517
IP_BIN6,0.029992684711046085,0.030724213606437453,-0.1263104330213116,0.8994892948149265,0.020586568512481553,0.04685119349923819
ER_BIN6,0.091441111923921,0.07959034381858084,1.224964769210709,0.2206236810312588,0.047286264960190325,0.11617572371762316
LOB,0.9546452084857352,0.818727139722019,12.67822161142746,1.715727791327457e-36,0.7557750683132929,0.7878364652107669
