,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
MBR_GNDR,0.2121433796634967,0.26949524506218,-4.418108111943382,1.0084779055615366e-05,0.4427486912463599,0.43105637379380396
CC_FIBROMYALGIA,0.1141185076810534,0.12040965618141916,-0.6548647025886078,0.5125732362965552,0.06438562923977265,0.09154393092940578
CC_PERIPHERAL,0.016825164594001463,0.028675932699341624,-2.481789059455184,0.013092340679642633,0.019035141367836923,0.023362112747587607
CC_ALZHEIMER,0.0,0.006144842721287491,-2.9068668478605844,0.0036604657232258003,0.003975356716024307,0.005840528186896902
CC_HEPATITIS_E,0.0,0.0,,,2.8054740409486993e-06,0.00012696800406297612
IP_C,0.17410387710314557,0.2117044623262619,-1.7763791203582413,0.0757075197600392,0.020586568512481553,0.19032503809040122
CC_HEPATITIS_B_ACUTE,0.000731528895391368,0.0002926115581565472,0.774672250709121,0.4385556884400956,0.0003562952032004848,0.00025393600812595224
CC_HEART_FAILURE,0.02852962692026335,0.03833211411850768,-1.759764041662321,0.07848510511178124,0.024662922293980014,0.03047232097511427
CC_HEPATITIS_C_UNSPECIFIED,0.001463057790782736,0.0023408924652523777,-0.6330889378329185,0.5266932206586434,0.002252795654881805,0.0024123920771965466
ACUTE_C,0.626188734455011,0.7372348207754206,-2.3017254019288633,0.021375606526460807,0.06325782867531127,0.654393092940579
CC_PERSONALITY,0.02121433796634967,0.023262618873445502,-0.46190431133701254,0.6441621958772632,0.013766461118935267,0.022219400711020822
ER_C,0.4813460131675201,0.5590343818580834,-1.8900475787436066,0.05878683204832488,0.047286264960190325,0.500253936008126
CC_SCHIZOPHRENIA,0.0021945866861741038,0.006144842721287491,-1.8050966873673797,0.0710962198093442,0.004687947122425276,0.005332656170644997
CC_MULTIPLE_SCLEROSIS,0.010241404535479151,0.005559619604974396,1.9911151976679058,0.04650135060507832,0.0033357086346880033,0.004824784154393093
CC_SCHIZOPHRENIA_OTHER,0.002926115581565472,0.011704462326261888,-2.9440040624411883,0.0032490475697111677,0.00903643188589576,0.009776536312849162
CC_HEARING_IMPAIR,0.026335040234089245,0.03672275054864667,-1.9081401157437565,0.05640799652938206,0.020050722970660354,0.034662265109192486
CC_ADHD,0.03584491587417703,0.03540599853694221,0.08007208952003232,0.9361818747872441,0.03224611862666435,0.045073641442356524
CC_LEARN_DISAB,0.000731528895391368,0.002487198244330651,-1.2662707187037603,0.20545214669727888,0.0032627663096233372,0.002793296089385475
ALLOW_IP,79.61228237015362,104.86703584491589,-0.45614812439632785,0.6482955462541815,372.97562528405416,140.5886909598781
CC_ISCHEMIC,0.0936356986100951,0.11119239209948793,-1.9072846784420836,0.05651863740206854,0.07176683144150867,0.0952260030472321
