,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
MBR_GNDR,0.19607404757646218,0.39703408429998405,22364,0.26478790259230167,0.44122237118200297,101840,-21.45964468001675,5.691940778833056e-102,0.4330145982353467,0.49549266532377145,9650961,-71.4585260721787,0.0,0.4293815112752209,0.4949900838648635,113745,-66.41122274934696,0.0
CC_FIBROMYALGIA,0.1233679127168664,0.3288663966790312,22364,0.1292026708562451,0.335425767460438,101840,-2.363807410561304,0.01808974322119916,0.10801691147648405,0.31040178526379564,9650961,7.386235260829609,1.5105648505214344e-13,0.10448810936744472,0.30589404539494985,113745,8.331704920796597,8.041492432492393e-17
CC_PERIPHERAL,0.013861563226614202,0.11691891011792231,22364,0.03293401413982718,0.1784647797039577,101840,-15.278092181395971,1.1952958085889095e-52,0.03991063687854505,0.19574928330099473,9650961,-19.892409407850607,4.7537718433738176e-88,0.0311925798936217,0.17383862785369059,113745,-14.287294578231538,2.8369365407087615e-46
CC_ALZHEIMER,0.0,0.0,22364,0.007030636292223095,0.08355402442105173,101840,-12.583476323736388,2.7395416878456195e-36,0.006680060151522734,0.0814581956308666,9650961,-12.263665792856221,1.4201491763989718e-34,0.008343223877972658,0.09095981108271901,113745,-13.716957965182576,8.582082345155007e-43
CC_HEPATITIS_E,0.0,0.0,22364,0.0,0.0,101840,,,6.7350805790221305e-06,0.0025951947741110486,9650961,-0.3881034983019639,0.6979394517411701,1.7583190469910766e-05,0.004193213074035012,113745,-0.6270818190358591,0.5306066559543854
IP_C,0.200366660704704,0.6927853718842278,22364,0.2616948153967007,0.7977605629000226,101840,-10.648425117130666,1.820690033160546e-26,0.1964784646834652,0.7232925672640983,9650961,0.8030595296679591,0.421940347466757,0.25727724295573434,0.8238697823633636,113745,-9.679255678882239,3.7552499963405617e-22
CC_HEPATITIS_B_ACUTE,0.00044714720085852264,0.02114159989817684,22364,0.0004124116260801257,0.02030383192168414,101840,0.22992928136340868,0.8181471012374124,0.0004632699272124299,0.02151872106253532,9650961,-0.1119210050412939,0.9108860439487592,0.00033408061892830455,0.018274899321597458,113745,0.8232448580368557,0.41037020654887646
CC_HEART_FAILURE,0.027544267572884994,0.1636666693620546,22364,0.04383346425765907,0.20472543374309513,101840,-11.142518576174322,8.037788640180497e-29,0.04634440031412416,0.21022987764147819,9650961,-13.36399946734971,9.822765662441564e-41,0.03918413996219614,0.19403369329330383,113745,-8.402610213488469,4.407909015858151e-17
CC_HEPATITIS_C_UNSPECIFIED,0.0009390091218028975,0.030629550007324882,22364,0.0017969363707776905,0.04235239076634065,101840,-2.8690436659378755,0.004117843529880949,0.002784489544616334,0.0526947478436731,9650961,-5.23536413144515,1.6466334159429906e-07,0.0016352367137017012,0.04040516139738376,113745,-2.4425517966276207,0.014585099449917528
ACUTE_C,0.7631014129851547,2.1044252873858325,22364,0.9333857030636292,1.8306101551914067,101840,-12.246846362801355,1.8285001936152556e-34,0.6196772528663208,1.5560584088708243,9650961,13.754752662020177,4.773549402287537e-43,0.8575673655984879,1.8062529344451077,113745,-6.948690113543669,3.703403443759983e-12
