,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
MBR_GNDR,0.2121433796634967,0.4089754544299665,1367,0.26949524506218,0.44373005873744736,6835,-4.418108111943382,1.0084779055615366e-05,0.4427486912463599,0.4967121699947672,356446,-17.1429175412357,7.544162165655428e-66,0.43105637379380396,0.4952554076972182,7876,-15.45363177031528,3.2918041453260513e-53
CC_FIBROMYALGIA,0.1141185076810534,0.3180715049879921,1367,0.12040965618141916,0.3254637745793853,6835,-0.6548647025886078,0.5125732362965552,0.06438562923977265,0.24543897202713785,356446,7.467764765568506,8.175222824079565e-14,0.09154393092940578,0.2883993760422765,7876,2.629783119059628,0.008558093176685344
CC_PERIPHERAL,0.016825164594001463,0.12866308055330236,1367,0.028675932699341624,0.16690625909643894,6835,-2.481789059455184,0.013092340679642633,0.019035141367836923,0.13664866317370022,356446,-0.5969383413600677,0.5505489252629823,0.023362112747587607,0.15106032485929602,7876,-1.5078278843588313,0.13163276792540254
CC_ALZHEIMER,0.0,0.0,1367,0.006144842721287491,0.07815354925779111,6835,-2.9068668478605844,0.0036604657232258003,0.003975356716024307,0.06292506943547778,356446,-2.3358021511566704,0.019502104846614896,0.005840528186896902,0.076204683190173,7876,-2.8335788398289847,0.004612969030067398
CC_HEPATITIS_E,0.0,0.0,1367,0.0,0.0,6835,,,2.8054740409486993e-06,0.0016749549369904553,356446,-0.061927960865273475,0.9506202352654078,0.00012696800406297612,0.011268007990012084,7876,-0.41659301575202795,0.676985794477025
IP_C,0.17410387710314557,0.7222480345852546,1367,0.2117044623262619,0.7128429731247399,6835,-1.7763791203582413,0.0757075197600392,0.020586568512481553,0.14199583893771575,356446,38.127426181711776,0.0,0.19032503809040122,0.6891174726867841,7876,-0.797593305734677,0.4251270306163608
CC_HEPATITIS_B_ACUTE,0.000731528895391368,0.02704679085199144,1367,0.0002926115581565472,0.017104640923743048,6835,0.774672250709121,0.4385556884400956,0.0003562952032004848,0.018872447010185603,356446,0.7322422389103683,0.464021207116299,0.00025393600812595224,0.015934357918775722,7876,0.9048510025183172,0.36556791666242894
CC_HEART_FAILURE,0.02852962692026335,0.16654121705047753,1367,0.03833211411850768,0.19201082565879288,6835,-1.759764041662321,0.07848510511178124,0.024662922293980014,0.15509587371307407,356446,0.9197440725711404,0.3577071356719558,0.03047232097511427,0.171893892322855,7876,-0.3874819795244151,0.6984083471637632
CC_HEPATITIS_C_UNSPECIFIED,0.001463057790782736,0.03823593516872915,1367,0.0023408924652523777,0.048329643306039005,6835,-0.6330889378329185,0.5266932206586434,0.002252795654881805,0.04741019798058792,356446,-0.6151120715195689,0.538481101708177,0.0024123920771965466,0.049059943315937035,7876,-0.6804628756950089,0.4962284683563296
ACUTE_C,0.626188734455011,1.928438334364985,1367,0.7372348207754206,1.561446249327673,6835,-2.3017254019288633,0.021375606526460807,0.06325782867531127,0.24342646123420128,356446,76.76632150953431,0.0,0.654393092940579,1.538057236699298,7876,-0.6009627106921752,0.5478795626483155
CC_PERSONALITY,0.02121433796634967,0.1441509300310812,1367,0.023262618873445502,0.15074745173738396,6835,-0.46190431133701254,0.6441621958772632,0.013766461118935267,0.11652031478275192,356446,2.356375934061885,0.01845476701056539,0.022219400711020822,0.14740575891727337,7876,-0.23346177062684909,0.8154080231177121
ER_C,0.4813460131675201,1.6929952844555431,1367,0.5590343818580834,1.3177459685587927,6835,-1.8900475787436066,0.05878683204832488,0.047286264960190325,0.21225079621531256,356446,67.79613029144797,0.0,0.500253936008126,1.3188258121563676,7876,-0.46744038027364126,0.6401958599510514
CC_SCHIZOPHRENIA,0.0021945866861741038,0.04681210878082369,1367,0.006144842721287491,0.07815354925779111,6835,-1.8050966873673797,0.0710962198093442,0.004687947122425276,0.06830800366353731,356446,-1.3483624418877458,0.1775426912008786,0.005332656170644997,0.07283469297267083,7876,-1.5387278757970564,0.12390498213257861
CC_MULTIPLE_SCLEROSIS,0.010241404535479151,0.1007171224416716,1367,0.005559619604974396,0.07436073719001211,6835,1.9911151976679058,0.04650135060507832,0.0033357086346880033,0.05765926646815968,356446,4.402482247723938,1.0705028766245088e-05,0.004824784154393093,0.06929729668071469,7876,2.472210863490583,0.013445900476738782
CC_SCHIZOPHRENIA_OTHER,0.002926115581565472,0.054034149074752756,1367,0.011704462326261888,0.10756003218184068,6835,-2.9440040624411883,0.0032490475697111677,0.00903643188589576,0.09462980453919373,356446,-2.3858780641621644,0.0170389161951942,0.009776536312849162,0.09839809438334851,7876,-2.5091352815707713,0.012119685705580094
CC_HEARING_IMPAIR,0.026335040234089245,0.16018825526279448,1367,0.03672275054864667,0.18809403591434037,6835,-1.9081401157437565,0.05640799652938206,0.020050722970660354,0.14017398689864935,356446,1.6534469531964386,0.09824081093926836,0.034662265109192486,0.18293452784046718,7876,-1.5810784102387598,0.11389433407677842
CC_ADHD,0.03584491587417703,0.18597139045814298,1367,0.03540599853694221,0.18481723737575387,6835,0.08007208952003232,0.9361818747872441,0.03224611862666435,0.1766533158729485,356446,0.7516210163537963,0.4522794953731736,0.045073641442356524,0.20747885179296874,7876,-1.5406424006940962,0.1234380820978188
