,Coefficient,Standard Error,z-statistic,p-value
Age,1.997,0.591,3.377,0.001
Total Cost,0.053,0.03,1.735,0.083
Gender,0.334,0.155,2.156,0.031
Tobacco Use,0.456,0.213,2.14,0.032
Pressure,-0.712,1.013,-0.703,0.482
Obesity,0.795,0.153,5.182,0.0
Hypertension,0.319,0.177,1.799,0.072
Hypothyroid,-0.087,0.248,-0.352,0.725
Disease Count,0.272,0.776,0.351,0.726
Acute Care 2 Months,-0.043,0.386,-0.111,0.911
Acute Care 6 Months,14.147,920.595,0.015,0.988
Inpatient Visits 6 Months,-14.183,920.595,-0.015,0.988
Emergency Vistits 6 Months,-14.006,920.595,-0.015,0.988
Line of Bussiness,-0.635,0.204,-3.114,0.002
Treatment,0.115,0.189,0.607,0.544
