,Coefficient,Standard Error,z-statistic,p-value
Age,1.281,0.327,3.921,0.0
Total Cost,0.096,0.019,5.033,0.0
Gender,0.095,0.091,1.038,0.299
Tobacco Use,0.055,0.123,0.447,0.655
Pressure,0.225,0.281,0.799,0.424
Obesity,-0.03,0.088,-0.343,0.732
Hypertension,0.122,0.102,1.196,0.232
Hypothyroid,-0.123,0.127,-0.972,0.331
Disease Count,2.777,0.356,7.796,0.0
Acute Care 2 Months,0.933,0.148,6.288,0.0
Acute Care 6 Months,-0.216,0.312,-0.692,0.489
Inpatient Visits 6 Months,0.964,0.281,3.433,0.001
Emergency Vistits 6 Months,0.159,0.286,0.556,0.578
Line of Bussiness,-0.23,0.124,-1.858,0.063
Treatment,-0.308,0.124,-2.489,0.013
