,Coefficient,Standard Error,z-statistic,p-value
Age,-0.235,0.203,-1.158,0.247
Total Cost,0.067,0.011,6.024,0.0
Gender,-0.017,0.068,-0.252,0.801
Tobacco Use,0.126,0.096,1.312,0.189
Pressure,-0.026,0.334,-0.076,0.939
Obesity,0.014,0.058,0.24,0.811
Hypertension,0.11,0.068,1.615,0.106
Hypothyroid,-0.208,0.097,-2.151,0.031
Disease Count,0.985,0.268,3.679,0.0
Acute Care 2 Months,1.666,0.126,13.194,0.0
Acute Care 6 Months,0.534,0.3,1.783,0.075
Inpatient Visits 6 Months,-0.115,0.253,-0.456,0.649
Emergency Vistits 6 Months,-0.021,0.28,-0.074,0.941
Line of Bussiness,-0.558,0.083,-6.757,0.0
Treatment,-0.412,0.077,-5.366,0.0
