,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,50.73811265544989,50.79947268199795,-0.16579455668111687,0.8683227212781848,44.310975575543,47.606399187404776
ALLOW_AMT,712.0702267739575,589.2846052438846,2.3051878582125216,0.021180924521764836,1065.9260224550142,648.8026917216862
MBR_GNDR,0.2121433796634967,0.21195254137981545,0.01575594248203461,0.987429480566522,0.4427486912463599,0.43105637379380396
CC_TOBACCO,0.061448427212874905,0.06972315804892339,-1.1066503489453934,0.26847762495580724,0.07420198290905214,0.0984002031488065
CC_PRESSURE,0.001463057790782736,0.002343635564669694,-0.6346961792845598,0.5256443107224863,0.007389618623858873,0.006602336211274758
CC_OBESITY,0.49890270665691294,0.49934085249743665,-0.02956973269528017,0.976410924875363,0.10884117089264574,0.22803453529710513
CC_HYPERTENSION,0.3423555230431602,0.34905522191299254,-0.47463989506031234,0.6350563174546788,0.2077172979918417,0.2493651599796851
CC_HYPOTHYROID,0.10095098756400878,0.08993701479419951,1.2874440291305145,0.19797593737987534,0.047300292330395066,0.06348400203148806
CC_DX_CNT,2.912216532553036,2.730628387285777,2.846848443302053,0.004426415164387613,1.8244194071472257,2.3437023869984763
ACUTE2,0.03950256035113387,0.03149260290024901,1.44650704530261,0.14807329667011673,0.06325782867531127,0.05154900964956831
ACUTE6,0.11558156547183614,0.10956496264830819,0.5109362737412647,0.6094094490719641,0.06325782867531127,0.15337734890807517
IP_BIN6,0.029992684711046085,0.026512377325325912,0.6376224826895339,0.52373727728991,0.020586568512481553,0.04685119349923819
ER_BIN6,0.091441111923921,0.08773985645232166,0.3546871738798148,0.7228330908332232,0.047286264960190325,0.11617572371762316
LOB,0.9546452084857352,0.9557638787168595,-0.1832169202699479,0.8546323528084141,0.7557750683132929,0.7878364652107669
