,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
CC_COPD,0.025934537649794313,0.15894359703258515,22364,0.019380517327782273,0.13785897153549043,103764,6.268210781798079,3.6639567171504355e-10,0.046530806621226634,0.21063165776641518,9650961,-14.613468193461966,2.307544006428186e-48,0.039992966723812036,0.19594352982371532,113745,-10.096286118381636,5.8500767859451084e-24
CC_OSTEOPOROSIS,0.01345913074584153,0.11523270496360818,22364,0.013607802320650708,0.1158566329356734,103764,-0.1742261525487765,0.8616880127162978,0.02223001419236903,0.14743080720653548,9650961,-8.890427482042863,6.088433034894391e-19,0.02513517077673744,0.15653628778202594,113745,-10.60400561204549,2.9230879861251414e-26
CC_HYPERTENSION,0.33227508495796815,0.4710395674453078,22364,0.3423345283528006,0.4744931704649715,103764,-2.879356732907878,0.003985543142995178,0.32876777763375065,0.4697654190014261,9650961,1.1152241977299038,0.2647543868820492,0.30017143610708164,0.4583343669269743,113745,9.53176241512596,1.5704884060503576e-21
CC_HEPATITIS_C_CHRONIC,0.0008495796816311929,0.02913581737546164,22364,0.0004914999421764774,0.022164455878963554,103764,2.0623066897016087,0.03918058966807248,0.0039207494466095135,0.06249302021064805,9650961,-7.347467684805716,2.0201288449234309e-13,0.002619895380016704,0.051118044770237174,113745,-5.021174878179509,5.142105445369961e-07
CC_HYPOTHYROID,0.09792523698801646,0.2972201793954332,22364,0.0941270575536795,0.29200680872043394,103764,1.7587017329431662,0.07863060767027474,0.07832453161918279,0.2686816086856012,9650961,10.894156638387939,1.2294537920578575e-27,0.07482526704470527,0.26311034771107217,113745,11.739172708829475,8.315709296652934e-32
CC_COLORECTAL_CANCER,0.002101591844035056,0.045795948887969284,22364,0.0023418526656643923,0.04833622769878506,103764,-0.6804234271118965,0.4962376404538129,0.004379978325474531,0.06603631248936984,9650961,-5.156766211065177,2.512561152142397e-07,0.0033495977845180006,0.057778952302078995,113745,-3.0474121586659084,0.0023086520077293506
CC_DISAB_DX_CNT,0.06197460203899124,0.26497144106246984,22364,0.038356269997301566,0.20600129536316913,103764,14.720800641893982,5.206455604812558e-49,0.087024701477915,0.3271952745903467,9650961,-11.44056343009252,2.6229519699693504e-30,0.08693129368323882,0.3202614148199008,113745,-10.940513432913946,7.5780230961421895e-28
CC_AMI,0.0012967268824897156,0.035987543568061595,22364,0.0019081762460969123,0.04364118999495537,103764,-1.9567708795227852,0.0503766152834764,0.003498926169114143,0.05904815023398852,9650961,-5.574914634676408,2.4765785060096537e-08,0.003121016308409161,0.05577905448219538,113745,-4.702346294488139,2.574404377831027e-06
CC_FIBROMYALGIA,0.1233679127168664,0.3288663966790312,22364,0.1294475926140087,0.335696290449928,103764,-2.465373970062673,0.013688352999375316,0.10801691147648405,0.31040178526379564,9650961,7.386235260829609,1.5105648505214344e-13,0.10448810936744472,0.30589404539494985,113745,8.331704920796597,8.041492432492393e-17
ER_BIN2,0.024593096047218745,0.16843867391430578,22364,0.025133957827377512,0.16498548385237485,103764,-0.4430068147875079,0.6577615652908129,0.04388215847105796,0.2183781255133379,9650961,-13.200110303939285,8.767623346115472e-40,0.0361774143918414,0.19717484196981966,113745,-8.216346226122921,2.1161228712121126e-16
CC_ANXIETY_DISORDER,0.2796905741370059,0.4488571773674116,22364,0.2974442003006823,0.45713582438435324,103764,-5.284701468861539,1.2611846236428206e-07,0.2098859377838124,0.407227022786511,9650961,25.59834891094639,1.609318688268746e-144,0.2408457514616027,0.4275987405568162,113745,12.316535635883971,7.702341444820755e-35
CC_ENDOMETRIAL_CANCER,0.0028170273654086926,0.053002050296173,22364,0.0014648625727612659,0.03824566442242254,103764,4.446410441293652,8.739144108073448e-06,0.0018416818801775285,0.0428752875034931,9650961,3.3959288564198298,0.0006839640939710993,0.0018110686184008087,0.04251828480014278,113745,3.096610790628109,0.001957864674212616
CC_HYPERLIPIDEMIA,0.26354856018601325,0.44056712962957256,22364,0.2736498207470799,0.4458335024705122,103764,-3.079649734809313,0.0020728869704522896,0.28211563594547734,0.45002936002627747,9650961,-6.163049884818151,7.135981450596136e-10,0.2544287660996088,0.43554154430424824,113745,2.857106216477863,0.00427587520501973
CC_CYSTIC_FIBROSIS,0.0018333035235199428,0.04277878388567381,22364,0.001079372422034617,0.032836226462055876,103764,2.9380489503846543,0.0033034463330689555,0.002901679946691319,0.0537890369868077,9650961,-2.9681593850625876,0.0029958967172896574,0.0031122247131742053,0.05570068264405551,113745,-3.2503557312286997,0.0011528872128829535
ACUTE_C,0.7631014129851547,2.1044252873858325,22364,0.7492001079372422,1.7909531310112106,103764,1.0190129242267418,0.30819878542185597,0.6196772528663208,1.5560584088708243,9650961,13.754752662020177,4.773549402287537e-43,0.8575673655984879,1.8062529344451077,113745,-6.948690113543669,3.703403443759983e-12
CC_HEPATITIS_B_CHRONIC,0.00026828832051511357,0.016377677968721218,22364,0.0003083921205813191,0.017558473340426973,103764,-0.3134396838146742,0.7539471570253929,0.0006371386227754936,0.02523356382136617,9650961,-2.184914320274317,0.028895153239156535,0.00023737307134379532,0.015405155363699873,113745,0.2714602605805277,0.786037471698397
CC_ATRIAL_FIB,0.016902164192452156,0.12890781230238357,22364,0.014764272772830654,0.1206085785089511,103764,2.374580010913744,0.017570415109176046,0.03627980674670636,0.18698552348226535,9650961,-15.489188486519144,4.110545599633642e-54,0.03206294782188228,0.17616806761631035,113745,-12.241472985715195,1.9457388978448754e-34
CC_SCHIZOPHRENIA,0.002056877123949204,0.045307153607998515,22364,0.002255117381750896,0.04743472896182823,103764,-0.5713347591779936,0.567773762118416,0.007299480331544185,0.08512460672015026,9650961,-9.207126209979682,3.3503640652475386e-20,0.006083783902589125,0.07776133124664462,113745,-7.498102704543247,6.513841266683338e-14
CC_PERSONALITY,0.024995528527991414,0.15611483549517197,22364,0.021317605335183686,0.14444156639800965,103764,3.403477164297652,0.0006655465169837449,0.021903829059095773,0.14636957864096553,9650961,3.1546379242940303,0.0016069789306170103,0.023737307134379534,0.1522302569178187,113745,1.1251676976441207,0.2605199626659658
ER_BIN6,0.07865319263101413,0.37067342126573094,22364,0.07892910836128136,0.3339449612315423,103764,-0.10983430210977473,0.9125409612018904,0.12247547161365588,0.42226064266417296,9650961,-15.506068017327557,3.1610027876847935e-54,0.11102026462701657,0.3957463477712053,113745,-11.295523474378127,1.423336661996411e-29
ACUTE2,0.03201573958147022,0.18973768839510183,22364,0.03395204502524961,0.19175559074026868,103764,-1.3722262953691666,0.1699954423281562,0.06049604801014117,0.25841858157831415,9650961,-16.471175177020726,5.922420078853335e-61,0.04960218031561827,0.23366120084947217,113745,-10.589975995181069,3.3956322948737364e-26
IP_BIN,0.004203183688070112,0.06469701768661008,22364,0.004982460198141937,0.07041081640604437,103764,-1.5223836138392395,0.12791549522734225,0.010316692814321807,0.10104582980830727,9650961,-9.043586833319166,1.516403223947685e-19,0.008158600378038595,0.08995614909751797,113745,-6.264750101418174,3.745349988399768e-10
CC_GLAUCOMA,0.056295832588088,0.23049726130499923,22364,0.053612042712308704,0.22525159392600946,103764,1.6094088127713198,0.10752948221795419,0.06562040816453409,0.24761739953008718,9650961,-5.625836091876822,1.8461665874400032e-08,0.06024880214514924,0.23794827538755303,113745,-2.2827010920380078,0.02244951640101348
CC_HEPATITIS_C_ACUTE,0.0,0.0,22364,0.00018310782159515823,0.013530560131467346,103764,-2.0237856467476467,0.042994315818794496,0.00029313143012390163,0.01711857279252467,9650961,-2.56076397991166,0.010444243362938685,8.791595234955383e-05,0.009375979735216297,113745,-1.4022468885008539,0.16084381501024472
