,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
CC_COPD,0.027066569129480616,0.16233683539952468,1367,0.016551926175479712,0.12759445370009814,6827,2.647846563204135,0.008116145501875538,0.02924426140284924,0.16849069476613263,356446,-0.4770161899130166,0.6333508843943496,0.0366937531742001,0.1880207706637014,7876,-1.781362231676346,0.07488612838545392
CC_OSTEOPOROSIS,0.011704462326261888,0.10759152392082078,1367,0.010106928372638055,0.10003121541973119,6827,0.5320576212620237,0.5947005162741252,0.012882736796036427,0.11276882355223,356446,-0.38564248723797473,0.6997616916750002,0.020441848654139158,0.14151509532658754,7876,-2.1761804168783563,0.02956701532788402
CC_HYPERTENSION,0.3423555230431602,0.4746715094522235,1367,0.34905522191299254,0.47670636744742484,6827,-0.47463989506031234,0.6350563174546788,0.2077172979918417,0.40567386384542287,356446,12.238795068334985,1.9596205895235666e-34,0.2493651599796851,0.432673024503863,7876,7.227219330954128,5.320843790672734e-13
CC_HEPATITIS_C_CHRONIC,0.0021945866861741038,0.04681210878082369,1367,0.00029295444558371175,0.01711465828299504,6827,2.599556904768141,0.009351164466245112,0.0031898239845586708,0.05638845562660838,356446,-0.651699416696234,0.5145955175400951,0.0024123920771965466,0.049059943315937035,7876,-0.15253356352005223,0.8787694503841648
CC_HYPOTHYROID,0.10095098756400878,0.30137406616541623,1367,0.08993701479419951,0.2861124583781654,6827,1.2874440291305145,0.19797593737987534,0.047300292330395066,0.21228071297038403,356446,9.308455847615443,1.3040199581723611e-20,0.06348400203148806,0.24384694626824827,7876,5.050777004183618,4.484259238542058e-07
CC_COLORECTAL_CANCER,0.0,0.0,1367,0.001171817782334847,0.03421426740431917,6827,-1.2662396179917592,0.20546331231524295,0.0028756108919724167,0.05354764045451312,356446,-1.985516196069974,0.047087832026761416,0.0024123920771965466,0.04905994331593703,7876,-1.8179657199581714,0.06910173574647738
CC_DISAB_DX_CNT,0.06071689831748354,0.27051344467126365,1367,0.02577999121136663,0.16835092404944937,6827,6.229933591073463,4.896580413405952e-10,0.056765961744555976,0.27302008016658075,356446,0.5340398842987819,0.5933142717204175,0.07732351447435247,0.3085881787868733,7876,-1.868938005758744,0.06166304924337828
CC_AMI,0.001463057790782736,0.03823593516872915,1367,0.0020506811190859823,0.04524130449096342,6827,-0.4491744169669714,0.6533177233569623,0.0023622091424788045,0.04854519257275982,356446,-0.6839976107098701,0.4939771175058565,0.0015236160487557136,0.03900625364174058,7876,-0.05314087430016125,0.9576208131326533
CC_FIBROMYALGIA,0.1141185076810534,0.3180715049879921,1367,0.11220155265856159,0.3156373826396249,6827,0.20469857470704733,0.8378127194587994,0.06438562923977265,0.24543897202713785,356446,7.467764765568506,8.175222824079565e-14,0.09154393092940578,0.2883993760422765,7876,2.629783119059628,0.008558093176685344
