,Coefficient,Standard Error,z-statistic,p-value
Age,1.871,0.461,4.062,0.0
Total Cost,0.012,0.03,0.41,0.682
Gender,0.381,0.153,2.497,0.013
Tobacco Use,0.172,0.254,0.677,0.499
Pressure,-13.875,1021.863,-0.014,0.989
Obesity,0.859,0.159,5.403,0.0
Hypertension,0.46,0.163,2.818,0.005
Hypothyroid,-0.239,0.248,-0.965,0.335
Disease Count,0.472,0.72,0.655,0.513
Acute Care 2 Months,0.956,0.42,2.278,0.023
Acute Care 6 Months,-1.084,1.209,-0.896,0.37
Inpatient Visits 6 Months,0.24,1.047,0.229,0.819
Emergency Vistits 6 Months,0.785,1.15,0.683,0.495
Line of Bussiness,-0.378,0.316,-1.194,0.233
Treatment,-0.031,0.18,-0.171,0.864
