,coef,std err,t,P>|t|,[0.025,0.975]
const,1.3304,0.405,3.2880000000000003,0.001,0.537,2.124
AGE_AT_MIDMONTH,-0.0064,0.005,-1.172,0.242,-0.017,0.004
ALLOW_AMT,3.123e-05,3.06e-05,1.021,0.308,-2.8800000000000002e-05,9.13e-05
MBR_GNDR,-0.3021,0.16699999999999998,-1.814,0.07,-0.629,0.025
CC_TOBACCO,0.5211,0.271,1.92,0.055,-0.011000000000000001,1.053
CC_PRESSURE,1.5813,1.5959999999999999,0.991,0.322,-1.55,4.712
CC_OBESITY,-0.3516,0.161,-2.188,0.028999999999999998,-0.667,-0.036000000000000004
CC_HYPERTENSION,0.0427,0.154,0.278,0.7809999999999999,-0.259,0.344
CC_HYPOTHYROID,0.096,0.212,0.45299999999999996,0.6509999999999999,-0.32,0.512
CC_DX_CNT,-0.0253,0.038,-0.6659999999999999,0.506,-0.1,0.049
ACUTE2,1.2406,0.419,2.9610000000000003,0.003,0.419,2.063
ACUTE6,-0.8671,1.133,-0.765,0.444,-3.09,1.3559999999999999
IP_BIN6,0.1577,1.0290000000000001,0.153,0.878,-1.8619999999999999,2.177
ER_BIN6,0.2639,1.079,0.245,0.807,-1.8519999999999999,2.38
LOB,-0.4476,0.317,-1.411,0.158,-1.07,0.175
PG_1,-0.3208,0.16899999999999998,-1.8940000000000001,0.057999999999999996,-0.653,0.011000000000000001
PG_2,0.1637,0.301,0.545,0.586,-0.426,0.754
