,coef,std err,t,P>|t|,[0.025,0.975]
const,1.1967,0.419,2.855,0.004,0.374,2.019
AGE_AT_MIDMONTH,-0.006,0.005,-1.094,0.27399999999999997,-0.017,0.005
ALLOW_AMT,2.889e-05,3.06e-05,0.9440000000000001,0.345,-3.12e-05,8.89e-05
MBR_GNDR,-0.2512,0.184,-1.3619999999999999,0.17300000000000001,-0.613,0.11
CC_TOBACCO,0.2835,0.138,2.055,0.04,0.013000000000000001,0.5539999999999999
CC_PRESSURE,1.5885,1.598,0.9940000000000001,0.32,-1.546,4.723
CC_OBESITY,-0.2373,0.174,-1.3659999999999999,0.172,-0.578,0.10300000000000001
CC_HYPERTENSION,0.0552,0.153,0.361,0.718,-0.245,0.355
CC_HYPOTHYROID,-0.007,0.225,-0.031,0.975,-0.449,0.435
CC_DX_CNT,-0.0288,0.038,-0.757,0.449,-0.10300000000000001,0.046
ACUTE2,1.2271,0.419,2.926,0.003,0.40399999999999997,2.05
ACUTE6,-0.8559,1.135,-0.754,0.451,-3.082,1.37
IP_BIN6,0.15,1.031,0.146,0.884,-1.8719999999999999,2.1719999999999997
ER_BIN6,0.2635,1.08,0.244,0.807,-1.8559999999999999,2.383
LOB,-0.4388,0.317,-1.382,0.16699999999999998,-1.061,0.184
PG_1,-0.1168,0.2,-0.585,0.5589999999999999,-0.509,0.275
PG_2,0.2835,0.138,2.055,0.04,0.013000000000000001,0.5539999999999999
