,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
CC_SPINA_BIFIDA,0.001303780964797914,0.036107907233705945,767,0.001303780964797914,0.036089066685992904,3835,0.0,1.0,0.001303780964797914,0.036107907233705945,767,0.0,1.0,0.001303780964797914,0.036089066685992904,3835,0.0,1.0
CC_BREAST_CANCER,0.035202086049543675,0.1844105126499012,767,0.020338983050847456,0.14117544341041305,3835,2.517744814693709,0.011844576327097683,0.035202086049543675,0.1844105126499012,767,0.0,1.0,0.020338983050847456,0.14117544341041305,3835,2.517744814693709,0.011844576327097683
CC_HYPERLIPIDEMIA,0.29465449804432853,0.4561847735012521,767,0.30586701434159064,0.46083376621942507,3835,-0.6161592374005632,0.5378199166110476,0.29465449804432853,0.4561847735012521,767,0.0,1.0,0.30586701434159064,0.46083376621942507,3835,-0.6161592374005632,0.5378199166110476
CC_ANXIETY_DISORDER,0.2620599739243807,0.4400420482537219,767,0.29882659713168186,0.4578033554720339,3835,-2.0433875725483794,0.04107094463210211,0.2620599739243807,0.4400420482537219,767,0.0,1.0,0.29882659713168186,0.4578033554720339,3835,-2.0433875725483794,0.04107094463210211
CC_HEPATITIS_GEN,0.003911342894393742,0.06245903065896449,767,0.0031290743155149934,0.05585782661368636,3835,0.34690523179869953,0.7286783846579774,0.003911342894393742,0.06245903065896449,767,0.0,1.0,0.0031290743155149934,0.05585782661368636,3835,0.34690523179869953,0.7286783846579774
CC_EPILEPSY,0.010430247718383311,0.10166086827639928,767,0.01225554106910039,0.11003863025594778,3835,-0.42457717326130795,0.6711647926567565,0.010430247718383311,0.10166086827639928,767,0.0,1.0,0.01225554106910039,0.11003863025594778,3835,-0.42457717326130795,0.6711647926567565
ER_BIN6,0.08996088657105607,0.3627439286012545,767,0.08839634941329856,0.3490181613927489,3835,0.1125807379442141,0.9103678692240551,0.08996088657105607,0.3627439286012545,767,0.0,1.0,0.08839634941329856,0.3490181613927489,3835,0.1125807379442141,0.9103678692240551
CC_CATARACT,0.06649282920469361,0.24930416402815314,767,0.06883963494132986,0.25321425439119355,3835,-0.23491297745588807,0.8142867327556907,0.06649282920469361,0.24930416402815314,767,0.0,1.0,0.06883963494132986,0.25321425439119355,3835,-0.23491297745588807,0.8142867327556907
IP_BIN,0.007822685788787484,0.0881568140934443,767,0.004954367666232073,0.07022184648766429,3835,0.9864431653120115,0.3239675736494554,0.007822685788787484,0.0881568140934443,767,0.0,1.0,0.004954367666232073,0.07022184648766429,3835,0.9864431653120115,0.3239675736494554
CC_PRESSURE,0.002607561929595828,0.051030949449823115,767,0.001303780964797914,0.03608906668599291,3835,0.8456796848412723,0.3977754454254172,0.002607561929595828,0.051030949449823115,767,0.0,1.0,0.001303780964797914,0.03608906668599291,3835,0.8456796848412723,0.3977754454254172
CC_HEPATITIS_E,0.0,0.0,767,0.0,0.0,3835,,,0.0,0.0,767,,,0.0,0.0,3835,,
CC_OBESITY,0.7379400260756193,0.4400420482537219,767,0.7142112125162973,0.4518481981686759,3835,1.3334093651010197,0.18246352556087872,0.7379400260756193,0.4400420482537219,767,0.0,1.0,0.7142112125162973,0.4518481981686759,3835,1.3334093651010197,0.18246352556087872
CC_TOBACCO,0.0,0.0,767,0.018252933507170794,0.13388217892506854,3835,-3.775459539206105,0.0001617271103982132,0.0,0.0,767,,,0.018252933507170794,0.13388217892506854,3835,-3.775459539206105,0.0001617271103982132
CC_LEUKEMIAS,0.010430247718383311,0.10166086827639928,767,0.007822685788787484,0.08811081523088475,3835,0.728373841149976,0.46642184814846654,0.010430247718383311,0.10166086827639928,767,0.0,1.0,0.007822685788787484,0.08811081523088475,3835,0.728373841149976,0.46642184814846654
CC_INT_DISAB,0.001303780964797914,0.036107907233705945,767,0.0015645371577574967,0.03952843042620958,3835,-0.16912331629615032,0.8657070815332155,0.001303780964797914,0.036107907233705945,767,0.0,1.0,0.0015645371577574967,0.03952843042620958,3835,-0.16912331629615032,0.8657070815332155
