,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,35.142857142857146,6.895296424516853,77,35.20519480519481,6.945245227999965,385,-0.0719834163052332,0.9426463918603216,35.142857142857146,6.895296424516853,77,0.0,1.0,35.20519480519481,6.945245227999965,385,-0.0719834163052332,0.9426463918603216
ALLOW_AMT,1081.948051948052,4101.548301672198,77,693.922077922078,1785.2806878856159,385,1.3326445441469792,0.1833082047443735,1081.948051948052,4101.548301672198,77,0.0,1.0,693.922077922078,1785.2806878856159,385,1.3326445441469792,0.1833082047443735
MBR_GNDR,0.14285714285714285,0.3522217346728335,77,0.14285714285714285,0.35038244411336755,385,0.0,1.0,0.14285714285714285,0.3522217346728335,77,0.0,1.0,0.14285714285714285,0.35038244411336755,385,0.0,1.0
CC_TOBACCO,0.4675324675324675,0.5022165496554036,77,0.3168831168831169,0.4658668548060984,385,2.5563465501084597,0.010897946490078116,0.4675324675324675,0.5022165496554036,77,0.0,1.0,0.3168831168831169,0.4658668548060984,385,2.5563465501084597,0.010897946490078116
CC_PRESSURE,0.0,0.0,77,0.0,0.0,385,,,0.0,0.0,77,,,0.0,0.0,385,,
CC_OBESITY,0.6363636363636364,0.48420012470625223,77,0.6,0.4905354217587146,385,0.5950786105489523,0.5520835407496836,0.6363636363636364,0.48420012470625223,77,0.0,1.0,0.6,0.4905354217587146,385,0.5950786105489523,0.5520835407496836
CC_HYPERTENSION,0.2857142857142857,0.45471630418672376,77,0.21298701298701297,0.4099512958084959,385,1.3947943959130178,0.16375099003272825,0.2857142857142857,0.45471630418672376,77,0.0,1.0,0.21298701298701297,0.4099512958084959,385,1.3947943959130178,0.16375099003272825
CC_HYPOTHYROID,0.05194805194805195,0.22337741817404583,77,0.046753246753246755,0.21138458212093325,385,0.19498633553968334,0.8454897353301882,0.05194805194805195,0.22337741817404583,77,0.0,1.0,0.046753246753246755,0.21138458212093325,385,0.19498633553968334,0.8454897353301882
CC_DX_CNT,3.5064935064935066,2.760736823001847,77,3.3558441558441556,2.478159468365454,385,0.47754276515908345,0.6332024985150554,3.5064935064935066,2.760736823001847,77,0.0,1.0,3.3558441558441556,2.478159468365454,385,0.47754276515908345,0.6332024985150554
ACUTE2,0.11688311688311688,0.3233877407933399,77,0.1038961038961039,0.33790159688508303,385,0.3100349954902173,0.7566747520402077,0.11688311688311688,0.3233877407933399,77,0.0,1.0,0.1038961038961039,0.33790159688508303,385,0.3100349954902173,0.7566747520402077
ACUTE6,0.2727272727272727,0.6616638444574412,77,0.2701298701298701,0.653329799442691,385,0.031779155559414775,0.9746619533752181,0.2727272727272727,0.6616638444574412,77,0.0,1.0,0.2701298701298701,0.653329799442691,385,0.031779155559414775,0.9746619533752181
IP_BIN6,0.05194805194805195,0.2760674925154839,77,0.05194805194805195,0.2746258769569472,385,0.0,1.0,0.05194805194805195,0.2760674925154839,77,0.0,1.0,0.05194805194805195,0.2746258769569472,385,0.0,1.0
ER_BIN6,0.23376623376623376,0.6047205508615637,77,0.22857142857142856,0.5815875236102023,385,0.07107509969395447,0.9433688752137244,0.23376623376623376,0.6047205508615637,77,0.0,1.0,0.22857142857142856,0.5815875236102023,385,0.07107509969395447,0.9433688752137244
LOB,0.8181818181818182,0.38822377998943125,77,0.8181818181818182,0.3861964879083279,385,0.0,1.0,0.8181818181818182,0.38822377998943125,77,0.0,1.0,0.8181818181818182,0.3861964879083279,385,0.0,1.0
Acute6-bin,0.18181818181818182,0.3882237799894312,77,0.18181818181818182,0.38619648790832783,385,0.0,1.0,0.18181818181818182,0.3882237799894312,77,0.0,1.0,0.18181818181818182,0.38619648790832783,385,0.0,1.0
