,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
MBR_GNDR,0.2857142857142857,0.2857142857142857,0.0,1.0,0.2857142857142857,0.2857142857142857
CC_CHRONIC_KIDNEY,0.10204081632653061,0.11836734693877551,-0.32517631257018786,0.7452805006952432,0.10204081632653061,0.11836734693877551
CC_ANEMIA,0.10204081632653061,0.1673469387755102,-1.1473565978286824,0.25217347036287346,0.10204081632653061,0.1673469387755102
IP_BIN6,0.08163265306122448,0.08163265306122448,0.0,1.0,0.08163265306122448,0.08163265306122448
CC_PERIPHERAL,0.08163265306122448,0.0653061224489796,0.4130503304907898,0.6798728839924882,0.08163265306122448,0.0653061224489796
CC_HEPATITIS_B_CHRONIC,0.0,0.0,,,0.0,0.0
CC_HEPATITIS_GEN,0.02040816326530612,0.012244897959183673,0.44890788417537303,0.6538310781752426,0.02040816326530612,0.012244897959183673
CC_LEARN_DISAB,0.02040816326530612,0.004081632653061225,1.2683908809973545,0.20566868989210454,0.02040816326530612,0.004081632653061225
CC_STROKE,0.0,0.04897959183673469,-1.5831733222361803,0.11446441403833758,0.0,0.04897959183673469
CC_MOBILITY_IMPAIR,0.02040816326530612,0.00816326530612245,0.7767276132106847,0.4379482302956734,0.02040816326530612,0.00816326530612245
CC_DEPRESSION,0.40816326530612246,0.43673469387755104,-0.3674047167570347,0.713583295328697,0.40816326530612246,0.43673469387755104
CC_TRAUMATIC_BRAIN,0.02040816326530612,0.0,2.2515426810177157,0.025094469219552835,0.02040816326530612,0.0
CC_HIP_FRACTURE,0.0,0.0,,,0.0,0.0
CC_HEPATITIS_A,0.0,0.0,,,0.0,0.0
CC_ALZHEIMER_PLUS,0.02040816326530612,0.02040816326530612,0.0,1.0,0.02040816326530612,0.02040816326530612
CC_FIBROMYALGIA,0.2857142857142857,0.2816326530612245,0.057746893938426434,0.9539897366936798,0.2857142857142857,0.2816326530612245
CC_DIABETES,0.08163265306122448,0.0,4.6507665636569655,5.017667074014288e-06,0.08163265306122448,0.0
CC_ARTHRITIS,0.3877551020408163,0.3836734693877551,0.053435519722852036,0.9574214441296486,0.3877551020408163,0.3836734693877551
CC_MUSCULAR_DYSTROPHY,0.0,0.0,,,0.0,0.0
CC_OSTEOPOROSIS,0.08163265306122448,0.04897959183673469,0.9179939230260964,0.35937966852516134,0.08163265306122448,0.04897959183673469
ACUTE6,0.1836734693877551,0.19183673469387755,-0.09129490959715975,0.9273208592675378,0.1836734693877551,0.19183673469387755
CC_BREAST_CANCER,0.061224489795918366,0.04897959183673469,0.3544650037711071,0.7232462747894275,0.061224489795918366,0.04897959183673469
CC_CATARACT,0.1836734693877551,0.1346938775510204,0.8925949722284326,0.3728091076465678,0.1836734693877551,0.1346938775510204
CC_LUNG_CANCER,0.0,0.012244897959183673,-0.7767276132106846,0.4379482302956734,0.0,0.012244897959183673
IP_C,0.2857142857142857,0.37551020408163266,-0.771671209337712,0.4409332224164795,0.2857142857142857,0.37551020408163266
ER_BIN6,0.12244897959183673,0.11836734693877551,0.055352324207586116,0.9558956311155332,0.12244897959183673,0.11836734693877551
CC_LEUKEMIAS,0.04081632653061224,0.02040816326530612,0.8535472536255134,0.39405553318054654,0.04081632653061224,0.02040816326530612
CC_HEART_FAILURE,0.14285714285714285,0.12244897959183673,0.39194327219577135,0.6953860287350545,0.14285714285714285,0.12244897959183673
CC_AMI,0.0,0.012244897959183673,-0.7767276132106845,0.4379482302956734,0.0,0.012244897959183673
ER_BIN,0.0,0.004081632653061225,-0.44660223008015565,0.6554933174261321,0.0,0.004081632653061225
IP_BIN2,0.061224489795918366,0.044897959183673466,0.48842818459141774,0.6256131753307751,0.061224489795918366,0.044897959183673466
CC_PROSTATE_CANCER,0.0,0.02857142857142857,-1.1963998282428863,0.23251109164420078,0.0,0.02857142857142857
ALLOW_AMT,2014.0,1888.8081632653061,0.18290754837719064,0.8549974901565309,2014.0,1888.8081632653061
CC_BIPOLAR,0.12244897959183673,0.07755102040816327,1.026918034448071,0.30530898229886916,0.12244897959183673,0.07755102040816327
CC_DEPRESSIVE_DISORDERS,0.02040816326530612,0.0,2.2515426810177157,0.025094469219552835,0.02040816326530612,0.0
CC_SCHIZOPHRENIA_OTHER,0.0,0.02040816326530612,-1.0069204977995476,0.31480664441139933,0.0,0.02040816326530612
CC_HEARING_IMPAIR,0.04081632653061224,0.07755102040816327,-0.9096460407188428,0.36375943087661344,0.04081632653061224,0.07755102040816327
CC_DISAB_DX_CNT,0.14285714285714285,0.1510204081632653,-0.10856588053232238,0.9136213885881107,0.14285714285714285,0.1510204081632653
CC_ASTHMA,0.14285714285714285,0.19183673469387755,-0.8064329331840503,0.42064956595887604,0.14285714285714285,0.19183673469387755
CC_PTSD,0.02040816326530612,0.06938775510204082,-1.3048463153588392,0.19297256651882586,0.02040816326530612,0.06938775510204082
CC_EPILEPSY,0.0,0.0163265306122449,-0.8987466299469171,0.3695281383899631,0.0,0.0163265306122449
CC_DEVELOP_DELAYS,0.0,0.004081632653061225,-0.44660223008015565,0.6554933174261321,0.0,0.004081632653061225
CC_CEREBRAL_PALSY,0.0,0.0,,,0.0,0.0
CC_MULTIPLE_SCLEROSIS,0.02040816326530612,0.0163265306122449,0.2010492961703345,0.8407999995807379,0.02040816326530612,0.0163265306122449
CC_HEPATITIS_B_ACUTE,0.0,0.0,,,0.0,0.0
ER_C,0.7551020408163265,0.8040816326530612,-0.16732522457038074,0.867229976828306,0.7551020408163265,0.8040816326530612
CC_HEPATITIS_E,0.0,0.0,,,0.0,0.0
LOB,0.9591836734693877,0.9591836734693877,0.0,1.0,0.9591836734693877,0.9591836734693877
CC_HEPATITIS_C_ACUTE,0.0,0.0,,,0.0,0.0
CC_SPINAL_CORD,0.02040816326530612,0.004081632653061225,1.2683908809973545,0.20566868989210454,0.02040816326530612,0.004081632653061225
CC_ALZHEIMER,0.0,0.004081632653061225,-0.44660223008015565,0.6554933174261321,0.0,0.004081632653061225
ACUTE,0.04081632653061224,0.04081632653061224,0.0,1.0,0.04081632653061224,0.04081632653061224
CC_BPH,0.08163265306122448,0.08979591836734693,-0.18310798371662915,0.8548403651239125,0.08163265306122448,0.08979591836734693
CC_ATRIAL_FIB,0.0,0.09795918367346938,-2.2989275485110805,0.022215077215629733,0.0,0.09795918367346938
CC_CYSTIC_FIBROSIS,0.0,0.00816326530612245,-0.6328891663198173,0.5273013384497851,0.0,0.00816326530612245
CC_SCHIZOPHRENIA,0.0,0.012244897959183673,-0.7767276132106846,0.4379482302956734,0.0,0.012244897959183673
CC_PRESSURE,0.02040816326530612,0.0,2.2515426810177157,0.025094469219552835,0.02040816326530612,0.0
CC_HEPATITIS_C_UNSPECIFIED,0.0,0.0,,,0.0,0.0
AGE_AT_MIDMONTH,53.44897959183673,53.42448979591837,0.009890798041909954,0.9921151676488238,53.44897959183673,53.42448979591837
CC_PERSONALITY,0.0,0.044897959183673466,-1.5125307559680523,0.13148041552124853,0.0,0.044897959183673466
CC_HYPOTHYROID,0.14285714285714285,0.11836734693877551,0.475953984645982,0.6344630578419217,0.14285714285714285,0.11836734693877551
PREGNANCY,0.0,0.0,,,0.0,0.0
CC_AUTISM,0.0,0.00816326530612245,-0.6328891663198173,0.5273013384497851,0.0,0.00816326530612245
CC_HEPATITIS_C_CHRONIC,0.02040816326530612,0.00816326530612245,0.7767276132106847,0.4379482302956734,0.02040816326530612,0.00816326530612245
CC_HYPERLIPIDEMIA,0.5918367346938775,0.4816326530612245,1.4083900606360287,0.1600794386966682,0.5918367346938775,0.4816326530612245
CC_MIGRAINE,0.1836734693877551,0.11836734693877551,1.2429696476477392,0.21487615660407722,0.1836734693877551,0.11836734693877551
CC_LIVER,0.14285714285714285,0.09387755102040816,1.0323242856084196,0.3027744819896022,0.14285714285714285,0.09387755102040816
CC_ENDOMETRIAL_CANCER,0.0,0.004081632653061225,-0.44660223008015565,0.6554933174261321,0.0,0.004081632653061225
CC_GLAUCOMA,0.16326530612244897,0.11428571428571428,0.953017635069111,0.34136935939323154,0.16326530612244897,0.11428571428571428
ALLOW_ER,0.0,1.7662857142857142,-0.44660223008015565,0.6554933174261321,0.0,1.7662857142857142
CC_TOBACCO,0.0,0.036734693877551024,-1.3623260268341901,0.17414490202313082,0.0,0.036734693877551024
CC_INT_DISAB,0.0,0.004081632653061225,-0.44660223008015565,0.6554933174261321,0.0,0.004081632653061225
ACUTE_C,1.0204081632653061,1.1306122448979592,-0.33519980615218836,0.7377150502397352,1.0204081632653061,1.1306122448979592
IP_BIN,0.04081632653061224,0.036734693877551024,0.1369716901267214,0.8911475646448568,0.04081632653061224,0.036734693877551024
CC_SPINA_BIFIDA,0.0,0.0,,,0.0,0.0
ER_BIN2,0.02040816326530612,0.00816326530612245,0.7767276132106845,0.4379482302956734,0.02040816326530612,0.00816326530612245
CC_ISCHEMIC,0.40816326530612246,0.3020408163265306,1.454347206926226,0.14692410273323603,0.40816326530612246,0.3020408163265306
CC_COLORECTAL_CANCER,0.0,0.0,,,0.0,0.0
CC_ANXIETY_DISORDER,0.2653061224489796,0.46122448979591835,-2.549100580425139,0.01131160881197165,0.2653061224489796,0.46122448979591835
ALLOW_IP,582.8000000000001,584.0199183673469,-0.0024036285106287156,0.998083825034507,582.8000000000001,584.0199183673469
CC_OBESITY,0.6122448979591837,0.5918367346938775,0.264811026815635,0.7913418705779532,0.6122448979591837,0.5918367346938775
CC_HEPATITIS_D,0.0,0.0,,,0.0,0.0
CC_ADHD,0.04081632653061224,0.08571428571428572,-1.0668301317859041,0.28692979718377204,0.04081632653061224,0.08571428571428572
ACUTE2,0.061224489795918366,0.04897959183673469,0.3544650037711071,0.7232462747894275,0.061224489795918366,0.04897959183673469
CC_COPD,0.10204081632653061,0.07346938775510205,0.6781059956636054,0.49824148427945136,0.10204081632653061,0.07346938775510205
CC_VISUAL_IMPAIR,0.0,0.0,,,0.0,0.0
CC_HYPERTENSION,0.5918367346938775,0.5755102040816327,0.2105542818248469,0.8333819425708084,0.5918367346938775,0.5755102040816327
CC_DX_CNT,5.653061224489796,5.628571428571429,0.056548199130962935,0.9549437737407458,5.653061224489796,5.628571428571429
Acute6-bin,0.14285714285714285,0.14285714285714285,0.0,1.0,0.14285714285714285,0.14285714285714285
