,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,51.637318255250406,51.708077544426494,-0.1897738320852066,0.8494915490129306,51.637318255250406,51.708077544426494
ALLOW_AMT,630.6009693053312,584.7962843295638,0.6481339855385387,0.5169183332314087,630.6009693053312,584.7962843295638
MBR_GNDR,0.21324717285945072,0.21324717285945072,0.0,1.0,0.21324717285945072,0.21324717285945072
CC_TOBACCO,0.036348949919224556,0.03764135702746365,-0.218679683550465,0.8269055855054835,0.036348949919224556,0.03764135702746365
CC_PRESSURE,0.0008077544426494346,0.0008077544426494346,0.0,1.0,0.0008077544426494346,0.0008077544426494346
CC_OBESITY,0.48546042003231016,0.4778675282714055,0.48812824301030705,0.6254734192394789,0.48546042003231016,0.4778675282714055
CC_HYPERTENSION,0.3360258481421648,0.3269789983844911,0.6186336685282741,0.5361766912938405,0.3360258481421648,0.3269789983844911
CC_HYPOTHYROID,0.10258481421647819,0.08546042003231018,1.9386428718477298,0.052582682376145176,0.10258481421647819,0.08546042003231018
CC_DX_CNT,2.751211631663974,2.729886914378029,0.3351284890993248,0.7375376290434228,2.751211631663974,2.729886914378029
ACUTE2,0.03150242326332795,0.026978998384491113,0.8360512875114011,0.4031529508348859,0.03150242326332795,0.026978998384491113
ACUTE6,0.09450726978998385,0.0938610662358643,0.059739738928335125,0.9523645286586966,0.09450726978998385,0.0938610662358643
IP_BIN6,0.020193861066235864,0.020193861066235864,0.0,1.0,0.020193861066235864,0.020193861066235864
ER_BIN6,0.07754442649434572,0.07673667205169628,0.08234962164783398,0.9343709154471497,0.07754442649434572,0.07673667205169628
LOB,0.9652665589660743,0.9652665589660743,0.0,1.0,0.9652665589660743,0.9652665589660743
Acute6-bin,0.08077544426494346,0.08077544426494346,0.0,1.0,0.08077544426494346,0.08077544426494346
