,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
MBR_GNDR,0.21324717285945072,0.4097663296553831,1238,0.21324717285945072,0.40963389063135,6190,0.0,1.0,0.21324717285945072,0.4097663296553831,1238,0.0,1.0,0.21324717285945072,0.40963389063135,6190,0.0,1.0
CC_CHRONIC_KIDNEY,0.04281098546042003,0.20251254793223616,1238,0.02924071082390953,0.1684941486493801,6190,2.4960927735037166,0.012578491620406806,0.04281098546042003,0.20251254793223616,1238,0.0,1.0,0.02924071082390953,0.1684941486493801,6190,2.4960927735037166,0.012578491620406806
CC_ANEMIA,0.06381260096930533,0.24451758144177466,1238,0.07641357027463651,0.2656801456146241,6190,-1.543189378856474,0.12282744373506269,0.06381260096930533,0.24451758144177466,1238,0.0,1.0,0.07641357027463651,0.2656801456146241,6190,-1.543189378856474,0.12282744373506269
IP_BIN6,0.020193861066235864,0.14635190166697287,1238,0.020193861066235864,0.1463045998229232,6190,0.0,1.0,0.020193861066235864,0.14635190166697287,1238,0.0,1.0,0.020193861066235864,0.1463045998229232,6190,0.0,1.0
CC_PERIPHERAL,0.015347334410339256,0.12297971468207675,1238,0.012439418416801292,0.11084522636439006,6190,0.826871689333398,0.40833635891737374,0.015347334410339256,0.12297971468207675,1238,0.0,1.0,0.012439418416801292,0.11084522636439006,6190,0.826871689333398,0.40833635891737374
CC_HEPATITIS_B_CHRONIC,0.0,0.0,1238,0.0004846526655896607,0.022011270934465945,6190,-0.7746801297168083,0.43855335984597466,0.0,0.0,1238,,,0.0004846526655896607,0.022011270934465945,6190,-0.7746801297168083,0.43855335984597466
CC_HEPATITIS_GEN,0.0024232633279483036,0.04918684132727339,1238,0.0027463651050080775,0.052337989208902806,6190,-0.2002433737563081,0.8412957300064079,0.0024232633279483036,0.04918684132727339,1238,0.0,1.0,0.0027463651050080775,0.052337989208902806,6190,-0.2002433737563081,0.8412957300064079
CC_LEARN_DISAB,0.0,0.0,1238,0.0004846526655896607,0.022011270934465945,6190,-0.7746801297168083,0.43855335984597466,0.0,0.0,1238,,,0.0004846526655896607,0.022011270934465945,6190,-0.7746801297168083,0.43855335984597466
CC_STROKE,0.007269789983844911,0.08498690702406872,1238,0.006623586429725364,0.08112199247437156,6190,0.25380490889945967,0.799653307384611,0.007269789983844911,0.08498690702406872,1238,0.0,1.0,0.006623586429725364,0.08112199247437156,6190,0.25380490889945967,0.799653307384611
CC_MOBILITY_IMPAIR,0.0024232633279483036,0.04918684132727339,1238,0.0032310177705977385,0.05675472373393577,6190,-0.46691991752643214,0.6405708729925257,0.0024232633279483036,0.04918684132727339,1238,0.0,1.0,0.0032310177705977385,0.05675472373393577,6190,-0.46691991752643214,0.6405708729925257
CC_DEPRESSION,0.22374798061389337,0.4169235300229333,1238,0.22504038772213247,0.41764265849260723,6190,-0.09942341597309753,0.9208047753011535,0.22374798061389337,0.4169235300229333,1238,0.0,1.0,0.22504038772213247,0.41764265849260723,6190,-0.09942341597309753,0.9208047753011535
CC_TRAUMATIC_BRAIN,0.0032310177705977385,0.05677307314396385,1238,0.0024232633279483036,0.049170943834509324,6190,0.513586488417405,0.6075564080958287,0.0032310177705977385,0.05677307314396385,1238,0.0,1.0,0.0024232633279483036,0.049170943834509324,6190,0.513586488417405,0.6075564080958287
CC_HIP_FRACTURE,0.0,0.0,1238,0.0006462035541195477,0.025414372296815774,6190,-0.8945958621941039,0.371032158053354,0.0,0.0,1238,,,0.0006462035541195477,0.025414372296815774,6190,-0.8945958621941039,0.371032158053354
CC_HEPATITIS_A,0.0,0.0,1238,0.0,0.0,6190,,,0.0,0.0,1238,,,0.0,0.0,6190,,
CC_ALZHEIMER_PLUS,0.0016155088852988692,0.04017714394902768,1238,0.005492730210016155,0.07391510501167299,6190,-1.793351853515286,0.07295735692026964,0.0016155088852988692,0.04017714394902768,1238,0.0,1.0,0.005492730210016155,0.07391510501167299,6190,-1.793351853515286,0.07295735692026964
CC_FIBROMYALGIA,0.10420032310177706,0.30564370536961843,1238,0.11890145395799677,0.3236986648723689,6190,-1.4721022153522205,0.14103565472234833,0.10420032310177706,0.30564370536961843,1238,0.0,1.0,0.11890145395799677,0.3236986648723689,6190,-1.4721022153522205,0.14103565472234833
CC_DIABETES,0.02665589660743134,0.16114072795323633,1238,0.0,0.0,6190,13.01818071182157,2.5280844557670404e-38,0.02665589660743134,0.16114072795323633,1238,0.0,1.0,0.0,0.0,6190,13.01818071182157,2.5280844557670404e-38
CC_ARTHRITIS,0.16155088852988692,0.36818704419102444,1238,0.17075928917609046,0.376328890370806,6190,-0.7887513309749145,0.43028253944924244,0.16155088852988692,0.36818704419102444,1238,0.0,1.0,0.17075928917609046,0.376328890370806,6190,-0.7887513309749145,0.43028253944924244
CC_MUSCULAR_DYSTROPHY,0.0,0.0,1238,0.0,0.0,6190,,,0.0,0.0,1238,,,0.0,0.0,6190,,
CC_OSTEOPOROSIS,0.009693053311793215,0.0980145806067988,1238,0.019063004846526656,0.13675755232870473,6190,-2.2956247743531186,0.021725079915940932,0.009693053311793215,0.0980145806067988,1238,0.0,1.0,0.019063004846526656,0.13675755232870473,6190,-2.2956247743531186,0.021725079915940932
ACUTE6,0.09450726978998385,0.35277242342341475,1238,0.0938610662358643,0.3463604176905839,6190,0.059739738928335125,0.9523645286586966,0.09450726978998385,0.35277242342341475,1238,0.0,1.0,0.0938610662358643,0.3463604176905839,6190,0.059739738928335125,0.9523645286586966
CC_BREAST_CANCER,0.03150242326332795,0.1747417669574913,1238,0.023747980613893376,0.15227527715913708,6190,1.5941246304579506,0.11095068035736452,0.03150242326332795,0.1747417669574913,1238,0.0,1.0,0.023747980613893376,0.15227527715913708,6190,1.5941246304579506,0.11095068035736452
CC_CATARACT,0.0630048465266559,0.24306986724916718,1238,0.064297253634895,0.24530152422134385,6190,-0.16948253027067003,0.8654217288146473,0.0630048465266559,0.24306986724916718,1238,0.0,1.0,0.064297253634895,0.24530152422134385,6190,-0.16948253027067003,0.8654217288146473
CC_LUNG_CANCER,0.0016155088852988692,0.040177143949027674,1238,0.00210016155088853,0.0457830699873813,6190,-0.34671658034829966,0.7288140767092264,0.0016155088852988692,0.040177143949027674,1238,0.0,1.0,0.00210016155088853,0.0457830699873813,6190,-0.34671658034829966,0.7288140767092264
IP_C,0.14539579967689822,0.4972265489215474,1238,0.14749596122778674,0.5040370528905048,6190,-0.1341321883260862,0.8933016818806634,0.14539579967689822,0.4972265489215474,1238,0.0,1.0,0.14749596122778674,0.5040370528905048,6190,-0.1341321883260862,0.8933016818806634
ER_BIN6,0.07754442649434572,0.32237464592226023,1238,0.07673667205169628,0.3135724656121553,6190,0.08234962164783398,0.9343709154471497,0.07754442649434572,0.32237464592226023,1238,0.0,1.0,0.07673667205169628,0.3135724656121553,6190,0.08234962164783398,0.9343709154471497
CC_LEUKEMIAS,0.007269789983844911,0.08498690702406872,1238,0.006300484652665589,0.07913153698232056,6190,0.3885074351871208,0.6976516904903864,0.007269789983844911,0.08498690702406872,1238,0.0,1.0,0.006300484652665589,0.07913153698232056,6190,0.3885074351871208,0.6976516904903864
CC_HEART_FAILURE,0.024232633279483037,0.15383279198975292,1238,0.02084006462035541,0.1428602583915139,6190,0.752822239197528,0.4515806045833247,0.024232633279483037,0.15383279198975292,1238,0.0,1.0,0.02084006462035541,0.1428602583915139,6190,0.752822239197528,0.4515806045833247
CC_AMI,0.0016155088852988692,0.04017714394902768,1238,0.001777059773828756,0.04212111648698521,6190,-0.12412683075183886,0.9012182140953211,0.0016155088852988692,0.04017714394902768,1238,0.0,1.0,0.001777059773828756,0.04212111648698521,6190,-0.12412683075183886,0.9012182140953211
