,Coefficient,Standard Error,z-statistic,p-value
Age,-0.085,0.481,-0.177,0.86
Total Cost,0.057,0.036,1.599,0.11
Gender,-0.899,0.512,-1.757,0.079
Tobacco Use,0.971,0.455,2.135,0.033
Pressure,3.029,1.026,2.953,0.003
Obesity,1.235,0.226,5.466,0.0
Hypertension,-0.61,0.201,-3.034,0.002
Hypothyroid,1.185,0.346,3.425,0.001
Disease Count,0.766,0.538,1.422,0.155
Acute Care 2 Months,1.618,0.457,3.539,0.0
Acute Care 6 Months,8.834,237.339,0.037,0.97
Inpatient Visits 6 Months,-10.116,237.337,-0.043,0.966
Emergency Vistits 6 Months,-8.418,237.338,-0.035,0.972
Line of Bussiness,-0.932,0.375,-2.487,0.013
Treatment,0.06,0.22,0.271,0.787
