,Coefficient,Standard Error,z-statistic,p-value
Age,-0.094,0.467,-0.202,0.84
Total Cost,0.064,0.035,1.842,0.065
Gender,-0.883,0.511,-1.727,0.084
Tobacco Use,0.901,0.441,2.042,0.041
Pressure,3.002,1.024,2.933,0.003
Obesity,1.261,0.212,5.953,0.0
Hypertension,-0.69,0.193,-3.573,0.0
Hypothyroid,1.099,0.343,3.203,0.001
Disease Count,0.873,0.511,1.71,0.087
Acute Care 2 Months,1.677,0.454,3.691,0.0
Acute Care 6 Months,8.64,232.541,0.037,0.97
Inpatient Visits 6 Months,-10.028,232.539,-0.043,0.966
Emergency Vistits 6 Months,-8.262,232.54,-0.036,0.972
Line of Bussiness,-0.911,0.373,-2.443,0.015
Treatment,0.055,0.212,0.257,0.797
