,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,49.92171717171717,12.969738218210868,396,49.983333333333334,13.016343168864335,1980,-0.08604408864957544,0.9314386254199786,49.92171717171717,12.969738218210868,396,0.0,1.0,49.983333333333334,13.016343168864335,1980,-0.08604408864957544,0.9314386254199786
ALLOW_AMT,1036.8459595959596,3260.935507458929,396,819.8848484848485,3443.303305583502,1980,1.1545738189366224,0.24838119902445085,1036.8459595959596,3260.935507458929,396,0.0,1.0,819.8848484848485,3443.303305583502,1980,1.1545738189366224,0.24838119902445085
MBR_GNDR,0.17929292929292928,0.3840826718107985,396,0.17929292929292928,0.38369431713938396,1980,0.0,1.0,0.17929292929292928,0.3840826718107985,396,0.0,1.0,0.17929292929292928,0.38369431713938396,1980,0.0,1.0
CC_TOBACCO,0.09090909090909091,0.28784345572854997,396,0.08282828282828283,0.27569212055132947,1980,0.5285139351470911,0.5971920806917952,0.09090909090909091,0.28784345572854997,396,0.0,1.0,0.08282828282828283,0.27569212055132947,1980,0.5285139351470911,0.5971920806917952
CC_PRESSURE,0.0025252525252525255,0.05025189076296059,396,0.00101010101010101,0.03177405545870679,1980,0.7748578279371178,0.4385008421123924,0.0025252525252525255,0.05025189076296059,396,0.0,1.0,0.00101010101010101,0.03177405545870679,1980,0.7748578279371178,0.4385008421123924
CC_OBESITY,0.5303030303030303,0.49971223019198985,396,0.5196969696969697,0.499738091172244,1980,0.38554258964132937,0.6998700010780344,0.5303030303030303,0.49971223019198985,396,0.0,1.0,0.5196969696969697,0.499738091172244,1980,0.38554258964132937,0.6998700010780344
CC_HYPERTENSION,0.3813131313131313,0.48632363338017426,396,0.3601010101010101,0.48015071524171954,1980,0.800811921567347,0.4233206714230465,0.3813131313131313,0.48632363338017426,396,0.0,1.0,0.3601010101010101,0.48015071524171954,1980,0.800811921567347,0.4233206714230465
CC_HYPOTHYROID,0.09343434343434344,0.2914083189212859,396,0.07171717171717172,0.25808420937541804,1980,1.4948119275577878,0.1350964383061486,0.09343434343434344,0.2914083189212859,396,0.0,1.0,0.07171717171717172,0.25808420937541804,1980,1.4948119275577878,0.1350964383061486
CC_DX_CNT,3.224747474747475,2.412518760862306,396,3.1792929292929295,2.2388177023704277,1980,0.36397234989060323,0.7159110688041648,3.224747474747475,2.412518760862306,396,0.0,1.0,3.1792929292929295,2.2388177023704277,1980,0.36397234989060323,0.7159110688041648
ACUTE2,0.05808080808080808,0.25489705747461816,396,0.027777777777777776,0.17041432466980022,1980,2.941628842021643,0.003296512756096917,0.05808080808080808,0.25489705747461816,396,0.0,1.0,0.027777777777777776,0.17041432466980022,1980,2.941628842021643,0.003296512756096917
ACUTE6,0.08838383838383838,0.34090930401050323,396,0.08787878787878788,0.34143611551032593,1980,0.02687780248375146,0.9785594572283713,0.08838383838383838,0.34090930401050323,396,0.0,1.0,0.08787878787878788,0.34143611551032593,1980,0.02687780248375146,0.9785594572283713
IP_BIN6,0.030303030303030304,0.1989616312884754,396,0.030303030303030304,0.19876045668567738,1980,0.0,1.0,0.030303030303030304,0.1989616312884754,396,0.0,1.0,0.030303030303030304,0.19876045668567738,1980,0.0,1.0
ER_BIN6,0.06313131313131314,0.2729200614253154,396,0.06313131313131314,0.27264410578202225,1980,0.0,1.0,0.06313131313131314,0.2729200614253154,396,0.0,1.0,0.06313131313131314,0.27264410578202225,1980,0.0,1.0
LOB,0.9267676767676768,0.26084702644601515,396,0.9267676767676768,0.26058327812129306,1980,0.0,1.0,0.9267676767676768,0.26084702644601515,396,0.0,1.0,0.9267676767676768,0.26058327812129306,1980,0.0,1.0
Acute6-bin,0.07323232323232323,0.26084702644601515,396,0.07323232323232323,0.26058327812129306,1980,0.0,1.0,0.07323232323232323,0.26084702644601515,396,0.0,1.0,0.07323232323232323,0.26058327812129306,1980,0.0,1.0
