,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,51.079100339831875,51.45729678947015,-4.170655313977936,3.0392682596637284e-05,50.378854603184074,50.23580816739197
ALLOW_AMT,812.5376050795923,783.9943247725595,1.005300504091537,0.31475409271463534,857.8564288053801,706.6092223834015
MBR_GNDR,0.19607404757646218,0.1973387784839857,-0.4314228801637694,0.6661616505656937,0.4330145982353467,0.4293815112752209
CC_TOBACCO,0.0640761938830263,0.06155512735708876,1.4186702683631058,0.15599762936089023,0.1015104091706515,0.10048793353554003
CC_PRESSURE,0.0026828832051511357,0.002003585363281662,2.0025948983724406,0.045222915119341865,0.012810123261300092,0.00805310123521913
CC_OBESITY,0.5329100339831873,0.5007525428278354,8.731127935091724,2.5512890425778387e-18,0.25501988869294984,0.28556859642182075
CC_HYPERTENSION,0.33227508495796815,0.3317323823492757,0.15640581045389035,0.8757134067059001,0.32876777763375065,0.30017143610708164
CC_HYPOTHYROID,0.09792523698801646,0.08829196744413448,4.5685159414739,4.91651930806696e-06,0.07832453161918279,0.07482526704470527
CC_DX_CNT,3.049320336254695,3.0398991496745373,0.5609154119026772,0.5748561951800256,2.9548724733215685,2.759374038419271
ACUTE2,0.03201573958147022,0.03673559383777669,-3.2328845713803736,0.001225784115146644,0.06049604801014117,0.04960218031561827
ACUTE6,0.1006975496333393,0.11091618494339152,-3.469025435660419,0.0005225235157219334,0.16755844314364135,0.14994065673216406
IP_BIN6,0.026113396530137722,0.03228744260063463,-4.226517812689534,2.375014148799237e-05,0.05496406005578097,0.04862631324453822
ER_BIN6,0.07865319263101413,0.08355622022183237,-1.9170007980928006,0.055240077197279865,0.12247547161365588,0.11102026462701657
LOB,0.9551064210338043,0.9500158177791838,3.197652078057068,0.001385853672402235,0.80208375103785,0.8030067255703548
