,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,51.079100339831875,12.35374767732595,22364,51.45729678947015,12.295440266045118,104313,-4.170655313977936,3.0392682596637284e-05,50.378854603184074,19.51403340696115,9650961,5.363849494373547,8.146865489126374e-08,50.23580816739197,19.594389597104893,113745,6.198405136533224,5.720098045698928e-10
ALLOW_AMT,812.5376050795923,4083.9831200022563,22364,783.9943247725595,3801.698283203947,104313,1.005300504091537,0.31475409271463534,857.8564288053801,4796.402098225472,9650961,-1.4118003126953729,0.15800879854857128,706.6092223834015,3986.044921123347,113745,3.618262367768443,0.00029669496415637563
MBR_GNDR,0.19607404757646218,0.39703408429998405,22364,0.1973387784839857,0.39799208971438116,104313,-0.4314228801637694,0.6661616505656937,0.4330145982353467,0.49549266532377145,9650961,-71.4585260721787,0.0,0.4293815112752209,0.4949900838648635,113745,-66.41122274934696,0.0
CC_TOBACCO,0.0640761938830263,0.24489409331714768,22364,0.06155512735708876,0.24034693140334445,104313,1.4186702683631058,0.15599762936089023,0.1015104091706515,0.3020034030455981,9650961,-18.52255982824292,1.3623905205131671e-76,0.10048793353554003,0.3006507998152222,113745,-17.03442424359751,5.3296323639007085e-65
CC_PRESSURE,0.0026828832051511357,0.05172818371767773,22364,0.002003585363281662,0.044716777367232216,104313,2.0025948983724406,0.045222915119341865,0.012810123261300092,0.11245454776783784,9650961,-13.4642559834515,2.540805185611564e-41,0.00805310123521913,0.08937739661559808,113745,-8.703386054297539,3.2562750435073295e-18
CC_OBESITY,0.5329100339831873,0.498926908887232,22364,0.5007525428278354,0.5000018303266983,104313,8.731127935091724,2.5512890425778387e-18,0.25501988869294984,0.4358724179729261,9650961,95.19852023496533,0.0,0.28556859642182075,0.4516868016991994,113745,73.5431920783753,0.0
CC_HYPERTENSION,0.33227508495796815,0.4710395674453078,22364,0.3317323823492757,0.4708376939782188,104313,0.15640581045389035,0.8757134067059001,0.32876777763375065,0.4697654190014261,9650961,1.1152241977299038,0.2647543868820492,0.30017143610708164,0.4583343669269743,113745,9.53176241512596,1.5704884060503576e-21
CC_HYPOTHYROID,0.09792523698801646,0.2972201793954332,22364,0.08829196744413448,0.28372040395198556,104313,4.5685159414739,4.91651930806696e-06,0.07832453161918279,0.2686816086856012,9650961,10.894156638387939,1.2294537920578575e-27,0.07482526704470527,0.26311034771107217,113745,11.739172708829475,8.315709296652934e-32
CC_DX_CNT,3.049320336254695,2.315948717513465,22364,3.0398991496745373,2.2713776802314682,104313,0.5609154119026772,0.5748561951800256,2.9548724733215685,2.913004390859751,9650961,4.845157541273286,1.265132051255075e-06,2.759374038419271,2.5902612607877704,113745,15.56140101620641,1.4840733485287834e-54
ACUTE2,0.03201573958147022,0.18973768839510183,22364,0.03673559383777669,0.19987411686639422,104313,-3.2328845713803736,0.001225784115146644,0.06049604801014117,0.25841858157831415,9650961,-16.471175177020726,5.922420078853335e-61,0.04960218031561827,0.23366120084947217,113745,-10.589975995181069,3.3956322948737364e-26
ACUTE6,0.1006975496333393,0.40660540786870597,22364,0.11091618494339152,0.39825598283582764,104313,-3.469025435660419,0.0005225235157219334,0.16755844314364135,0.5056474625819558,9650961,-19.759408805521726,6.684413414280808e-87,0.14994065673216406,0.4751320612466584,113745,-14.490864104394836,1.5016858295417713e-47
IP_BIN6,0.026113396530137722,0.17344498580513507,22364,0.03228744260063463,0.20315726091858363,104313,-4.226517812689534,2.375014148799237e-05,0.05496406005578097,0.28121536116234014,9650961,-15.335578445578891,4.429530913254105e-53,0.04862631324453822,0.27123631116541813,113745,-11.941698415317546,7.451050039023721e-33
ER_BIN6,0.07865319263101413,0.37067342126573094,22364,0.08355622022183237,0.34181740196879457,104313,-1.9170007980928006,0.055240077197279865,0.12247547161365588,0.42226064266417296,9650961,-15.506068017327557,3.1610027876847935e-54,0.11102026462701657,0.3957463477712053,113745,-11.295523474378127,1.423336661996411e-29
LOB,0.9551064210338043,0.207075017575302,22364,0.9500158177791838,0.21791332904788094,104313,3.197652078057068,0.001385853672402235,0.80208375103785,0.39842869350432997,9650961,57.41746506249473,0.0,0.8030067255703548,0.3977289466291937,113745,55.723667427308136,0.0
