,Coefficient,Standard Error,z-statistic,p-value
Age,0.663,0.299,2.217,0.027
Total Cost,0.13,0.023,5.696,0.0
Gender,0.115,0.11,1.052,0.293
Tobacco Use,-0.035,0.17,-0.204,0.839
Pressure,-0.654,1.01,-0.647,0.517
Obesity,0.104,0.099,1.057,0.29
Hypertension,0.023,0.107,0.216,0.829
Hypothyroid,-0.325,0.165,-1.963,0.05
Disease Count,2.607,0.414,6.305,0.0
Acute Care 2 Months,0.857,0.188,4.562,0.0
Acute Care 6 Months,-0.774,0.34,-2.278,0.023
Inpatient Visits 6 Months,1.257,0.311,4.039,0.0
Emergency Vistits 6 Months,0.667,0.305,2.192,0.028
Line of Bussiness,-0.314,0.185,-1.698,0.09
Treatment,-0.13,0.122,-1.06,0.289
