,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
ER_BIN,0.015137614678899083,0.015847439326234655,-0.5915061835847458,0.5541831378858058,0.0222543640990778,0.01767110642226032
CC_HEPATITIS_C_UNSPECIFIED,0.0012996941896024465,0.0017608265918038506,-1.1677086568545414,0.2429281031329785,0.002784489544616334,0.0016352367137017012
IP_BIN6,0.03662079510703364,0.04239273077625874,-2.530268723740822,0.011399595714252942,0.05496406005578097,0.04862631324453822
IP_C,0.25718654434250765,0.2591405172843403,-0.24973911199711962,0.8027898094091592,0.1964784646834652,0.25727724295573434
CC_ANEMIA,0.0786697247706422,0.08098141165135633,-0.880422418692754,0.3786334035333426,0.080280813485828,0.07174820871247088
ER_C,0.6885321100917431,0.7184006378843503,-1.4601191882614926,0.1442616070415162,0.4579038294735623,0.6494087652204492
ACUTE,0.019801223241590213,0.021246200102991743,-1.0449237454669646,0.2960616610806426,0.030727613550609104,0.02431755241988659
IP_BIN,0.005657492354740061,0.006810744364524328,-1.4758409940347166,0.1399908797136711,0.010316692814321807,0.008158600378038595
CC_LEUKEMIAS,0.00863914373088685,0.007574876659080716,1.2568529009517435,0.20881091233456275,0.007122192287379464,0.004615587498351576
CC_HEART_FAILURE,0.04564220183486239,0.03744248243326301,4.396097510256576,1.1036922610181484e-05,0.04634440031412416,0.03918413996219614
CC_BPH,0.02400611620795107,0.031910829083539594,-4.7657721981813514,1.8849178440411487e-06,0.031090686202130544,0.03031342037012616
CC_HYPOTHYROID,0.16230886850152906,0.13344075482981446,8.664988252176547,4.605567119526311e-18,0.07832453161918279,0.07482526704470527
CC_HEPATITIS_GEN,0.002522935779816514,0.0036379341849532383,-1.9743591097908906,0.048344673012808724,0.00656328421594492,0.00481779418875555
CC_BIPOLAR,0.031116207951070337,0.029518762770145684,0.9737899277353731,0.33016406968414547,0.03625265919114169,0.0400193415095169
CC_ANXIETY_DISORDER,0.23616207951070337,0.2808186182494726,-10.400048528327488,2.5807702349894673e-25,0.2098859377838124,0.2408457514616027
AGE_AT_MIDMONTH,54.342278287461774,54.63657203608033,-2.5942604035133052,0.009481352574414938,50.378854603184074,50.23580816739197
CC_HEPATITIS_E,0.0,0.0,,,6.7350805790221305e-06,1.7583190469910766e-05
MBR_GNDR,0.37706422018348623,0.37653449392847055,0.11332459265138771,0.9097735311596746,0.4330145982353467,0.4293815112752209
ER_BIN2,0.03165137614678899,0.032575291948371235,-0.502292333239019,0.6154634107739421,0.04388215847105796,0.0361774143918414
IP_BIN2,0.011773700305810398,0.014070001162810014,-1.9523320698131348,0.0509025949074825,0.020238813523337208,0.01658094861312585
CC_DX_CNT,3.582415902140673,3.5586139304639612,1.0434316600337832,0.29675185897691336,2.9548724733215685,2.759374038419271
CC_ARTHRITIS,0.20206422018348624,0.22178109270918123,-4.948732007198976,7.486379908020925e-07,0.1567477062646922,0.151329728779287
CC_EPILEPSY,0.009785932721712538,0.01591388561271782,-5.257959322767525,1.4607011985748996e-07,0.012233393130487213,0.010101542924963734
CC_DEPRESSIVE_DISORDERS,0.002522935779816514,0.0025249588863602386,-0.0041790193023395214,0.9966656461007134,0.0064400840496609615,0.006875027473735109
CC_PTSD,0.027752293577981653,0.029369258625558566,-0.9974998950261046,0.3185252185894226,0.025087864306984557,0.031869532726713265
CC_HEPATITIS_A,0.0,0.0,,,9.221879562045686e-05,0.0
CC_PRESSURE,0.0045871559633027525,0.003970165617369059,1.0032892958416721,0.3157246122264315,0.012810123261300092,0.00805310123521913
CC_ADHD,0.037003058103975535,0.029684878486353594,4.378042775046069,1.1991540840839542e-05,0.035639974091699264,0.04540858938854455
ER_BIN6,0.10030581039755351,0.09915447100450174,0.29865812267151554,0.7652017595733909,0.12247547161365588,0.11102026462701657
CC_DEVELOP_DELAYS,0.0,0.0005647934351068955,-2.718726017636903,0.006554928665781949,0.0016384896799396453,0.0011077409996043783
CC_OBESITY,0.4845565749235474,0.4586288808784199,5.390867177076958,7.033452262699576e-08,0.25501988869294984,0.28556859642182075
CC_OSTEOPOROSIS,0.01452599388379205,0.023073472981278757,-6.103516483223433,1.042783362324268e-09,0.02223001419236903,0.02513517077673744
CC_SCHIZOPHRENIA,0.0020642201834862386,0.005033306201099686,-4.597281647657279,4.287522842087754e-06,0.007299480331544185,0.006083783902589125
CC_HIP_FRACTURE,0.0,0.0007475207229355969,-3.128037468169531,0.0017604666457046564,0.0016423234950384733,0.0019869005230999165
CC_MOBILITY_IMPAIR,0.006804281345565749,0.006428678217246134,0.48465660247265036,0.6279214040744099,0.007629395663291977,0.007024484592729351
CC_INT_DISAB,0.0005351681957186544,0.0017442150201830596,-3.2084061380010573,0.0013353025527066212,0.0028950484827365897,0.0029276012132401423
CC_CYSTIC_FIBROSIS,0.0014525993883792048,0.001578099303975149,-0.33008211498241435,0.7413388603679245,0.002901679946691319,0.0031122247131742053
CC_HEARING_IMPAIR,0.04334862385321101,0.042226615060050834,0.5770234974218819,0.563925355025583,0.03786814598048837,0.042639236889533604
CC_DISAB_DX_CNT,0.07629969418960245,0.0888386850279905,-4.039498627345786,5.362010369209374e-05,0.087024701477915,0.08693129368323882
CC_PROSTATE_CANCER,0.00764525993883792,0.009103141248193492,-1.6142237242832655,0.10648321350764531,0.01191010926269415,0.014136885137808254
CC_MUSCULAR_DYSTROPHY,0.0,0.0,,,0.0004149845802920559,0.0
CC_PERSONALITY,0.024159021406727828,0.020781076097609597,2.420593772114007,0.01549759660313893,0.021903829059095773,0.023737307134379534
CC_LUNG_CANCER,0.0029051987767584097,0.002657851459326567,0.493918669950837,0.621365099107638,0.003971003509391448,0.002936392808475098
CC_HEPATITIS_B_CHRONIC,0.00045871559633027525,0.0005814050067276866,-0.5378115452909372,0.5907087938242592,0.0006371386227754936,0.00023737307134379532
CC_HEPATITIS_C_CHRONIC,0.0009174311926605505,0.0021595043107028354,-2.927805153374482,0.003414688752562459,0.0039207494466095135,0.002619895380016704
CC_LIVER,0.056651376146788994,0.059801657834847755,-1.3832898082677696,0.16658023610919778,0.03741886429755545,0.03939513824783507
CC_AMI,0.0022171253822629968,0.004252562334922507,-3.390065177423195,0.0006991284386600252,0.003498926169114143,0.003121016308409161
ALLOW_AMT,918.3321100917432,819.8641671788567,2.436674420246699,0.014825382761056872,857.8564288053801,706.6092223834015
CC_TOBACCO,0.10970948012232416,0.1077592651040715,0.6510324406965252,0.5150275872924674,0.1015104091706515,0.10048793353554003
CC_HEPATITIS_B_ACUTE,0.0,0.00019933885944949253,-1.6148687114855413,0.10634343467735324,0.0004632699272124299,0.00033408061892830455
CC_HEPATITIS_C_ACUTE,0.0,0.0,,,0.00029313143012390163,8.791595234955383e-05
CC_TRAUMATIC_BRAIN,0.0035932721712538225,0.0014452067310088208,5.212734975127937,1.8657994781433728e-07,0.002430535156032648,0.00253197942766715
CC_COLORECTAL_CANCER,0.003363914373088685,0.003903719330885895,-0.9085694594868075,0.36358042175595207,0.004379978325474531,0.0033495977845180006
PREGNANCY,0.00045871559633027525,0.00033223143241582087,0.6961784243982095,0.48631930579512606,0.0019583541991310504,0.001450613213767638
CC_CEREBRAL_PALSY,0.0016055045871559634,0.001096363726972209,1.5326247334666974,0.12537266084673548,0.0017405520548679039,0.0005890368807420106
CC_GLAUCOMA,0.06376146788990826,0.06604760876426519,-0.9569043353676747,0.338618699718943,0.06562040816453409,0.06024880214514924
ALLOW_IP,169.31431116207952,149.47554826492134,0.6402337548205711,0.5220226428522756,192.89028996594234,150.62386056529957
