,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,54.342278287461774,11.816034558581034,13080,54.63657203608033,11.746763812438198,60199,-2.5942604035133052,0.009481352574414938,50.378854603184074,19.51403340696115,9650961,23.223059553052106,2.6835688079145923e-119,50.23580816739197,19.594389597104893,113745,23.48248766452156,1.122063041217093e-121
ALLOW_AMT,918.3321100917432,5036.532296720532,13080,819.8641671788567,3981.018778692349,60199,2.436674420246699,0.014825382761056872,857.8564288053801,4796.402098225472,9650961,1.4409363430183,0.1496026999181576,706.6092223834015,3986.044921123347,113745,5.583791624481098,2.358105752835481e-08
MBR_GNDR,0.37706422018348623,0.48466973612955283,13080,0.37653449392847055,0.48452055533883664,60199,0.11332459265138771,0.9097735311596746,0.4330145982353467,0.49549266532377145,9650961,-12.905899062267975,4.172237409341565e-38,0.4293815112752209,0.4949900838648635,113745,-11.472085929746275,1.8863518159886867e-30
CC_TOBACCO,0.10970948012232416,0.31253924240486214,13080,0.1077592651040715,0.31007870463969367,60199,0.6510324406965252,0.5150275872924674,0.1015104091706515,0.3020034030455981,9650961,3.1027137961889006,0.0019175553865871141,0.10048793353554003,0.3006507998152222,113745,3.308342234639703,0.0009387615615446351
CC_PRESSURE,0.0045871559633027525,0.06757561010781682,13080,0.003970165617369059,0.06288456958814514,60199,1.0032892958416721,0.3157246122264315,0.012810123261300092,0.11245454776783784,9650961,-8.360825354055779,6.228908440022715e-17,0.00805310123521913,0.08937739661559808,113745,-4.296081848088745,1.7397259887875925e-05
CC_OBESITY,0.4845565749235474,0.49978054883901324,13080,0.4586288808784199,0.49828962966550777,60199,5.390867177076958,7.033452262699576e-08,0.25501988869294984,0.4358724179729261,9650961,60.174156896454896,0.0,0.28556859642182075,0.4516868016991994,113745,47.17278606395162,0.0
CC_HYPERTENSION,0.5677370030581039,0.49540938849956384,13080,0.5585142610342364,0.49656840147143216,60199,1.9260631125479264,0.054100357720462976,0.32876777763375065,0.4697654190014261,9650961,58.13500901227228,0.0,0.30017143610708164,0.4583343669269743,113745,62.68711426528355,0.0
CC_HYPOTHYROID,0.16230886850152906,0.3687480106478874,13080,0.13344075482981446,0.34005329094122555,60199,8.664988252176547,4.605567119526311e-18,0.07832453161918279,0.2686816086856012,9650961,35.703485644035055,3.640325947422593e-279,0.07482526704470527,0.26311034771107217,113745,34.345634517938294,2.5110530535538822e-257
CC_DX_CNT,3.582415902140673,2.4214734310536845,13080,3.5586139304639612,2.3520613534002695,60199,1.0434316600337832,0.29675185897691336,2.9548724733215685,2.913004390859751,9650961,24.626531357362158,6.630411509858366e-134,2.759374038419271,2.5902612607877704,113745,34.6407964588845,1.0367823455580034e-261
ACUTE2,0.04136085626911315,0.21783463636142955,13080,0.04370504493430123,0.22054407602799744,60199,-1.1042170037105525,0.26950264124331863,0.06049604801014117,0.25841858157831415,9650961,-8.464550980313899,2.571765239243722e-17,0.04960218031561827,0.23366120084947217,113745,-3.8461730421806926,0.00012003565707391441
ACUTE6,0.1301987767584098,0.4820559833007414,13080,0.13305868868253626,0.4580512586754384,60199,-0.6410886225214737,0.5214671107853528,0.16755844314364135,0.5056474625819558,9650961,-8.444845569605961,3.044888301358775e-17,0.14994065673216406,0.4751320612466584,113745,-4.493505982852126,7.01218578047124e-06
IP_BIN6,0.03662079510703364,0.20792808412423835,13080,0.04239273077625874,0.2422188095031336,60199,-2.530268723740822,0.011399595714252942,0.05496406005578097,0.28121536116234014,9650961,-7.457283031652337,8.833215819231115e-14,0.04862631324453822,0.27123631116541813,113745,-4.899328213085855,9.628312510730402e-07
ER_BIN6,0.10030581039755351,0.4402001693130779,13080,0.09915447100450174,0.39023486260353246,60199,0.29865812267151554,0.7652017595733909,0.12247547161365588,0.42226064266417296,9650961,-6.000158501671182,1.971319857497395e-09,0.11102026462701657,0.3957463477712053,113745,-2.8971511501015734,0.003766326770558268
LOB,0.9496941896024464,0.2185835964805842,13080,0.9386202428611771,0.24002758091281493,60199,4.857007859903139,1.194182157850942e-06,0.80208375103785,0.39842869350432997,9650961,42.362517350408595,0.0,0.8030067255703548,0.3977289466291937,113745,41.46623487131347,0.0
