,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,53.735365853658536,12.061076477663743,820,53.838388988019375,12.194429666657422,3923,-0.22043485286569156,0.8255419956994753,44.310975575543,20.053585413347044,356446,13.452008816482962,3.0664031661374875e-41,47.606399187404776,19.811818943217997,7876,8.692306058926485,4.199222082738203e-18
ALLOW_AMT,833.2512195121951,2725.566426830964,820,744.2092786133062,3016.6723334934863,3923,0.7811925319335665,0.4347282711988333,1065.9260224550142,6933.418649919104,356446,-0.9607959464705629,0.33665542737640974,648.8026917216862,3166.090228384347,7876,1.6073629639983993,0.10801108273132387
MBR_GNDR,0.4024390243902439,0.4906887859712342,820,0.41065511088452716,0.4920154453482646,3923,-0.43508879371749887,0.6635177815850233,0.4427486912463599,0.4967121699947672,356446,-2.321263076675967,0.020273209419738515,0.43105637379380396,0.4952554076972182,7876,-1.5760718675569705,0.11504562579607806
CC_TOBACCO,0.11951219512195121,0.3245882239293543,820,0.10782564364007137,0.31019961690902736,3923,0.9732016443800622,0.3305027436683342,0.07420198290905214,0.2620996783037681,356446,4.941650965614423,7.749873909186445e-07,0.0984002031488065,0.29787391442767636,7876,1.9146816200917491,0.05556590234872815
CC_PRESSURE,0.0024390243902439024,0.049356320147326244,820,0.0015294417537598777,0.03908314125047329,3923,0.5771696570078468,0.5638522576600761,0.007389618623858873,0.085644805672596,356446,-1.6546151015261594,0.09800347665584666,0.006602336211274758,0.08099122313178568,7876,-1.444297373728407,0.14869137992833628
CC_OBESITY,0.4548780487804878,0.4982637593449177,820,0.4361458067805251,0.49596909720730653,3923,0.982826888535788,0.32574279723119914,0.10884117089264574,0.31144027120531087,356446,31.72346421248975,1.4986814194092088e-220,0.22803453529710513,0.4195916343691311,7876,14.456648439736833,7.929287294067249e-47
CC_HYPERTENSION,0.6353658536585366,0.48162118147644556,820,0.599031353555952,0.490157151776772,3923,1.9362988357319997,0.05289047192334989,0.2077172979918417,0.40567386384542287,356446,30.137984027890518,2.746472837587132e-199,0.2493651599796851,0.432673024503863,7876,24.043206713587704,1.0083749303836776e-123
CC_HYPOTHYROID,0.18536585365853658,0.388831238042337,820,0.14810094315574815,0.3552452995498271,3923,2.686316850963365,0.007249641526071833,0.047300292330395066,0.21228071297038403,356446,18.55297662093887,8.386411427135967e-77,0.06348400203148806,0.24384694626824827,7876,12.727930753300383,8.797659828717544e-37
CC_DX_CNT,3.5378048780487803,2.352830122080759,820,3.462401223553403,2.2441040763920195,3923,0.8676559479390265,0.38562662233107026,1.8244194071472257,2.4122736286005,356446,20.317052290090764,1.024283880974879e-91,2.3437023869984763,2.439687662507202,7876,13.382668878643644,1.9160486649385464e-40
ACUTE2,0.06219512195121951,0.2657218812388129,820,0.054804996176395615,0.24385195317932448,3923,0.7767768483006307,0.4373291908932594,0.06325782867531127,0.24342646123420128,356446,-0.12484129279348823,0.9006492664120411,0.05154900964956831,0.23773297067041624,7876,1.2063141558644952,0.22772920627699
ACUTE6,0.1524390243902439,0.5014571221567048,820,0.14810094315574815,0.46961563591277056,3923,0.2377103141829536,0.812116055224712,0.06325782867531127,0.24342646123420128,356446,10.440103482052779,1.6401559844424595e-25,0.15337734890807517,0.4757910922815621,7876,-0.05346653631303843,0.9573614210935861
IP_BIN6,0.046341463414634146,0.2573439624440465,820,0.044608717817996434,0.2374829092226068,3923,0.18721977043815785,0.8514963355892229,0.020586568512481553,0.14199583893771575,356446,5.17437440617249,2.2879905059087373e-07,0.04685119349923819,0.26372470244406443,7876,-0.05279217471913082,0.9578987093835144
ER_BIN6,0.11341463414634147,0.4257471189678091,820,0.11139434106551109,0.40594783445966487,3923,0.12850419016128165,0.8977554330336756,0.047286264960190325,0.21225079621531256,356446,8.880686727540146,6.674597598055345e-19,0.11617572371762316,0.4029571977425047,7876,-0.18571854205877347,0.852669819404826
LOB,0.947560975609756,0.2230467297502536,820,0.9462146316594443,0.22562242497984214,3923,0.15571000929087042,0.8762682362317804,0.7557750683132929,0.429627317872941,356446,12.778994578505278,2.189238535257867e-37,0.7878364652107669,0.4088659862513561,7876,11.01682106378577,4.857442211682531e-28
