,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
ER_BIN,0.015853658536585366,0.12498548115448961,820,0.021412184552638287,0.14477239209143497,3923,-1.0226643743986104,0.30651873947604064,0.047286264960190325,0.21225079621531256,356446,-4.2390100600477565,2.245638693292122e-05,0.01866429659725749,0.1353449905372115,7876,-0.5698957761320733,0.5687631152645873
CC_HEPATITIS_C_UNSPECIFIED,0.0012195121951219512,0.034921514788478915,820,0.0017843487127198571,0.04220922836847713,3923,-0.35840554730782964,0.7200557982970774,0.002252795654881805,0.04741019798058792,356446,-0.6237111342042942,0.5328177077640447,0.0024123920771965466,0.049059943315937035,7876,-0.678583106307214,0.4974201115859378
IP_BIN6,0.046341463414634146,0.2573439624440465,820,0.044608717817996434,0.2374829092226068,3923,0.18721977043815785,0.8514963355892229,0.020586568512481553,0.14199583893771575,356446,5.17437440617249,2.2879905059087373e-07,0.04685119349923819,0.26372470244406443,7876,-0.05279217471913082,0.9578987093835144
IP_C,0.2304878048780488,0.8877388962056609,820,0.20800407851134337,0.6584229826279714,3923,0.8324457746761793,0.40519930303339546,0.020586568512481553,0.14199583893771575,356446,40.54813497765853,0.0,0.19032503809040122,0.6891174726867841,7876,1.5411385917797082,0.12331945340000379
CC_ANEMIA,0.06951219512195123,0.25447833800801606,820,0.08335457557991333,0.27645265751547,3923,-1.3215474796034554,0.1863826500383818,0.05588504289569809,0.22969991923989402,356446,1.6964421716103808,0.08980304412510955,0.059547993905535807,0.23666250589455975,7876,1.1390442327149755,0.25471608878706936
ER_C,0.5487804878048781,1.9837707771620454,820,0.574305378536834,1.758717631060277,3923,-0.3693819389042512,0.7118595547979263,0.047286264960190325,0.21225079621531256,356446,61.7452144830075,0.0,0.500253936008126,1.3188258121563676,7876,0.947956624230939,0.34317788420270356
ACUTE,0.024390243902439025,0.1543515923737637,820,0.027275044608717817,0.16290451571676773,3923,-0.4653096180343294,0.6417311198201272,0.06325782867531127,0.24342646123420128,356446,-4.5700987099414725,4.876573768566772e-06,0.025774504824784154,0.15847197960545656,7876,-0.23862610050300198,0.8114011486015044
IP_BIN,0.00975609756097561,0.09834994718725834,820,0.007647208768799388,0.08712441609498393,3923,0.6159571504716157,0.5379523706285969,0.020586568512481553,0.14199583893771575,356446,-2.1829250288559012,0.029041980147852572,0.007998984255967496,0.08908427541352211,7876,0.532068697751991,0.5946920121811374
CC_LEUKEMIAS,0.00853658536585366,0.09205458315002207,820,0.008157022686719348,0.08995859333348744,3923,0.1094382525506549,0.9128595264607768,0.004441065406821791,0.06649326844779171,356446,1.759881854954963,0.07842869615863195,0.003682072117826308,0.06057210831605428,7876,2.0606827113630137,0.03936300039081954
