,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
ER_BIN,0.006377551020408163,0.008650986753176534,-0.6390054260938267,0.5228520629636759,0.047286264960190325,0.01866429659725749
CC_HEPATITIS_C_UNSPECIFIED,0.0012755102040816326,0.0,2.1730233206783134,0.02983078222922518,0.002252795654881805,0.0024123920771965466
IP_BIN6,0.008928571428571428,0.006758583400919167,0.6357765783436687,0.5249545231392299,0.020586568512481553,0.04685119349923819
IP_C,0.0778061224489796,0.08488780751554474,-0.5087761264111157,0.6109342037340274,0.020586568512481553,0.19032503809040122
CC_ANEMIA,0.05357142857142857,0.0689375506893755,-1.5714253127962095,0.11615449213626186,0.05588504289569809,0.059547993905535807
ER_C,0.32908163265306123,0.34387672343876724,-0.4133503964934905,0.679369690790596,0.047286264960190325,0.500253936008126
ACUTE,0.006377551020408163,0.008650986753176534,-0.6390054260938267,0.5228520629636759,0.06325782867531127,0.025774504824784154
IP_BIN,0.0,0.0,,,0.020586568512481553,0.007998984255967496
CC_LEUKEMIAS,0.007653061224489796,0.005136523384698567,0.8593832484276787,0.3901750795505625,0.004441065406821791,0.003682072117826308
CC_HEART_FAILURE,0.007653061224489796,0.007028926736955934,0.18852275849948072,0.8504754136754495,0.024662922293980014,0.03047232097511427
CC_BPH,0.0,0.0,,,0.017065698591090937,0.02526663280853225
CC_HYPOTHYROID,0.0,0.0040551500405515,-1.786269375723387,0.07412324365361396,0.047300292330395066,0.06348400203148806
CC_HEPATITIS_GEN,0.002551020408163265,0.0013517166801838335,0.7724167875400092,0.43990835074311185,0.005249041930615016,0.004697816150330117
CC_BIPOLAR,0.025510204081632654,0.031630170316301706,-0.9042138761578943,0.365930612228881,0.02644159283594149,0.03999492127983748
CC_ANXIETY_DISORDER,0.23596938775510204,0.24790483914571507,-0.7049157484518488,0.48089930571156236,0.14131453291662693,0.2143219908583037
AGE_AT_MIDMONTH,46.514030612244895,46.62368207623682,-0.2233701825858264,0.8232575908350261,44.310975575543,47.606399187404776
CC_HEPATITIS_E,0.0,0.0,,,2.8054740409486993e-06,0.00012696800406297612
MBR_GNDR,0.0,0.0,,,0.4427486912463599,0.43105637379380396
ER_BIN2,0.01403061224489796,0.013246823465801569,0.1705842005723747,0.8645584233474415,0.047286264960190325,0.038852209243270694
IP_BIN2,0.0012755102040816326,0.0013517166801838335,-0.05300422787258573,0.9577309018135227,0.020586568512481553,0.015871000507872015
CC_DX_CNT,1.836734693877551,1.8248175182481752,0.17967786347062642,0.8574135971018502,1.8244194071472257,2.3437023869984763
CC_ARTHRITIS,0.11989795918367346,0.11868072452014058,0.09563134660202066,0.9238176445303297,0.0920756580239363,0.12811071609954292
CC_EPILEPSY,0.002551020408163265,0.0045958367126250335,-0.8004498391024164,0.4234926497465402,0.00875588448180089,0.009395632300660234
CC_DEPRESSIVE_DISORDERS,0.003826530612244898,0.0024330900243309003,0.6858133877405265,0.49286627246147363,0.005330400677802528,0.006094464195022855
CC_PTSD,0.026785714285714284,0.02946742362800757,-0.40638846017313734,0.6844766041075536,0.016123059313332175,0.028059928897917724
CC_HEPATITIS_A,0.0,0.0,,,6.452590294182008e-05,0.0
CC_PRESSURE,0.0,0.0005406866720735334,-0.6511055637003133,0.5150117319361376,0.007389618623858873,0.006602336211274758
CC_ADHD,0.03188775510204082,0.030008110300081103,0.2786781675163689,0.7805046779926113,0.03224611862666435,0.045073641442356524
ER_BIN6,0.0625,0.0640713706407137,-0.1442975467742199,0.8852720044639235,0.047286264960190325,0.11617572371762316
CC_DEVELOP_DELAYS,0.0012755102040816326,0.0008110300081103001,0.39558692340937585,0.6924286173129328,0.0018880840295584745,0.0016505840528186896
CC_OBESITY,0.45790816326530615,0.4409299810759665,0.8690160030603421,0.3848849200212241,0.10884117089264574,0.22803453529710513
CC_OSTEOPOROSIS,0.007653061224489796,0.015950256826169237,-1.7656331799394083,0.07752550095411849,0.012882736796036427,0.020441848654139158
CC_SCHIZOPHRENIA,0.002551020408163265,0.0029737766964044337,-0.19991907984577698,0.8415529397869673,0.004687947122425276,0.005332656170644997
CC_HIP_FRACTURE,0.0,0.0,,,0.0010969403500109413,0.0015236160487557136
CC_MOBILITY_IMPAIR,0.0,0.001892403352257367,-1.2189315205852407,0.22293434826634673,0.004401788770248509,0.005840528186896902
CC_INT_DISAB,0.0,0.0016220600162206002,-1.1283585010689003,0.2592289539920126,0.0021125219528343704,0.0026663280853224986
CC_CYSTIC_FIBROSIS,0.002551020408163265,0.0021627466882941336,0.2092802949977411,0.8342389467048898,0.001975053724827884,0.002920264093448451
CC_HEARING_IMPAIR,0.012755102040816327,0.02135712354690457,-1.5684921491691015,0.11683692823299485,0.020050722970660354,0.034662265109192486
CC_DISAB_DX_CNT,0.036989795918367346,0.04731008380643417,-1.1723136001610996,0.24113349401554268,0.056765961744555976,0.07732351447435247
CC_PROSTATE_CANCER,0.0,0.0,,,0.0065423654634923665,0.010792280345352971
CC_MUSCULAR_DYSTROPHY,0.0,0.0002703433360367667,-0.46033890513030773,0.6452953168644058,0.0002861583521767673,0.0
CC_PERSONALITY,0.016581632653061226,0.024060556907272237,-1.2756129799746345,0.2021584860437039,0.013766461118935267,0.022219400711020822
CC_LUNG_CANCER,0.0012755102040816326,0.0010813733441470668,0.14790051391152223,0.8824279370432098,0.002508093792608137,0.0022854240731335703
CC_HEPATITIS_B_CHRONIC,0.0,0.0,,,0.0004629032167565354,0.00025393600812595224
CC_HEPATITIS_C_CHRONIC,0.0012755102040816326,0.0010813733441470668,0.14790051391152223,0.8824279370432098,0.0031898239845586708,0.0024123920771965466
CC_LIVER,0.03188775510204082,0.025141930251419302,1.0716309441112772,0.2839435411862819,0.020609012304809143,0.03212290502793296
CC_AMI,0.0,0.0,,,0.0023622091424788045,0.0015236160487557136
ALLOW_AMT,547.843112244898,514.4917545282509,0.6292302406024733,0.5292304101323807,1065.9260224550142,648.8026917216862
CC_TOBACCO,0.0,0.006488240064882401,-2.262236905211798,0.02373046390178035,0.07420198290905214,0.0984002031488065
CC_HEPATITIS_B_ACUTE,0.0012755102040816326,0.0,2.1730233206783134,0.02983078222922518,0.0003562952032004848,0.00025393600812595224
CC_HEPATITIS_C_ACUTE,0.0,0.0,,,0.0003086021445043569,0.00025393600812595224
CC_TRAUMATIC_BRAIN,0.0,0.002703433360367667,-1.4574941028892894,0.14505011224776174,0.0018403909708623466,0.002793296089385475
CC_COLORECTAL_CANCER,0.0,0.0010813733441470668,-0.9210514872604814,0.35707312964153726,0.0028756108919724167,0.0024123920771965466
PREGNANCY,0.0,0.0024330900243309003,-1.3825129419569402,0.1668831565834638,0.0024744281041167524,0.0012696800406297613
CC_CEREBRAL_PALSY,0.0012755102040816326,0.0005406866720735334,0.7225973954402726,0.4699649788736485,0.0009734994922091986,0.0007618080243778568
CC_GLAUCOMA,0.044642857142857144,0.039740470397404706,0.6316756825420097,0.5276310437152494,0.0423710744404482,0.05434230573895378
ALLOW_IP,0.0,5.680748851040822,-0.7805571839594276,0.43510421275228894,372.97562528405416,140.5886909598781
CC_SCHIZOPHRENIA_OTHER,0.002551020408163265,0.006488240064882401,-1.3187229940559788,0.18732912804431548,0.00903643188589576,0.009776536312849162
CC_HEPATITIS_D,0.0,0.0,,,8.416422122846098e-06,0.0
CC_MIGRAINE,0.08928571428571429,0.08326574749932414,0.5509269169114694,0.5817112406013633,0.03163171981169658,0.05256475368207212
ACUTE_C,0.39540816326530615,0.41470667748040013,-0.4876794777708891,0.6258007486393682,0.06325782867531127,0.654393092940579
CC_SPINA_BIFIDA,0.0,0.0005406866720735334,-0.6511055637003134,0.5150117319361376,0.0008977516931035837,0.0012696800406297613
CC_ISCHEMIC,0.02806122448979592,0.024060556907272237,0.6546954762593968,0.5126974408285334,0.07176683144150867,0.0952260030472321
CC_DEPRESSION,0.23469387755102042,0.23438767234387672,0.018379143113087082,0.9853372092782733,0.16091357456669453,0.20099035043169122
CC_CHRONIC_KIDNEY,0.02040816326530612,0.012165450121654502,1.8098485836265417,0.07038624024508068,0.055814906044674366,0.04266124936515998
CC_SPINAL_CORD,0.0,0.0,,,0.0012147702597307868,0.0015236160487557136
CC_LEARN_DISAB,0.0012755102040816326,0.0008110300081103001,0.39558692340937585,0.6924286173129328,0.0032627663096233372,0.002793296089385475
CC_ALZHEIMER,0.0,0.0005406866720735334,-0.6511055637003133,0.5150117319361376,0.003975356716024307,0.005840528186896902
CC_MULTIPLE_SCLEROSIS,0.015306122448979591,0.008110300081103,1.900106568929389,0.05748326534890459,0.0033357086346880033,0.004824784154393093
CC_ATRIAL_FIB,0.007653061224489796,0.0029737766964044337,1.9367117666270293,0.05284337606509958,0.02022746783524012,0.025520568816658203
CC_DIABETES,0.025510204081632654,0.0,9.83815332693801,1.3047244677780902e-22,0.0881115232040758,0.0
CC_VISUAL_IMPAIR,0.0,0.0,,,0.0007967546276294305,0.0005078720162519045
CC_PERIPHERAL,0.002551020408163265,0.0045958367126250335,-0.8004498391024164,0.4234926497465402,0.019035141367836923,0.023362112747587607
CC_ASTHMA,0.0625,0.05947553392808867,0.323830732374983,0.7460813006933129,0.04511763352653698,0.05548501777552057
CC_COPD,0.008928571428571428,0.005406866720735334,1.1575801191560944,0.2470971239574733,0.02924426140284924,0.0366937531742001
LOB,0.9566326530612245,0.9545823195458232,0.2513430856837641,0.8015603916003357,0.7557750683132929,0.7878364652107669
CC_ALZHEIMER_PLUS,0.0,0.003784806704514734,-1.7254659983749183,0.08451246987929605,0.011541720204462948,0.017267648552564754
CC_HYPERLIPIDEMIA,0.10459183673469388,0.09867531765341984,0.5021538736768179,0.615583959993509,0.17110025080937927,0.21317927882173693
CC_STROKE,0.002551020408163265,0.0016220600162206002,0.5597041581205475,0.5757092210429493,0.007709442664527025,0.010411376333164043
CC_FIBROMYALGIA,0.09183673469387756,0.10218978102189781,-0.8761382757491073,0.381001830202333,0.06438562923977265,0.09154393092940578
ACUTE6,0.06887755102040816,0.06920789402541228,-0.028830681627564133,0.9770009145366565,0.06325782867531127,0.15337734890807517
CC_ENDOMETRIAL_CANCER,0.003826530612244898,0.001892403352257367,1.0426197268686284,0.29718069482254406,0.0011642717269937102,0.0012696800406297613
ACUTE2,0.01403061224489796,0.013787510137875101,0.05208721476207172,0.9584615220091846,0.06325782867531127,0.05154900964956831
CC_HYPERTENSION,0.0,0.009191673425250067,-2.6962713865161136,0.007038262957339079,0.2077172979918417,0.2493651599796851
ALLOW_ER,6.232372448979592,8.96288185996215,-0.6584562568875741,0.510278825001548,32.02769981988857,12.568988065007618
CC_AUTISM,0.0,0.001892403352257367,-1.2189315205852407,0.22293434826634673,0.004974105474602044,0.005713560182833925
CC_BREAST_CANCER,0.02806122448979592,0.021897810218978103,1.0461799513339347,0.29553438607354354,0.011589413263159076,0.015617064499746064
CC_CATARACT,0.04591836734693878,0.04758042714247094,-0.1991147891694931,0.8421819866229512,0.04606588375237764,0.06208735398679533
