,Coefficient,Standard Error,z-statistic,p-value
Age,-1.099,0.252,-4.361,0.0
Total Cost,0.083,0.018,4.589,0.0
Gender,-0.067,0.088,-0.755,0.45
Tobacco Use,0.223,0.115,1.933,0.053
Pressure,-0.04,0.717,-0.056,0.956
Obesity,-0.042,0.083,-0.51,0.61
Hypertension,0.055,0.095,0.586,0.558
Hypothyroid,-0.366,0.129,-2.837,0.005
Disease Count,0.783,0.383,2.044,0.041
Acute Care 2 Months,1.367,0.146,9.373,0.0
Acute Care 6 Months,-0.537,0.286,-1.876,0.061
Inpatient Visits 6 Months,-0.113,0.203,-0.559,0.576
Emergency Vistits 6 Months,0.976,0.263,3.712,0.0
Line of Bussiness,-0.369,0.141,-2.614,0.009
Treatment,-0.238,0.104,-2.294,0.022
