,Coefficient,Standard Error,z-statistic,p-value
Age,0.361,0.375,0.963,0.336
Total Cost,0.198,0.03,6.692,0.0
Gender,0.15,0.118,1.273,0.203
Tobacco Use,0.119,0.167,0.716,0.474
Pressure,0.017,0.723,0.024,0.981
Obesity,0.167,0.113,1.48,0.139
Hypertension,0.122,0.133,0.916,0.36
Hypothyroid,-0.254,0.17,-1.494,0.135
Disease Count,2.374,0.463,5.124,0.0
Acute Care 2 Months,1.255,0.187,6.707,0.0
Acute Care 6 Months,-1.133,0.283,-4.002,0.0
Inpatient Visits 6 Months,1.425,0.25,5.688,0.0
Emergency Vistits 6 Months,0.784,0.231,3.391,0.001
Line of Bussiness,-0.329,0.199,-1.651,0.099
Treatment,-0.041,0.137,-0.296,0.767
