,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,50.837442396313364,12.502708172646237,26040,51.18479550394444,12.540305984370006,115479,-4.039866666496728,5.3509788638602555e-05,50.378854603184074,19.51403340696115,9650961,3.7901425368403427,0.00015056177453683653,50.23580816739197,19.594389597104893,113745,4.738809272935958,2.151886849091019e-06
ALLOW_AMT,782.4345622119815,3899.5801134772005,26040,702.2703348660796,3413.9308697600536,115479,3.330761311540112,0.0008663097216250299,857.8564288053801,4796.402098225472,9650961,-2.5352175683038456,0.011237766226632456,706.6092223834015,3986.044921123347,113745,2.780170154921085,0.005433768481718402
MBR_GNDR,0.18940092165898617,0.39183428719400426,26040,0.19713540990136735,0.3978371660048911,115479,-2.8417823134605706,0.0044868523478928495,0.4330145982353467,0.49549266532377145,9650961,-79.27181952181482,0.0,0.4293815112752209,0.4949900838648635,113745,-73.16272503328487,0.0
CC_TOBACCO,0.06336405529953917,0.2436212860825567,26040,0.08040422934039955,0.2719191599251663,115479,-9.305265620436456,1.3548036128170844e-20,0.1015104091706515,0.3020034030455981,9650961,-20.364827886497174,3.445911210124198e-92,0.10048793353554003,0.3006507998152222,113745,-18.578127011060584,5.983075228419034e-77
CC_PRESSURE,0.002304147465437788,0.04794712352507744,26040,0.0033425990872799384,0.057718757502504166,115479,-2.7007499975567897,0.0069191551695348165,0.012810123261300092,0.11245454776783784,9650961,-15.072085841927265,2.4751684118968477e-51,0.00805310123521913,0.08937739661559808,113745,-10.053699094833103,9.014556500846356e-24
CC_OBESITY,0.5045698924731182,0.4999887161365747,26040,0.4620407173598663,0.49855916930512106,115479,12.428122796694499,1.91917054074641e-35,0.25501988869294984,0.4358724179729261,9650961,92.22509369850921,0.0,0.28556859642182075,0.4516868016991994,113745,69.14134908738936,0.0
CC_HYPERTENSION,0.32534562211981566,0.46851283631405566,26040,0.3331255033382693,0.47133303102167384,115479,-2.4087234520046423,0.01600969263941096,0.32876777763375065,0.4697654190014261,9650961,-1.1739705077566873,0.24040686769044098,0.30017143610708164,0.4583343669269743,113745,7.961966961162015,1.7058510321920113e-15
CC_HYPOTHYROID,0.09508448540706606,0.293337229904202,26040,0.09092562284051646,0.2875045560385685,115479,2.100695039142787,0.035669509559976435,0.07832453161918279,0.2686816086856012,9650961,10.049816349562779,9.206352108067445e-24,0.07482526704470527,0.26311034771107217,113745,10.962989930394098,5.909646068366011e-28
CC_DX_CNT,2.9178571428571427,2.2779623236483904,26040,2.754959776236372,2.1845464449228627,115479,10.783381720935589,4.225760759505775e-27,2.9548724733215685,2.913004390859751,9650961,-2.048816096958738,0.04048012804373342,2.759374038419271,2.5902612607877704,113745,9.10040664653463,9.113136720469594e-20
ACUTE2,0.03195084485407066,0.18912977476661016,26040,0.033919587111076475,0.19252148689414203,115479,-1.4954578458034993,0.1347972233895627,0.06049604801014117,0.25841858157831415,9650961,-17.812147142808527,5.703420788517537e-71,0.04960218031561827,0.23366120084947217,113745,-11.367488466294654,6.257734459450593e-30
ACUTE6,0.09953917050691244,0.4022859175352985,26040,0.10320491171555002,0.3886186704216775,115479,-1.366034539896727,0.17193029327552484,0.16755844314364135,0.5056474625819558,9650961,-21.688728833323033,2.6363948601186455e-104,0.14994065673216406,0.4751320612466584,113745,-15.865405081697975,1.2329840897544233e-56
IP_BIN6,0.025,0.1688891968499679,26040,0.03060296677317954,0.1998425295710657,115479,-4.198793422717496,2.6850474437391157e-05,0.05496406005578097,0.28121536116234014,9650961,-17.185844286079025,3.3974599172640963e-66,0.04862631324453822,0.27123631116541813,113745,-13.471063660677157,2.456977296823666e-41
ER_BIN6,0.07864823348694316,0.36771931893223303,26040,0.07801418439716312,0.3337653606915458,115479,0.2716234629474321,0.7859119529068594,0.12247547161365588,0.42226064266417296,9650961,-16.731701848898073,7.716333147098256e-63,0.11102026462701657,0.3957463477712053,113745,-12.061672370535868,1.749099161580951e-33
LOB,0.9530337941628264,0.21157055636619318,26040,0.9441197100771569,0.22969140163375942,115479,5.737705129807291,9.616294825903478e-09,0.80208375103785,0.39842869350432997,9650961,61.11361328307024,0.0,0.8030067255703548,0.3977289466291937,113745,58.989137936252575,0.0
