,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
IP_C,0.15586034912718205,0.6771536483361069,1604,0.13007915567282322,0.5192865527650884,7580,1.705162102944509,0.08819802112363348,0.020586568512481553,0.14199583893771575,356446,36.34083103156332,1.2382235324343839e-288,0.19032503809040122,0.6891174726867841,7876,-1.8310482650132467,0.06712471517043199
CC_TRAUMATIC_BRAIN,0.003117206982543641,0.05576225022045793,1604,0.0006596306068601583,0.02567649646859802,7580,2.71210792433717,0.006698132246259014,0.0018403909708623466,0.04286034397456486,356446,1.188577589431037,0.23460671927432003,0.002793296089385475,0.05278112635984364,7876,0.22185711345654704,0.8244298968312422
CC_AMI,0.0012468827930174563,0.03530021175188596,1604,0.0017150395778364115,0.041380238246803286,7580,-0.4217881189329747,0.6731895529388394,0.0023622091424788045,0.04854519257275982,356446,-0.9190551217701479,0.35806736043472087,0.0015236160487557136,0.03900625364174058,7876,-0.26304439837139426,0.7925220763909283
PREGNANCY,0.0,0.0,1604,0.00013192612137203166,0.011485909688484916,7580,-0.459990576964832,0.645533875853536,0.0024744281041167524,0.04968211181562442,356446,-1.9946944071334785,0.046076976511201954,0.0012696800406297613,0.035612202651986925,7876,-1.4278395074404509,0.1533710057892089
CC_CHRONIC_KIDNEY,0.03927680798004988,0.19431335526854188,1604,0.02308707124010554,0.1501899938201519,7580,3.7099456511928777,0.00020852727296060124,0.055814906044674366,0.2295642614948581,356446,-2.8806090422288575,0.00396931179445997,0.04266124936515998,0.2021050552569624,7876,-0.6152558781138229,0.5384005225901024
CC_DX_CNT,2.706359102244389,2.22735994791821,1604,2.5193931398416884,2.098829749782045,7580,3.2060690757787653,0.0013502255591482308,1.8244194071472257,2.4122736286005,356446,14.614464849920035,2.3454981955682422e-48,2.3437023869984763,2.439687662507202,7876,5.504456741878452,3.7996321546475626e-08
CC_HEPATITIS_D,0.0,0.0,1604,0.0,0.0,7580,,,8.416422122846098e-06,0.0029010989122410236,356446,-0.11618941130084162,0.9075024936347774,0.0,0.0,7876,,
CC_DEPRESSION,0.22007481296758105,0.4144260670849547,1604,0.22981530343007917,0.4207417067206655,7580,-0.8445368802256032,0.3983914670912354,0.16091357456669453,0.3674517313663691,356446,6.429835819276807,1.2790168366481422e-10,0.20099035043169122,0.40076629381234186,7876,1.728256606183867,0.0839747987834105
CC_HEART_FAILURE,0.026184538653366583,0.15973357687453976,1604,0.015435356200527705,0.12328467520041346,7580,2.999655539391665,0.002710101161205882,0.024662922293980014,0.15509587371307407,356446,0.3919883312111254,0.6950670689294896,0.03047232097511427,0.171893892322855,7876,-0.9212856474842649,0.35692476128793005
CC_MULTIPLE_SCLEROSIS,0.009351620947630923,0.09628056606728466,1604,0.00395778364116095,0.06279044295892373,7580,2.811476960089785,0.004941916295383243,0.0033357086346880033,0.05765926646815968,356446,4.152675317118911,3.286868210784691e-05,0.004824784154393093,0.06929729668071469,7876,2.216644661760478,0.02667103140540802
ACUTE2,0.03865336658354115,0.2083765056446899,1604,0.031530343007915566,0.18359426517510416,7580,1.3774217544454563,0.16841546447442182,0.06325782867531127,0.24342646123420128,356446,-4.04141329134183,5.314111057582599e-05,0.05154900964956831,0.23773297067041624,7876,-2.0201604209105954,0.043394826418528626
CC_EPILEPSY,0.00685785536159601,0.08255346134884511,1604,0.003430079155672823,0.05847020383947949,7580,1.9691072218246939,0.04897080278776907,0.00875588448180089,0.09316245659134409,356446,-0.8145130837806316,0.4153516216793679,0.009395632300660234,0.09648075601177325,7876,-0.9827229628417666,0.3257688902211986
CC_COPD,0.02369077306733167,0.1521313551994971,1604,0.01662269129287599,0.12786138676617056,7580,1.9420972895559754,0.0521558646156343,0.02924426140284924,0.16849069476613263,356446,-1.3176402494869788,0.18762494819841316,0.0366937531742001,0.1880207706637014,7876,-2.601690916891865,0.009290965634100005
CC_LIVER,0.0399002493765586,0.19578589659367912,1604,0.024802110817941952,0.15553185342739823,7580,3.364509436272319,0.0007699385891173844,0.020609012304809143,0.142071593020084,356446,5.415115314862432,6.128847746452434e-08,0.03212290502793296,0.17633766491319744,7876,1.579259051284751,0.11431002064659584
CC_GLAUCOMA,0.05486284289276808,0.22778335931468735,1604,0.04353562005277045,0.20407293794991,7580,1.9775727404812387,0.04800678280136981,0.0423710744404482,0.20143455593762744,356446,2.4765458173235473,0.01326651808807976,0.05434230573895378,0.22670629713598228,7876,0.08375090467311817,0.9332562519252223
CC_ADHD,0.032418952618453865,0.17716526865223636,1604,0.024406332453825858,0.15431722215266488,7580,1.838853138413641,0.06596906379887878,0.03224611862666435,0.1766533158729485,356446,0.03909569513990037,0.9688141149248395,0.045073641442356524,0.20747885179296874,7876,-2.279350941017572,0.02266833968626442
CC_HEARING_IMPAIR,0.025561097256857856,0.1578710415481382,1604,0.013324538258575198,0.11466791006933029,7580,3.6107416954409777,0.00030695018416125076,0.020050722970660354,0.14017398689864935,356446,1.5699292203550814,0.11643246238318217,0.034662265109192486,0.18293452784046718,7876,-1.8566700220686654,0.06338912064113997
CC_ENDOMETRIAL_CANCER,0.003117206982543641,0.05576225022045793,1604,0.0005277044854881266,0.02296727245262675,7580,3.0123953708609967,0.002599009042279862,0.0011642717269937102,0.034101604960467664,356446,2.279917133634569,0.02261318897400748,0.0012696800406297613,0.035612202651986925,7876,1.6969310347759798,0.08974253336246198
CC_MOBILITY_IMPAIR,0.0024937655860349127,0.04989086616103296,1604,0.0010554089709762533,0.0324720524496559,7580,1.448768485566708,0.1474363955146209,0.004401788770248509,0.06619988912869189,356446,-1.1528532171793722,0.24897140657489927,0.005840528186896902,0.076204683190173,7876,-1.6867962392343085,0.09167544725749374
CC_COLORECTAL_CANCER,0.0,0.0,1604,0.0009234828496042216,0.03037682939498351,7580,-1.2175026923024594,0.22344430060225903,0.0028756108919724167,0.05354764045451312,356446,-2.150757071488893,0.031496046259207634,0.0024123920771965466,0.04905994331593703,7876,-1.9692678439404663,0.048951424074080485
CC_FIBROMYALGIA,0.1059850374064838,0.3079144662942514,1604,0.10395778364116096,0.30522590564284263,7580,0.2412891616430471,0.8093363982861412,0.06438562923977265,0.24543897202713785,356446,6.764156387612672,1.3429280749222772e-11,0.09154393092940578,0.2883993760422765,7876,1.8066685033521683,0.07084568363981808
ALLOW_IP,67.84912094763092,1237.730169587595,1604,31.53673878627968,616.1816011841307,7580,1.733581133357514,0.0830259986773859,372.97562528405416,5983.286127253906,356446,-2.042207912448528,0.04113164299506458,140.5886909598781,2258.4669712088257,7876,-1.2521463726581852,0.21054743010280796
ACUTE_C,0.571072319201995,1.808846658941872,1604,0.5389182058047494,1.4408108912857023,7580,0.7739977082594647,0.4389520740562529,0.06325782867531127,0.24342646123420128,356446,74.77840426029576,0.0,0.654393092940579,1.538057236699298,7876,-1.9164544525806537,0.055337316451276986
CC_OSTEOPOROSIS,0.011221945137157107,0.10537046604181115,1604,0.009102902374670185,0.09498015413163399,7580,0.7958869908377433,0.4261182981801528,0.012882736796036427,0.11276882355223,356446,-0.588676547290164,0.5560786447328983,0.020441848654139158,0.14151509532658754,7876,-2.4733668646270295,0.013402063630026266
CC_PRESSURE,0.0012468827930174563,0.03530021175188596,1604,0.0025065963060686017,0.05000643139819951,7580,-0.9595563865988362,0.33730379395057675,0.007389618623858873,0.085644805672596,356446,-2.8714188795605082,0.0040865761131297345,0.006602336211274758,0.08099122313178568,7876,-2.5983859856366327,0.009380812274960662
IP_BIN6,0.02805486284289277,0.19940261871246465,1604,0.025857519788918207,0.17976980417721353,7580,0.4360542538305639,0.6628076182024589,0.020586568512481553,0.14199583893771575,356446,2.0971529171591956,0.03598074035822456,0.04685119349923819,0.26372470244406443,7876,-2.701481634887647,0.0069154084899783206
CC_CEREBRAL_PALSY,0.0018703241895261845,0.04322025751494061,1604,0.0002638522427440633,0.016242457608017333,7580,2.506365468938002,0.012215096349175112,0.0009734994922091986,0.031185806377650796,356446,1.1467917124530496,0.25146848155785934,0.0007618080243778568,0.027592106420919207,7876,1.3139407922389719,0.1888979300837098
CC_SPINAL_CORD,0.0006234413965087282,0.024968808471946113,1604,0.0002638522427440633,0.016242457608017336,7580,0.7239670266183438,0.4691044228062473,0.0012147702597307868,0.034832427374831255,356446,-0.6791187213901148,0.49706308016471346,0.0015236160487557136,0.03900625364174058,7876,-0.8879333446144747,0.3745991389916651
CC_HYPERTENSION,0.3248129675810474,0.46845097458505813,1604,0.329155672823219,0.4699376028946163,7580,-0.33641907114146674,0.7365625579003907,0.2077172979918417,0.40567386384542287,356446,11.52569432394568,9.91516253180711e-31,0.2493651599796851,0.432673024503863,7876,6.274847355341161,3.6529256479762663e-10
CC_MIGRAINE,0.08229426433915212,0.2748982198167359,1604,0.05408970976253298,0.22620955731519485,7580,4.358798076818704,1.3220261601523256e-05,0.03163171981169658,0.17501782780219766,356446,11.529496572048858,9.487031003744613e-31,0.05256475368207212,0.22317711436851398,7876,4.663150953569002,3.1566178649058945e-06
CC_SCHIZOPHRENIA_OTHER,0.003117206982543641,0.05576225022045793,1604,0.0031662269129287598,0.05618379090522067,7580,-0.03178703131731427,0.9746425798062857,0.00903643188589576,0.09462980453919373,356446,-2.5032236150550773,0.012307217654062121,0.009776536312849162,0.09839809438334851,7876,-2.62589377246643,0.0086560669631932
