,Coefficient,Standard Error,z-statistic,p-value
Age,-1.171,0.145,-8.068,0.0
Total Cost,0.083,0.01,8.395,0.0
Gender,0.06,0.061,0.983,0.326
Tobacco Use,0.154,0.084,1.841,0.066
Pressure,0.333,0.341,0.975,0.329
Obesity,-0.079,0.052,-1.515,0.13
Hypertension,-0.071,0.061,-1.162,0.245
Hypothyroid,-0.119,0.086,-1.383,0.167
Disease Count,1.455,0.243,5.986,0.0
Acute Care 2 Months,1.457,0.099,14.763,0.0
Acute Care 6 Months,0.552,0.265,2.083,0.037
Inpatient Visits 6 Months,-0.334,0.235,-1.425,0.154
Emergency Vistits 6 Months,-0.106,0.252,-0.419,0.675
Line of Bussiness,-0.389,0.088,-4.438,0.0
Treatment,-0.143,0.063,-2.282,0.023
