,Coefficient,Standard Error,z-statistic,p-value
Age,-1.193,0.16,-7.467,0.0
Total Cost,0.067,0.012,5.779,0.0
Gender,-0.063,0.067,-0.935,0.35
Tobacco Use,-0.037,0.091,-0.402,0.688
Pressure,0.696,0.322,2.16,0.031
Obesity,0.058,0.056,1.034,0.301
Hypertension,0.082,0.064,1.271,0.204
Hypothyroid,-0.226,0.096,-2.341,0.019
Disease Count,1.194,0.281,4.253,0.0
Acute Care 2 Months,1.147,0.112,10.243,0.0
Acute Care 6 Months,0.576,0.233,2.471,0.013
Inpatient Visits 6 Months,-0.368,0.21,-1.752,0.08
Emergency Vistits 6 Months,-0.148,0.219,-0.676,0.499
Line of Bussiness,-0.5,0.094,-5.307,0.0
Treatment,-0.16,0.068,-2.335,0.02
