,Coefficient,Standard Error,z-statistic,p-value
Age,-1.203,0.187,-6.424,0.0
Total Cost,0.049,0.013,3.619,0.0
Gender,-0.012,0.079,-0.152,0.879
Tobacco Use,0.06,0.103,0.581,0.561
Pressure,0.77,0.362,2.128,0.033
Obesity,0.102,0.065,1.573,0.116
Hypertension,0.134,0.075,1.783,0.075
Hypothyroid,-0.257,0.117,-2.203,0.028
Disease Count,0.788,0.327,2.41,0.016
Acute Care 2 Months,1.07,0.126,8.473,0.0
Acute Care 6 Months,0.133,0.283,0.47,0.638
Inpatient Visits 6 Months,-0.415,0.217,-1.914,0.056
Emergency Vistits 6 Months,0.49,0.265,1.849,0.064
Line of Bussiness,-0.541,0.107,-5.042,0.0
Treatment,-0.099,0.079,-1.252,0.21
