,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,50.837442396313364,12.502708172646237,26040,51.25779645513695,12.532930719753304,115886,-4.892824069780068,9.950790188042575e-07,50.378854603184074,19.51403340696115,9650961,3.7901425368403427,0.00015056177453683653,50.23580816739197,19.594389597104893,113745,4.738809272935958,2.151886849091019e-06
CC_ISCHEMIC,0.08494623655913978,0.2788070275398356,26040,0.0914346858119186,0.28822751588210094,115886,-3.3020788364195752,0.000959947847663434,0.1272797600156088,0.33328611464577157,9650961,-20.477552732120582,3.4294624547375748e-93,0.12135038902808915,0.3265354644112379,113745,-16.654209689144718,3.239094451792968e-62
CC_ALZHEIMER,0.0,0.0,26040,0.0008888045147817683,0.02979970141143829,115886,-4.812975413940033,1.488521482736829e-06,0.006680060151522734,0.0814581956308666,9650961,-13.233235912918108,5.645081468439344e-40,0.008343223877972658,0.09095981108271901,113745,-14.80142878088467,1.563657715795455e-49
CC_ANXIETY_DISORDER,0.26490015360983105,0.44128850036080575,26040,0.28638489550075075,0.4520733908076025,115886,-6.9600536503016,3.416095718500901e-12,0.2098859377838124,0.407227022786511,9650961,21.765663265822845,4.9381147182042835e-105,0.2408457514616027,0.4275987405568162,113745,8.139519831055459,4.000693458916953e-16
CC_GLAUCOMA,0.0532258064516129,0.2244877619418227,26040,0.05533023833767668,0.22862470142890165,115886,-1.3466359554051548,0.1780996586073126,0.06562040816453409,0.24761739953008718,9650961,-8.068464258039427,7.119593379885834e-16,0.06024880214514924,0.23794827538755303,113745,-4.340996393958153,1.4193754318936064e-05
CC_MULTIPLE_SCLEROSIS,0.009984639016897081,0.099424974837306,26040,0.010363633225756346,0.10127347547912224,115886,-0.5475045850721214,0.584032982275384,0.004875265789593389,0.0696526961127141,9650961,11.804827798742906,3.687322747783713e-32,0.005688162117016133,0.075205429675982,113745,7.79112574806367,6.686817588482259e-15
CC_AMI,0.0011136712749615976,0.033353766398691156,26040,0.0024765718033239563,0.04970371931197803,115886,-4.216622840765994,2.4814158814238585e-05,0.003498926169114143,0.05904815023398852,9650961,-6.515715507010052,7.234750065782193e-11,0.003121016308409161,0.05577905448219538,113745,-5.583232544219954,2.3652536056401897e-08
CC_AUTISM,0.00026881720430107527,0.016393756813932587,26040,0.00197607994063131,0.0444093691362561,115886,-6.110767824868459,9.940965628673872e-10,0.005283929755803593,0.07249834747599004,9650961,-11.162027511845412,6.257406612164186e-29,0.005811244450305508,0.07601003014012535,113745,-11.70437429661608,1.2523910516168181e-31
CC_SPINAL_CORD,0.00042242703533026114,0.02054908286850015,26040,0.0010355004055709921,0.03216266579148005,115886,-2.9439030492192035,0.0032415400446609613,0.002060831040556479,0.045349578047376535,9650961,-5.828381306517581,5.596934754473114e-09,0.0020044837135698274,0.04472676319667804,113745,-5.574764050171854,2.4832129877398203e-08
CC_HIP_FRACTURE,0.0,0.0,26040,0.00048323352259979635,0.02197735598036304,115886,-3.5481413698368303,0.0003880850516803951,0.0016423234950384733,0.04049230097770057,9650961,-6.544955788563538,5.951594078036781e-11,0.0019869005230999165,0.04453055336375726,113745,-7.200080039197801,6.047821289167335e-13
