,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,50.20573566084788,12.733902838177787,1604,50.33867337481795,12.890909176411633,7553,-0.3759001218976062,0.7069998596164967,44.310975575543,20.053585413347044,356446,11.76202977294491,6.207967803418031e-32,47.606399187404776,19.811818943217997,7876,5.046484180200011,4.5837026486326564e-07
CC_ISCHEMIC,0.08915211970074813,0.2850520597764169,1604,0.08327816761551701,0.27632050843276224,7553,0.768909695834002,0.4419667562852013,0.07176683144150867,0.258101802080747,356446,2.6903238127252904,0.007138602748763612,0.0952260030472321,0.2935454855567358,7876,-0.7590083820000876,0.4478664176394128
CC_ALZHEIMER,0.0,0.0,1604,0.0005295908910366742,0.023008270541247537,7553,-0.9218070646096591,0.3566535126492427,0.003975356716024307,0.06292506943547778,356446,-2.5301949206674355,0.011400342471184773,0.005840528186896902,0.076204683190173,7876,-3.0694064422038396,0.0021509085485251138
CC_ANXIETY_DISORDER,0.2300498753117207,0.4209957569025971,1604,0.2559247980934728,0.4364086517165728,7553,-2.1698285327687095,0.030045472518961,0.14131453291662693,0.34834620154903884,356446,10.168699990508731,2.756238803958305e-24,0.2143219908583037,0.4103772139209816,7876,1.3929042643845655,0.16368141223971946
CC_GLAUCOMA,0.05486284289276808,0.22778335931468735,1604,0.05004633920296571,0.21805503521371605,7553,0.7970952704266316,0.42541637430520496,0.0423710744404482,0.20143455593762744,356446,2.4765458173235473,0.01326651808807976,0.05434230573895378,0.22670629713598228,7876,0.08375090467311817,0.9332562519252223
CC_MULTIPLE_SCLEROSIS,0.009351620947630923,0.09628056606728466,1604,0.008076261088309281,0.08951031157577079,7553,0.5112771794664774,0.6091693121594035,0.0033357086346880033,0.05765926646815968,356446,4.152675317118911,3.286868210784691e-05,0.004824784154393093,0.06929729668071469,7876,2.216644661760478,0.02667103140540802
CC_AMI,0.0012468827930174563,0.03530021175188596,1604,0.0021183635641466966,0.04597995225528181,7553,-0.7156084538795899,0.4742514022787394,0.0023622091424788045,0.04854519257275982,356446,-0.9190551217701479,0.35806736043472087,0.0015236160487557136,0.03900625364174058,7876,-0.26304439837139426,0.7925220763909283
CC_AUTISM,0.0006234413965087282,0.024968808471946113,1604,0.0017211703958691911,0.041454016515683194,7553,-1.0218864145395437,0.3068616647750616,0.004974105474602044,0.07035181330058274,356446,-2.4760468584821216,0.013285072869743876,0.005713560182833925,0.07537663297703895,7876,-2.6747198296417687,0.007492010059287369
CC_SPINAL_CORD,0.0006234413965087282,0.024968808471946113,1604,0.0010591817820733483,0.03252998646324114,7553,-0.5057555371818013,0.6130404519740378,0.0012147702597307868,0.034832427374831255,356446,-0.6791187213901148,0.49706308016471346,0.0015236160487557136,0.03900625364174058,7876,-0.8879333446144747,0.3745991389916651
CC_HIP_FRACTURE,0.0,0.0,1604,0.0005295908910366742,0.023008270541247534,7553,-0.9218070646096593,0.3566535126492427,0.0010969403500109413,0.033101965892526605,356446,-1.3271829791094583,0.18444900768521233,0.0015236160487557136,0.039006253641740575,7876,-1.5643186970123035,0.11777612866645863
CC_HEPATITIS_A,0.0,0.0,1604,0.0,0.0,7553,,,6.452590294182008e-05,0.008032553788443765,356446,-0.3217229382327547,0.7476627866242247,0.0,0.0,7876,,
CC_MIGRAINE,0.08229426433915212,0.2748982198167359,1604,0.07189196345822851,0.2583260425484885,7553,1.4480021798229508,0.14765068508480272,0.03163171981169658,0.17501782780219766,356446,11.529496572048858,9.487031003744613e-31,0.05256475368207212,0.22317711436851398,7876,4.663150953569002,3.1566178649058945e-06
