,Coefficient,Standard Error,z-statistic,p-value
Age,-1.11,0.138,-8.025,0.0
Total Cost,0.083,0.01,8.693,0.0
Gender,0.043,0.059,0.736,0.462
Tobacco Use,0.151,0.085,1.776,0.076
Pressure,-0.01,0.507,-0.02,0.984
Obesity,-0.158,0.051,-3.097,0.002
Hypertension,-0.046,0.059,-0.786,0.432
Hypothyroid,-0.213,0.088,-2.429,0.015
Disease Count,1.402,0.244,5.738,0.0
Acute Care 2 Months,1.488,0.094,15.849,0.0
Acute Care 6 Months,0.642,0.232,2.773,0.006
Inpatient Visits 6 Months,-0.286,0.191,-1.495,0.135
Emergency Vistits 6 Months,-0.347,0.221,-1.568,0.117
Line of Bussiness,-0.49,0.083,-5.886,0.0
Treatment,-0.175,0.062,-2.812,0.005
