,Coefficient,Standard Error,z-statistic,p-value
Age,1.299,0.378,3.44,0.001
Total Cost,0.03,0.025,1.197,0.231
Gender,0.091,0.143,0.634,0.526
Tobacco Use,0.008,0.24,0.035,0.972
Pressure,-13.31,841.001,-0.016,0.987
Obesity,0.382,0.131,2.918,0.004
Hypertension,0.132,0.141,0.934,0.35
Hypothyroid,-0.066,0.205,-0.323,0.747
Disease Count,1.536,0.6,2.557,0.011
Acute Care 2 Months,0.803,0.325,2.468,0.014
Acute Care 6 Months,-0.646,0.748,-0.864,0.388
Inpatient Visits 6 Months,0.306,0.622,0.492,0.623
Emergency Vistits 6 Months,0.387,0.686,0.564,0.573
Line of Bussiness,-0.187,0.258,-0.727,0.467
Treatment,0.843,0.123,6.844,0.0
