,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
CC_ANEMIA,0.07073732718894009,0.06580566350060636,2.874876745873788,0.004042465669530569,0.080280813485828,0.07174820871247088
ALLOW_AMT,782.4345622119815,735.9101523426781,1.7421532940337512,0.08148383584957887,857.8564288053801,706.6092223834015
CC_MULTIPLE_SCLEROSIS,0.009984639016897081,0.006081314342872824,6.9042343836824855,5.069016163561051e-12,0.004875265789593389,0.005688162117016133
CC_HEPATITIS_GEN,0.0019201228878648233,0.00471810850764369,-6.299162457530117,3.0014902129437183e-10,0.00656328421594492,0.00481779418875555
CC_HEARING_IMPAIR,0.031144393241167436,0.03834680310527667,-5.5513809418749585,2.8393722508506003e-08,0.03786814598048837,0.042639236889533604
CC_AMI,0.0011136712749615976,0.002248404429533766,-3.6623598444543957,0.0002499951329564609,0.003498926169114143,0.003121016308409161
CC_HEPATITIS_D,0.0,0.0,,,1.460994402526339e-05,0.0
CC_SCHIZOPHRENIA_OTHER,0.002956989247311828,0.010719754977029096,-11.792178553663184,4.4368391323008256e-32,0.01286286412306505,0.012062068662358785
CC_ALZHEIMER,0.0,0.004859740282732431,-11.276692746051065,1.7618139279286312e-29,0.006680060151522734,0.008343223877972658
CC_PROSTATE_CANCER,0.0038402457757296467,0.009152953465109897,-8.594100833157228,8.476875955715203e-18,0.01191010926269415,0.014136885137808254
CC_EPILEPSY,0.006720430107526882,0.00924147332454036,-3.9337995610376417,8.365409061365596e-05,0.012233393130487213,0.010101542924963734
CC_STROKE,0.006989247311827957,0.008320866786463543,-2.164949833187483,0.030393223241819846,0.012591181334169727,0.01228185854323267
ACUTE,0.015514592933947772,0.02206800095601448,-6.674716206870553,2.4863614664637035e-11,0.030727613550609104,0.02431755241988659
CC_PERIPHERAL,0.012327188940092167,0.02079331498021581,-8.975596600304863,2.852099209370691e-19,0.03991063687854505,0.0311925798936217
CC_LIVER,0.046697388632872504,0.03351361878037338,10.30120895209385,7.103100532381494e-25,0.03741886429755545,0.03939513824783507
CC_HEPATITIS_E,0.0,0.0,,,6.7350805790221305e-06,1.7583190469910766e-05
CC_ANXIETY_DISORDER,0.26490015360983105,0.2359231293540706,9.854527673575202,6.666750036898177e-23,0.2098859377838124,0.2408457514616027
CC_COPD,0.022964669738863287,0.029184997654223725,-5.483714181147788,4.1720980056304994e-08,0.046530806621226634,0.039992966723812036
CC_PRESSURE,0.002304147465437788,0.005842310722410573,-7.171608907680039,7.448847538856223e-13,0.012810123261300092,0.00805310123521913
CC_MUSCULAR_DYSTROPHY,0.0,0.0003540794377218529,-3.0369987988857385,0.0023899067447667624,0.0004149845802920559,0.0
MBR_GNDR,0.18940092165898617,0.3729076118227124,-57.06925124490492,0.0,0.4330145982353467,0.4293815112752209
CC_HEART_FAILURE,0.025038402457757295,0.0339385141056396,-7.327737093137206,2.353329950959474e-13,0.04634440031412416,0.03918413996219614
CC_DEPRESSION,0.23337173579109063,0.20406483194504688,10.479300504627568,1.099359019786004e-25,0.20309417891130221,0.21712602751769308
CC_AUTISM,0.00026881720430107527,0.006134426258531101,-12.06103180215298,1.763120411899472e-33,0.005283929755803593,0.005811244450305508
AGE_AT_MIDMONTH,50.837442396313364,51.30648230930609,-4.057025406074904,4.972878176087259e-05,50.378854603184074,50.23580816739197
CC_ENDOMETRIAL_CANCER,0.0026113671274961598,0.0022838123733059513,0.9851071624980006,0.3245731501128619,0.0018416818801775285,0.0018110686184008087
CC_DEVELOP_DELAYS,0.00038402457757296467,0.0013632058352291336,-4.1497450160055696,3.330436082892565e-05,0.0016384896799396453,0.0011077409996043783
CC_HEPATITIS_A,0.0,0.0,,,9.221879562045686e-05,0.0
ACUTE_C,0.7074884792626728,0.805654648620418,-7.8952045096375425,2.9193645193304426e-15,0.6196772528663208,0.8575673655984879
ER_C,0.5561443932411675,0.6244013844506014,-6.224167315712681,4.854953835918609e-10,0.4579038294735623,0.6494087652204492
CC_CEREBRAL_PALSY,0.001075268817204301,0.001044534341279466,0.13803035649090026,0.8902166260894017,0.0017405520548679039,0.0005890368807420106
ER_BIN2,0.024923195084485407,0.03315953934265153,-6.443355470598669,1.1724062962080341e-10,0.04388215847105796,0.0361774143918414
ACUTE2,0.03195084485407066,0.04496808859067532,-8.70700631331076,3.1533179351024784e-18,0.06049604801014117,0.04960218031561827
CC_MIGRAINE,0.09723502304147466,0.05916667404332162,22.29774429936035,6.065911787235034e-110,0.048491336769467826,0.057813530265066596
CC_DEPRESSIVE_DISORDERS,0.002457757296466974,0.005497083270631766,-6.314863663708462,2.7121252686974915e-10,0.0064400840496609615,0.006875027473735109
CC_DISAB_DX_CNT,0.05963901689708141,0.08271295665182483,-11.02986666398966,2.8178850200982434e-28,0.087024701477915,0.08693129368323882
CC_OBESITY,0.5045698924731182,0.302127132222114,63.048302525759276,0.0,0.25501988869294984,0.28556859642182075
CC_SPINA_BIFIDA,0.0014976958525345623,0.0021333286122741635,-2.062380246403563,0.039173402159906584,0.0010970928180105588,0.0008352015473207613
CC_PERSONALITY,0.02400153609831029,0.02236011649213501,1.604261992059135,0.10865858701901479,0.021903829059095773,0.023737307134379534
CC_HEPATITIS_C_CHRONIC,0.0007296466973886329,0.0024608520921668778,-5.4547933037249585,4.911314962491467e-08,0.0039207494466095135,0.002619895380016704
CC_HEPATITIS_C_ACUTE,0.0,0.00018589170480397277,-2.2003295966405965,0.02778515777191903,0.00029313143012390163,8.791595234955383e-05
CC_HYPERLIPIDEMIA,0.2560291858678955,0.2504315343147235,1.8768666294866796,0.06053846841583262,0.28211563594547734,0.2544287660996088
CC_TOBACCO,0.06336405529953917,0.10160309465428569,-19.04636099373703,8.931805645892324e-81,0.1015104091706515,0.10048793353554003
CC_FIBROMYALGIA,0.11582181259600614,0.111216351388434,2.1237642690764735,0.03369162102673405,0.10801691147648405,0.10448810936744472
CC_LEUKEMIAS,0.007411674347158218,0.006939956979348317,0.8214180006148873,0.41140962251987256,0.007122192287379464,0.004615587498351576
CC_TRAUMATIC_BRAIN,0.001881720430107527,0.0024077401765085996,-1.594235686429749,0.11088552984507342,0.002430535156032648,0.00253197942766715
IP_BIN,0.004032258064516129,0.0068602891058609,-5.187533368838547,2.1339579356655191e-07,0.010316692814321807,0.008158600378038595
CC_HIP_FRACTURE,0.0,0.000991422425621188,-5.083491787424284,3.7103784652688434e-07,0.0016423234950384733,0.0019869005230999165
CC_LEARN_DISAB,0.0007296466973886329,0.0024874080499960164,-5.5107773653289,3.578839058918526e-08,0.0026736197566232006,0.0021715240230339794
CC_VISUAL_IMPAIR,0.0001152073732718894,0.0004071913533801308,-2.2627811240828963,0.023650721170648738,0.0012817376425000577,0.00038683019033803684
