,Coefficient,Standard Error,z-statistic,p-value
Age,-0.626,0.171,-3.652,0.0
Total Cost,0.092,0.01,9.321,0.0
Gender,-0.145,0.051,-2.819,0.005
Tobacco Use,0.068,0.074,0.916,0.36
Pressure,-0.022,0.267,-0.081,0.936
Obesity,-0.102,0.054,-1.875,0.061
Hypertension,0.043,0.063,0.68,0.497
Hypothyroid,-0.211,0.096,-2.195,0.028
Disease Count,1.111,0.235,4.722,0.0
Acute Care 2 Months,1.43,0.092,15.507,0.0
Acute Care 6 Months,0.546,0.179,3.054,0.002
Inpatient Visits 6 Months,-0.189,0.161,-1.174,0.24
Emergency Vistits 6 Months,-0.169,0.175,-0.965,0.334
Line of Bussiness,-0.496,0.065,-7.675,0.0
Treatment,-0.358,0.07,-5.127,0.0
