,Coefficient,Standard Error,z-statistic,p-value
Age,-0.789,0.198,-3.985,0.0
Total Cost,0.056,0.011,5.055,0.0
Gender,-0.154,0.059,-2.6,0.009
Tobacco Use,0.112,0.082,1.36,0.174
Pressure,0.371,0.315,1.178,0.239
Obesity,-0.154,0.063,-2.441,0.015
Hypertension,-0.026,0.073,-0.352,0.725
Hypothyroid,-0.074,0.11,-0.67,0.503
Disease Count,1.139,0.27,4.223,0.0
Acute Care 2 Months,1.247,0.1,12.418,0.0
Acute Care 6 Months,0.094,0.215,0.439,0.661
Inpatient Visits 6 Months,-0.264,0.172,-1.536,0.125
Emergency Vistits 6 Months,0.458,0.206,2.218,0.027
Line of Bussiness,-0.614,0.072,-8.476,0.0
Treatment,-0.275,0.081,-3.418,0.001
