,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,50.837442396313364,51.25299667329661,-3.7163838399222486,0.00020217327361871952,50.378854603184074,50.23580816739197
ALLOW_AMT,782.4345622119815,789.5792952317252,-0.2357982355306479,0.8135895831496462,857.8564288053801,706.6092223834015
MBR_GNDR,0.18940092165898617,0.19557143611497368,-2.269418754259716,0.023244390673425323,0.4330145982353467,0.4293815112752209
CC_TOBACCO,0.06336405529953917,0.06461549293295549,-0.7421452511176198,0.45800058364423224,0.1015104091706515,0.10048793353554003
CC_PRESSURE,0.002304147465437788,0.004849242250893281,-5.61358919941322,1.9854700179460862e-08,0.012810123261300092,0.00805310123521913
CC_OBESITY,0.5045698924731182,0.4727703166528787,9.26808874973622,1.920884148560893e-20,0.25501988869294984,0.28556859642182075
CC_HYPERTENSION,0.32534562211981566,0.333832045482548,-2.62244809910097,0.008731003713751764,0.32876777763375065,0.30017143610708164
CC_HYPOTHYROID,0.09508448540706606,0.09567352542551881,-0.2916220447879097,0.7705760515346955,0.07832453161918279,0.07482526704470527
CC_DX_CNT,2.9178571428571427,2.9122119937338287,0.34032194194820886,0.7336146068198148,2.9548724733215685,2.759374038419271
ACUTE2,0.03195084485407066,0.03636491648038301,-3.293347549026912,0.0009902660842242257,0.06049604801014117,0.04960218031561827
ACUTE6,0.09953917050691244,0.10389347508492774,-1.7020469708907628,0.08874878897764402,0.16755844314364135,0.14994065673216406
IP_BIN6,0.025,0.03446394311161178,-6.849992289008221,7.415788387133036e-12,0.05496406005578097,0.04862631324453822
ER_BIN6,0.07864823348694316,0.07358351081618644,2.363670506887128,0.018096258960336026,0.12247547161365588,0.11102026462701657
LOB,0.9530337941628264,0.8954464647175823,28.83224320312646,2.9094247143007104e-182,0.80208375103785,0.8030067255703548
