,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
CC_ANEMIA,0.07073732718894009,0.2563904876515959,26040,0.07412916057944484,0.261982121853922,113626,-1.8918790592796948,0.058509163108256414,0.080280813485828,0.2717274592721526,9650961,-5.66073742570482,1.5072814203700478e-08,0.07174820871247088,0.25807167374192436,113745,-0.5708765783212352,0.568084226351476
CC_SPINA_BIFIDA,0.0014976958525345623,0.038671826837308784,26040,0.0013553236055128227,0.036789925459442555,113626,0.5578323349919061,0.5769597744502685,0.0010970928180105588,0.03310421905001804,9650961,1.9491860782534214,0.05127323576398696,0.0008352015473207613,0.028887909622918023,113745,3.1162811788780154,0.00183184631124543
CC_ADHD,0.03824884792626728,0.19180012064852298,26040,0.03180610071638534,0.1754843118118137,113626,5.249381229393127,1.528333647208232e-07,0.035639974091699264,0.18539085710930248,9650961,2.2675613555362037,0.023355977258635238,0.04540858938854455,0.20819949684817637,113745,-5.077891067230322,3.8213614473777226e-07
IP_BIN2,0.00825652841781874,0.091755633161322,26040,0.012329924489113407,0.11565000786593385,113626,-5.313360154803998,1.0778640957822147e-07,0.020238813523337208,0.15006984690444966,9650961,-12.877980582789915,5.992501126829505e-38,0.01658094861312585,0.13725219780174952,113745,-9.321845329256226,1.1592392468039794e-20
CC_CEREBRAL_PALSY,0.001075268817204301,0.032774286633326564,26040,0.0007304666185556123,0.027017391826894017,113626,1.780911568036746,0.07492907137201009,0.0017405520548679039,0.04168360245286437,9650961,-2.5733562242965213,0.01007176314018841,0.0005890368807420106,0.024263039625407632,113745,2.7159658440920436,0.006609085686484937
CC_LUNG_CANCER,0.0015745007680491553,0.039649490377513204,26040,0.001900973368771232,0.04355888390968466,113626,-1.108761838260887,0.2675348465056283,0.003971003509391448,0.06289065948412333,9650961,-6.145815309626166,7.955689411615398e-10,0.002936392808475098,0.05410911333359729,113745,-3.8328050484874248,0.00012674577123167528
CC_ALZHEIMER,0.0,0.0,26040,0.003441113829581258,0.05856024885372123,113626,-9.482337674853989,2.5235287925293608e-21,0.006680060151522734,0.0814581956308666,9650961,-13.233235912918108,5.645081468439344e-40,0.008343223877972658,0.09095981108271901,113745,-14.80142878088467,1.563657715795455e-49
ER_C,0.5561443932411675,1.8229341988045171,26040,0.505016457500924,1.1650489137140596,113626,5.667930729910642,1.448160264681734e-08,0.4579038294735623,1.3070095582589114,9650961,12.097505415794346,1.0893047880044837e-33,0.6494087652204492,1.5414660623887173,113745,-8.497427587222235,1.9570387130573395e-17
CC_MOBILITY_IMPAIR,0.0034178187403993854,0.05836324240926491,26040,0.005632513685248095,0.07483874509036983,113626,-4.473772494219338,7.691204407226434e-06,0.007629395663291977,0.087012578226403,9650961,-7.805841727790193,5.911157253358524e-15,0.007024484592729351,0.08351767796157412,113745,-6.608983394732543,3.8835055306193363e-11
