,Coefficient,Standard Error,z-statistic,p-value
Age,-1.05,0.216,-4.872,0.0
Total Cost,0.031,0.012,2.65,0.008
Gender,-0.158,0.076,-2.073,0.038
Tobacco Use,0.08,0.103,0.781,0.435
Pressure,-0.502,0.37,-1.357,0.175
Obesity,-0.079,0.064,-1.244,0.214
Hypertension,0.091,0.074,1.218,0.223
Hypothyroid,-0.275,0.109,-2.521,0.012
Disease Count,1.662,0.278,5.974,0.0
Acute Care 2 Months,1.317,0.137,9.619,0.0
Acute Care 6 Months,-0.324,0.31,-1.044,0.297
Inpatient Visits 6 Months,-0.108,0.245,-0.439,0.661
Emergency Vistits 6 Months,0.979,0.287,3.41,0.001
Line of Bussiness,-0.613,0.083,-7.39,0.0
Treatment,-0.323,0.081,-4.002,0.0
